model,params_b
Mihaiii/Pallas-0.5-LASER-0.3,
amazingvince/Not-WizardLM-2-7B,7.0
shanchen/llama3-8B-slerp-med-262k,8.0
nisten/shqiponja-59b-v1,59.0
Weyaxi/Helion-4x34B,136.0
Azazelle/Bianca-7b,7.0
Josephgflowers/Cinder-Phi-2-Test-1,
andrijdavid/Meta-Llama-3-13B-Instruct,13.0
gmonsoon/MiaAffogato-Indo-Mistral-7b,7.0
mncai/agiin-13.6B-v0.0,13.6
vikash06/doctorLLM5k,
adamo1139/Yi-34B-200K-AEZAKMI-RAW-1701,34.0
YKM11/Mistral-7B-adaptv0.9,7.0
l3utterfly/mistral-7b-v0.1-layla-v2,7.0
lcw99/llama-3-8b-it-kor-extented-chang,8.0
Cartinoe5930/SOLAR-DUS-implement,
Mihaiii/Pallas-0.5-LASER-0.6,
Gille/StrangeMerges_27-7B-dare_ties,7.0
giraffe176/Open_Neural_Monarch_Maidv0.2,
Sao10K/Ana-v1-m7,
mncai/agiin-13.6B-v0.1,13.6
macadeliccc/laser-dolphin-mixtral-4x7b-dpo,28.0
DenisTheDev/Blitz-AI-MOE-v0.7,
jan-ai/Pandora-10.7B-v1,10.7
moondriller/llama2-13B-eugeneparkthebest,13.0
shadowml/DareBeagle-7B,7.0
silvercoder67/Mistral-7b-instruct-v0.2-summ-sft-dpo-e2,7.0
ShenaoZhang/0.001_idpo_noreplacerej_iter_2,
macadeliccc/WestLake-7B-v2-laser-truthy-dpo,7.0
PulsarAI/MetaMath-OpenHermes-2.5-neural-chat-v3-3-Slerp,
zhengr/MixTAO-7Bx2-MoE-Instruct-v4.0,
icefog72/IceCoffeeTest3,
perlthoughts/Falkor-8x7B-MoE,56.0
pansophic/m16,
PetroGPT/Severus-7B-DPO,7.0
cloudyu/Yi-34Bx3-MoE-90B,90.0
MaziyarPanahi/Calme-4x7B-MoE-v0.1,28.0
DeepKarkhanis/NeuralPipe-7B-slerp,7.0
haoranxu/ALMA-13B,13.0
andysalerno/rainbowfish-v6,
johnsnowlabs/JSL-MedLlama-3-8B-v2.0,8.0
meta-llama/Meta-Llama-3-70B-Instruct,70.0
paloalma/ECE-TW3-JRGL-V1,
FelixChao/Voldemort-10B,10.0
cookinai/Llama-3-SOLAR-v0.2,
leveldevai/MBA-7B,7.0
aloobun/bun_mistral_7b_v2,7.0
silvercoder67/Mistral-7b-instruct-v0.2-summ-sft-dpo-e1,7.0
nbeerbower/flammen11X-mistral-7B,7.0
NovoCode/Metabird-7b-DPO,7.0
FelixChao/NarutoDolphin-10B,10.0
yihan6324/llama2-7b-instructmining-orca-40k,7.0
AwanLLM/Awanllm-Llama-3-8B-Dolfin-v0.3,8.0
cookinai/LlamaReflect-8B-CoT-safetensors,8.0
ajibawa-2023/SlimOrca-Llama-3-8B,8.0
splm/zephyr-7b-sft-full-spin-peft-iter2,7.0
Kquant03/Buttercup-V2-bf16,
migtissera/SynthIA-70B-v1.5,70.0
Joseph717171/BigOrca-2-XB,
lemon-mint/gemma-7b-openhermes-v0.80,7.0
Isaak-Carter/J.O.S.I.E.3-Beta10-7B-slerp,7.0
yunconglong/DARE_TIES_13B,13.0
perlthoughts/Chupacabra-7B-v2.02,7.0
jpquiroga/Mistral_7B_slerp_merge_instruct_open_orca,7.0
0ai/0ai-7B-v4,7.0
MaziyarPanahi/Llama-3-8B-Instruct-v0.2,8.0
moreh/MoMo-70B-lora-1.8.5-DPO,70.0
Changgil/K2S3-Mistral-7bx2-48layers_v1.2,
abhishek/autotrain-cei9g-ag3pe,
JunchengXie/zephyr-7b-beta-gpt-4-80k,7.0
chargoddard/internlm2-20b-llama,20.0
hon9kon9ize/CantoneseLLM-6B-preview202402,6.0
allknowingroger/NeuralWestSeverus-7B-slerp,7.0
LeroyDyer/Mixtral_ThoughtsProcess_1,
INSAIT-Institute/BgGPT-7B-Instruct-v0.1,7.0
nlpguy/Starling-low-tune,
macadeliccc/SOLAR-10.7b-Instruct-dpo,10.7
feeltheAGI/mistral-maths7B,7.0
Locutusque/NeuralHyperion-Medium-Preview,
Eric111/Mathral,
Yuma42/KangalKhan-RawRuby-7B,7.0
152334H/miqu-1-70b-sf,70.0
NeuralNovel/Gecko-7B-v0.1,7.0
Weyaxi/Bagel-Hermes-34B-Slerp,34.0
mistral-community/Mixtral-8x22B-v0.1,176.0
xxx777xxxASD/L3_SnowStorm_4x8B,32.0
allknowingroger/LimmyAutomerge-7B-slerp,7.0
Epiculous/Mika-7B,7.0
Weyaxi/MetaMath-una-cybertron-v2-bf16-Ties,
shyamieee/Maverick-v3.0,
Gryphe/Tiamat-8b-1.2-Llama-3-DPO,8.0
kwchoi/DPO_mistral_v01_7b_ultra_0130_1k,7.0
YeungNLP/firefly-qwen1.5-en-7b-dpo-v0.1,7.0
cookinai/Blitz-v0.2,
chatty123/mistral_rank16_dpo,
saltlux/luxia-21.4b-alignment-v0.4,21.4
louisbrulenaudet/Maxine-34B-stock,34.0
wang7776/Llama-2-7b-chat-hf-20-attention-sparsity,7.0
allknowingroger/Multimerge-12B-MoE,12.0
argilla/distilabeled-Marcoro14-7B-slerp-full,7.0
weezywitasneezy/BenchmarkEngineering-7B-slerp,7.0
nbeerbower/SuperFlammen-4x7B,28.0
vilm/Quyen-Plus-v0.1,
AA051611/whattest,
migtissera/Tess-M-v1.3,
jisukim8873/mistralai-case-1-0,
nbeerbower/flammen15-gutenberg-DPO-v1-7B,7.0
kevin009/Llamafia,
aboros98/merlin1,
jeonsworld/CarbonVillain-en-10.7B-v4,10.7
Unbabel/TowerBase-7B-v0.1,7.0
Korabbit/Llama-2-7b-chat-hf-afr-441step-flan-v2,7.0
abhinand/tamil-llama-13b-instruct-v0.1,13.0
chatty123/mistral_rank32_sft,
decapoda-research/Adrastea-7b-v1.0-dpo,7.0
Gille/StrangeMerges_3-7B-slerp,7.0
migtissera/Tess-2.0-Yi-34B-200K,34.0
rufjdk5480/WestLake-dpo-train-sft-v1,
CultriX/AlphaCeption-7B-v1,7.0
Ichsan2895/Merak-7B-v5-PROTOTYPE1,7.0
khoantap/wizard-limarp,
Danielbrdz/Barcenas-10.7b,10.7
huseyinatahaninan/phi-2-dpo,
azarafrooz/mistral-v2-7b-selfplay-v0-test,7.0
mlabonne/OmniBeagle-7B,7.0
abideen/MonarchCoder-MoE-2x7B,14.0
OpenBuddy/openbuddy-mistral-7b-v17.1-32k,7.0
yhyu13/LMCocktail-10.7B-v1,10.7
Weyaxi/a,
aerdincdal/CBDDO-LLM-8B-Instruct-v0.1,8.0
Ppoyaa/Lumina-3,
andysalerno/openchat-nectar-0.3,
Weyaxi/zephyr-alpha-Nebula-v2-7B,7.0
allknowingroger/Platapus-Orca-13B,13.0
steve-cse/MelloGPT,
flammenai/flammen23-mistral-7B,7.0
DopeorNope/You_can_cry_Snowman-13B,13.0
KnutJaegersberg/Deita-20b,20.0
ChuckMcSneed/Gembo-v1.1-70b,70.0
Sao10K/NyakuraV2.1-m7,
LeroyDyer/Mixtral_AI_Cyber_Matrix_2_0,
leonarad/hope_for,
Zangs3011/mixtral_8x7b_MonsterInstruct,56.0
giraffe176/Open_Neural_Monarch_Maidv0.1,
Weyaxi/OpenHermes-2.5-neural-chat-7b-v3-2-7B,7.0
Weyaxi/Nous-Hermes-2-SUS-Chat-2x34B,68.0
jpquiroga/Mistral_7B_ties_merge_instruct_open_orca_codeninja,7.0
rizla/rizla-17,
DreadPoor/Sphinx-7B-Model_Stock,7.0
bhavinjawade/SOLAR-10B-OrcaDPO-Jawade,10.0
juhwanlee/llmdo-Mistral-7B-case-1,7.0
s3nh/Severusectum-7B-DPO,7.0
eren23/Experiment26-12B,12.0
kihoonlee/stock-solar-10.7b-v1,10.7
Yuma42/KangalKhan-Ruby-7B-Fixed,7.0
mayacinka/CalmeRity-stock,
yunconglong/Truthful_DPO_MOE_19B,19.0
DreadPoor/Cognate-7B-slerp,7.0
Weyaxi/very-test,
jambroz/sixtyoneeighty-7b-chat,7.0
Yuma42/KangalKhan-Beta-Sapphire-7B,7.0
nbeerbower/Maidphin-Kunoichi-7B,7.0
lex-hue/Delexa-7b-128k,7.0
NeuralNovel/Ignis-7B-DPO,7.0
dball/zephyr-7b-dpo-qlora-no-sft,7.0
ChaoticNeutrals/Nyanade_Stunna-Maid-7B-v0.2,7.0
alignment-handbook/zephyr-7b-sft-full,7.0
openchat/openchat_3.5,
maywell/Synatra-RP-Orca-2-7b-v0.1,7.0
DreadPoor/Chimera-7B-slerp,7.0
abideen/AlphaMonarch-daser,
adonlee/LLaMA_2_70B_LoRA,70.0
allknowingroger/MultiverseMath-12B-MoE,12.0
Azazelle/Half-NSFW_Noromaid-7b,7.0
splm/zephyr-7b-sft-full-spin-peft-iter0,7.0
ChaoticNeutrals/IQ_Test_l3_8B,8.0
Azazelle/smol_bruin-7b,7.0
mayacinka/Open-StaMis-stock,
SF-Foundation/TextSum-v0.1,
automerger/Inex12Yamshadow-7B,7.0
perlthoughts/Falkor-16b,16.0
DopeorNope/SOLARC-M-10.7B,10.7
NeuralNovel/Pigris-7b-v0.4,7.0
maywell/PiVoT-SOLAR-10.7B-RP,10.7
sumo43/Yi-32b-x2-v2.0,32.0
MaziyarPanahi/Yarn-Mistral-7b-64k-Mistral-7B-Instruct-v0.1,7.0
Changgil/K2S3-Mistral-7b-v1.42,7.0
Mr-Bhaskar/fbt-llama3-8b,8.0
SanjiWatsuki/neural-chat-7b-v3-3-wizardmath-dare-me,7.0
google/gemma-1.1-7b-it,7.0
xxx777xxxASD/L3-ChaoticSoliloquy-v1.5-4x8B,32.0
Mihaiii/Bucharest-0.1,
flemmingmiguel/MBX-7B-v3,7.0
ABX-AI/Silver-Sun-v2-11B,11.0
abhishek/autotrain-llama3-orpo,
fblgit/UNA-ThePitbull-21.4-v1,
ChavyvAkvar/llama-3-lumimaid-habib-v7,
MaziyarPanahi/Calme-7B-Instruct-v0.4,7.0
AIJUUD/juud-Mistral-7B,7.0
JaeyeonKang/CCK_Asura_v1.1.0,
EmbeddedLLM/Medusa2-Mistral-7B-Instruct-v0.2,7.0
cgato/Thespis-CurtainCall-7b-v0.3,7.0
dhanushreddy29/BrokenKeyboard,
ChaoticNeutrals/Bepis_9B,9.0
222gate/bleagle-7b-v0.1-test,7.0
ajibawa-2023/WikiHow-Mistral-Instruct-7B,7.0
Yuma42/KangalKhan-Alpha-RawRubyroid-7B-Fixed,7.0
allknowingroger/Lamma3merge3-15B-MoE,15.0
Mihaiii/Pallas-0.4,
cognitivecomputations/dolphin-2.2.1-mistral-7b,7.0
DUAL-GPO/zephyr-7b-dpo-qlora-v1,7.0
Kquant03/Azathoth-16x7B-bf16,112.0
cognitivecomputations/Dolphin-2.9.1-Phi-3-Kensho-4.5B,4.5
Undi95/Mixtral-8x7B-MoE-RP-Story,56.0
jikaixuan/test_merged_model,
Weyaxi/OpenOrca-Nebula-7B,7.0
nbeerbower/llama-3-gutenberg-8B,8.0
mlabonne/OrpoLlama-3-8B,8.0
silvercoder67/Mistral-7b-instruct-v0.2-summ-sft-e2m,7.0
sequelbox/DiamondForce,
Kquant03/Hippolyta-7B-bf16,7.0
CultriX/MonaTrix-v4,
yam-peleg/Experiment9-7B,7.0
AbacusResearch/haLLAwa2,
Azazelle/Moko-SAMPLE,
SanjiWatsuki/Kunoichi-7B,7.0
bunnycore/CreativeSmart-2x7B,14.0
SCE/Mistral-7B-summ-ia3-pruned10,7.0
Fredithefish/MadMix-v0.2,
liminerity/m.star.7b,7.0
abacusai/Smaugv0.1,
SC99/Mistral-7B-summ-ia3-tuned-8h,7.0
Kukedlc/Neural4gsm8k,
Rijgersberg/GEITje-7B-chat-v2,7.0
ZhangShenao/0.0005_llama_4iters_bs128_5551lr_iter_3,
UCLA-AGI/test,
speechlessai/speechless-mistral-7b-dare-0.85,7.0
tuantran1632001/Psyfighter2-Orca2-13B-ties,13.0
migtissera/Synthia-v3.0-11B,11.0
paulml/NeuralOmniBeagleMBX-v3-7B,7.0
yeontaek/llama-2-13B-ensemble-v1,13.0
paulml/OmniBeagleSquaredMBX-v3-7B-v2,7.0
ichigoberry/MonarchPipe-7B-slerp,7.0
genaicore3434/Mistral-7b-instruct-v0.2-summ-sft-bf16-e2,7.0
rmihaylov/Llama-3-DARE-v2-8B,8.0
Locutusque/llama-3-neural-chat-v1-8b,8.0
TheSkullery/Aurora_19e_Test,
