"","a1","d","g","u"
"X301",7.48259243911557,0.920365156744509,0.0683394686468525,1
"X302",4.92470006573534,0.895654527757081,1.4555070945639e-05,1
"X303",4.85402043617656,2.09187192919148,1.94257571068632e-05,1
"X304",4.31878425080139,2.24626384284647,1.95337838336502e-05,1
"X305",3.82962420345994,0.784827542944618,1.92080221556223e-05,1
"X306",-4.06197670630817,-1.23532844535629,4.73887986222751e-05,1
"X307",-4.33136299878722,0.211600458850684,2.59751565803922e-05,1
"X308",6.50739157354429,3.91014604889142,1.96193366268317e-05,1
"X309",-3.23398560441915,-0.0200393300673025,2.29376818306805e-05,1
"X310",7.87821198202931,-1.04536503570804,0.317453813771015,1
"X311",-3.14415961714777,0.296043188347561,2.03102499442171e-05,1
"X312",4.52985567776116,2.24635968572265,1.74466764851427e-05,1
"X313",-3.98900821087329,-1.3245906899863,1.92003519638774e-05,1
"X314",4.21575007916202,1.62820204324609,1.88226467455212e-05,1
"X315",7.09776491345336,4.35325302361658,2.30235081859715e-05,1
"X316",5.34549829088986,2.9894302670198,1.85287339059926e-05,1
"X317",2.67469511918007,1.47183460014171,0.000197759009745546,1
"X318",6.51278940987506,4.06223433639376,1.84374445741408e-05,1
"X319",7.24560999661024,-0.148716458649697,0.0405717660738249,1
"X320",-4.27144604823842,1.15442982657723,2.37439778685131e-05,1
"X321",-6.47736675249014,-2.50215385850916,0.000104371159584917,1
"X322",-4.29878206542,-1.94633643721879,0.00394399530772296,1
"X323",3.82028608165355,1.41360645788633,3.21872695221431e-05,1
"X324",-3.84453205968466,1.03892406879996,2.36176904689231e-05,1
"X325",-5.36560209639172,-1.57268298590573,1.24858137010136e-05,1
"X326",5.62072926660953,2.96289297263381,1.7645068724537e-05,1
"X327",-3.5433361971867,1.38712455157956,3.00896082509321e-05,1
"X328",3.77670113333939,1.01974850902877,3.10395783701308e-05,1
"X329",-4.93838764145206,-1.01483645779863,1.8646930910388e-05,1
"X330",-2.91523885359642,0.884836752611831,2.96750120971465e-05,1
"X331",-6.81413070787413,-1.1727899650927,1.18370940813928e-05,1
"X332",4.43612953083237,2.74732090828711,0.166266256997674,1
"X333",4.05220772092854,1.5431027711313,1.83737960030605e-05,1
"X334",4.52451601427042,0.991042559595326,1.69036603639678e-05,1
"X335",-4.05032697396583,1.73391456619571,2.49865684643457e-05,1
"X336",-3.23507307454547,-0.100076594715483,1.69295941478123e-05,1
"X337",-5.04776313552594,-4.05726937450065,0.0065159968575056,1
"X338",3.54433716652397,2.23644669681867,2.71942747293939e-05,1
"X339",-7.46788249961859,-4.13391495646448,0.0074927459628619,1
"X340",-5.03938693542726,-0.230928238515347,1.75491322179353e-05,1
"X341",-3.20829263188878,-0.223322394859577,1.73816630144875e-05,1
"X342",3.92348981374154,-0.94447497873049,1.51109768559534e-05,1
"X343",6.673126560538,4.4901497592522,2.46156336778304e-05,1
"X344",4.16452643004293,2.00925348923786,2.40888257795277e-05,1
"X345",7.6672522880832,-0.590705568618528,0.0283437985756465,1
"X346",5.08379475742197,0.100348162869435,0.0071086440788317,1
"X347",6.8808738454464,4.24521497680692,1.90165204715222e-05,1
"X348",4.78240361908521,3.6817447433616,2.71735001793661e-05,1
"X349",2.45757874179089,1.70728015044212,2.82225034693189e-05,1
"X350",4.35114238038195,3.47808977831477,5.55894179111889e-05,1
"X351",-7.06374105662332,-2.75505598189712,1.13141394968872e-05,1
"X352",-3.28529004904383,-1.56820465253842,1.46397032397778e-05,1
"X353",4.50459193254045,0.0628595867306505,2.48109647552976e-05,1
"X354",-3.62465409519763,1.50990705357726,2.5969310822593e-05,1
"X355",4.37362264181452,2.80417412079051,2.05738218901691e-05,1
"X356",-3.43115340299157,1.87930056813097,3.17425682153298e-05,1
"X357",-4.12341406968251,0.136726633274719,1.72438966238193e-05,1
"X358",6.06793555369105,2.11669437554576,9.76491791024526e-05,1
"X359",6.71907552960305,3.18777736606536,1.68316633935262e-05,1
"X360",4.31772249140269,2.14781227450779,2.0211754701055e-05,1
"X361",-2.66733251478718,-2.58606117822775,1.06986431672658e-05,1
"X362",5.50846701962197,1.59676231107041,3.50226913126573e-05,1
"X363",-3.92179068511866,-1.36081913403299,1.95470020416972e-05,1
"X364",-3.94982963631355,0.0743025165216208,2.45462239301594e-05,1
"X365",4.89734660206603,2.27485209562582,2.33160990995307e-05,1
"X366",-8.43845622394235,-3.06750653521516,0.00621715046314693,1
"X367",6.29123662673399,1.49046583521568,0.00181474152804016,1
"X368",-4.60715772103449,-0.207611046574388,2.95818295054942e-05,1
"X369",-4.89468689287896,-0.404869059583681,1.59597326800936e-05,1
"X370",-1.55665783907196,-2.20991037040677,9.06459514426628e-07,1
"X371",6.77772313672702,1.88177682980694,2.12959475461699e-05,1
"X372",2.72193728329722,1.00644536816,2.16867879015537e-05,1
"X373",-1.3435089290264,-2.66077799647663,1.68310283522438e-05,1
"X374",2.07326124169484,0.170365955049627,2.46787874573716e-05,1
"X375",-4.17507074089043,0.115362096206287,0.00230589300704268,1
"X376",5.74770235863204,2.99980696188903,1.91893922345474e-05,1
"X377",3.1463047501318,2.68715542042176,0.000344475299381422,1
"X378",3.20493862082435,1.89784102588626,8.46533957811912e-05,1
"X379",-4.48498361009229,-0.0613471848896918,1.77541111726174e-05,1
"X380",-4.9267983904713,0.118356293300203,2.8690053817421e-05,1
"X381",5.29237137718042,2.36403055945699,1.7055012831609e-05,1
"X382",-4.51688031481118,-3.11965285543378,0.000246449885998945,1
"X383",4.19776236094032,-0.226083009265571,0.0444483426828809,1
"X384",4.66649681641807,2.72864379112686,2.64950288313576e-05,1
"X385",-4.72571535523313,-2.06922585385324,0.006067638486656,1
"X386",-3.38541936476521,-1.80962228363171,4.31957340631843e-05,1
"X387",5.09379575677605,2.56041522132132,1.94125690538957e-05,1
"X388",5.42648852073891,1.94575498785534,1.7818972197546e-05,1
"X389",3.73549562340061,-0.250906760185852,1.84010781929105e-05,1
"X390",4.92214322791682,2.90442063567851,1.95288088524167e-05,1
