"","a1","d","g","u"
"X401",3.70203545455112,-4.94974949389546,1.90353129515736e-05,1
"X402",0.300774061801799,-2.0752670663152,0.00205582348373202,1
"X403",4.60203605224838,-6.22260496481336,0.0038895027426886,1
"X404",2.13334564611497,-2.4893686551205,0.000269842961176402,1
"X405",-0.283346849093838,-2.00534095299624,0.000341150795368973,1
"X406",1.15907126036252,-0.605142184370691,0.0231423960412595,1
"X407",0.308445781203958,-3.52169583280995,0.000303831081955772,1
"X408",0.909022593339455,2.09521704634269,0.00173177307014015,1
"X409",2.71249385317255,-4.36680619954654,0.00961803100426619,1
"X410",5.73443345186644,-6.12672736018372,0.00990017965377528,1
"X411",1.07248972013925,0.0552551194813175,0.000193174149268135,1
"X412",2.129650204585,-2.35153160258977,0.00047572361273078,1
"X413",3.10346418327421,-4.701372809228,0.199961115446061,1
"X414",5.6181672784221,-3.2248106409148,0.229784231608342,1
"X415",0.930264136007081,0.752710013441291,0.000941799069944341,1
"X416",2.72343284617588,-5.66170277347192,0.064731223129415,1
"X417",-1.72349405681829,-5.76006526840766,0.00130502268460052,1
"X418",5.18429988905334,-5.9234144710933,0.0968859462345838,1
"X419",5.24126924301829,-6.20343572853637,0.0499652342337868,1
"X420",0.188303795982494,0.933289310725842,0.0148727852600351,1
"X421",3.05228414871503,-4.38628016836301,0.0059497006029862,1
"X422",1.3120558934291,-0.864521218885956,7.02183273168764e-05,1
"X423",3.5874242747601,-2.53881410991855,0.0090557784546709,1
"X424",3.75074230764123,-7.05100019137455,0.00347670529348817,1
"X425",2.85662251115752,-3.01407865650186,0.00171834281137413,1
"X426",0.640460879564962,-0.405608147858774,0.00098347740483706,1
"X427",1.92267686700115,-2.09306338265161,0.00315443087358516,1
"X428",4.18314685369793,-6.49040611703624,0.0014477640365802,1
"X429",5.45639913748288,-5.59500521424105,0.0418377149196382,1
"X430",0.280122196676026,-0.842459013148876,0.000785159933361235,1
"X431",2.83500235239194,-3.15497396011102,0.52614969479763,1
"X432",9.39753926580553,-12.2339971253011,0.32969625296899,1
"X433",1.06621796630296,0.398392531706815,0.0020386434728486,1
"X434",4.26249494670892,-4.00456304692676,0.0346181906614234,1
"X435",3.24560640428402,-2.87678746154327,0.0755278876848034,1
"X436",6.48301443401995,-7.90665627620225,0.0112595609228817,1
"X437",1.9911630158453,-0.550731764053389,0.0178274520917453,1
"X438",0.939234358682078,-0.0807778432662393,0.000287329048470083,1
"X439",1.67069825750627,-1.34855476259265,0.0242210996014448,1
"X440",2.87007312452273,-3.04751342544965,0.00581459057641313,1
"X441",7.592187747256,-6.51932581952749,0.314305700759559,1
"X442",2.4412331747895,-2.82430208704943,0.0108284455588953,1
"X443",1.45079761271103,-1.95512612326648,0.0474960461786948,1
"X444",2.91658835522983,1.28818544070905,0.000264511014705048,1
"X445",3.34863588515727,-4.97914735979148,0.0001107830953296,1
"X446",14.9923812983921,-15.655161450536,0.236682490846165,1
"X447",1.96566782791359,-4.05415507955053,2.29075094857368e-05,1
"X448",4.89449046029697,-6.73787114734344,0.0399199083921445,1
"X449",3.95889474386235,-4.00508156684269,0.00824528401731702,1
"X450",6.1285692842222,-6.36615608645691,0.00724475156318068,1
"X451",2.76975196856137,-1.92222786670943,0.249318452803056,1
"X452",9.06267605595629,-8.19332747554741,0.235390397506159,1
"X453",7.60048558005248,-10.0452249096198,0.00721463698606227,1
"X454",3.27277117106005,-2.6341850492916,0.0403735291273964,1
