"","a1","d","g","u"
"X901",2.76349246028166,-6.03054609106442,4.84617247975993e-06,1
"X902",2.13707377911792,-4.0926165655672,5.11492682453085e-06,1
"X903",4.99186830852082,-9.21271117516207,0.00164737781828318,1
"X904",2.97423240918875,-5.64141244939414,4.53147954056504e-06,1
"X905",2.41787144624773,-7.2089179334825,3.57788104316982e-06,1
"X906",3.50271366131488,-6.5148285461673,3.75660846436354e-06,1
"X907",1.72431437774581,-6.40623016670969,4.93392562560474e-06,1
"X908",2.58778490559902,-3.84646962636474,3.63087075517877e-05,1
"X909",2.11025135585551,-5.78931098721523,4.53975920079703e-06,1
"X910",7.2888605823253,-11.2850991312442,0.00127854163833564,1
"X911",2.74895530341375,-3.56837831717446,0.00800779515252676,1
"X912",0.685379494438313,-4.50435386806997,6.74675674463563e-05,1
"X913",2.39853074752016,-2.66946442203919,8.49354800590166e-06,1
"X914",3.38242104442597,-3.59722816315892,0.0173854169061199,1
"X915",8.9623255787205,-18.9464532830206,2.40774745755198e-06,1
"X916",2.99954987654682,-3.38435184003744,1.33423495472326e-05,1
"X917",2.57076648488963,-5.46872047874008,3.77004889596193e-06,1
"X918",15.6436183139645,-33.3451715200501,2.31177901382033e-06,1
"X919",2.85734369866668,-6.02516232868272,7.64909475107197e-06,1
"X920",4.80060693913487,-9.45602334726647,0.00166819385734619,1
"X921",2.71562512791348,-3.59252441691861,0.0118976434639389,1
"X922",1.66001920113394,-1.18738877084077,3.19096006385755e-05,1
"X923",1.12587631096363,-3.59432032871134,3.54708710730798e-05,1
"X924",2.83953678695155,-1.54748845853651,0.000114517521754097,1
"X925",3.98275000098237,-3.80948705478691,0.00631673232596593,1
"X926",2.35549123361092,-4.25993207880493,0.00337644528789692,1
"X927",1.74219783102481,-3.59251348167962,2.54618176508408e-05,1
"X928",21.859480635092,-37.846409227853,0.0139168758983077,1
"X929",1.72980236392375,-2.50177784337476,1.34178324373746e-05,1
"X930",4.39945552981315,-5.58618328724169,0.00440803584815711,1
"X931",2.85679643342589,-1.10374335791434,4.07042935843985e-05,1
"X932",2.1348465899064,-4.39218055683767,0.00291391774450442,1
"X933",2.18879162668964,-3.92841493156291,0.00990967347200689,1
"X934",8.70003801998382,-17.9711555285656,0.0200635512426823,1
"X935",3.1188804410748,-4.89407661023948,0.00870682926694364,1
"X936",4.94678073174857,-6.97501226538658,4.75182309320271e-06,1
"X937",1.07683338839508,-3.33243447926629,4.0751281744893e-05,1
"X938",2.36169134708913,-3.93088024353457,1.1924695204694e-05,1
"X939",1.50371584721198,-3.02553225203789,2.94834184509316e-05,1
"X940",1.55225707419865,-3.6000917026705,8.97610741103861e-06,1
"X941",1.23212956142401,-2.41935282325913,0.000116371956408094,1
"X942",1.26715222646058,-3.26572985460986,1.11787401877939e-05,1
"X943",2.28758210304302,-5.2402639996287,5.18816097792533e-06,1
"X944",1.75562821883907,-2.80829074824052,2.68591821954499e-05,1
"X945",2.11994334054911,-2.12322448135513,1.40755377163537e-05,1
"X946",2.33043939089279,-1.94803033590909,7.2973445699187e-05,1
"X947",2.22647288516887,-2.44322526571645,1.28177817915791e-05,1
"X948",1.52128286223211,-1.70718976557371,1.7801445277117e-05,1
"X949",-0.0802236968294016,-2.5292944435225,0.00400497753519743,1
"X950",2.2498533252518,-4.0460809937829,1.69744329696038e-05,1
"X951",-1.19945191522596,-4.82033752329262,0.0546765554559474,1
"X952",2.80278113764459,-3.2883341920013,1.27552972493476e-05,1
"X953",1.60977039269134,-4.01212506963001,1.38111535111132e-05,1
"X954",2.71541805757799,-1.86083712950142,0.0407197608489192,1
"X955",3.11364345741666,-3.6989590620755,8.19489266373095e-06,1
"X956",3.4912584653858,-4.04186119119936,1.26462053340976e-05,1
"X957",1.53957827258016,-2.69023276026079,0.0623161728032743,1
"X958",2.07822937204057,-2.00473096256512,8.72835757722858e-06,1
"X959",4.38420354245917,-4.94992765743953,0.00476984281361437,1
"X960",5.19217583968841,-9.47351430173623,3.10754650715732e-06,1
"X961",1.37189894934577,-3.76508174470141,1.1021366059527e-05,1
"X962",1.16160600850357,-3.62819749399308,0.00286009339326248,1
"X963",1.53941351637677,-2.37315527567107,0.0662721879606259,1
"X964",8.03851270978423,-11.8126880475516,0.0159775964255605,1
"X965",2.9034499546745,-2.07080043166332,8.37733031508229e-06,1
"X966",4.77771180811459,-7.32415311634281,0.0104386690408347,1
"X967",2.1450013726762,-2.51171389723154,9.36825864858811e-06,1
"X968",5.33868367868024,-11.2612933449631,3.28148390576865e-06,1
"X969",2.53517463078696,-1.10863813890676,8.70612295931893e-05,1
"X970",2.40573065928222,-5.4828982565852,4.96837919900168e-06,1
"X971",3.12994073448516,-2.5971413113199,0.00466484773559712,1
"X972",2.20130113806252,-3.11167335668943,0.00421117941710265,1
"X973",3.10626318769841,-4.77433180578105,0.00254480258722804,1
"X974",3.97055396773915,-4.39688620538795,0.000505440964488347,1
"X975",4.66714954243866,-9.65773497288934,0.0065285146183734,1
"X976",2.2140000254121,-4.56118018811435,5.59994247253554e-06,1
"X977",1.6982968794541,-5.44031640832559,7.43856217022036e-06,1
"X978",3.37725716117761,-8.4926743232721,3.93869703857162e-06,1
"X979",2.41665229997391,-0.051710201288489,3.64185802642178e-05,1
"X980",3.14910855540046,-8.17258419639392,5.22066216832165e-06,1
"X981",0.657330454457402,-3.19971879830308,7.68380296093978e-05,1
"X982",3.59831629216975,-5.25646301209736,0.0125195312699297,1
"X983",2.06681961448855,-3.99742474720382,6.16327949236803e-06,1
"X984",2.84120799390901,-1.73385800312864,1.0138012800586e-05,1
"X985",2.4197468370961,-0.382975310087588,0.0047658647364178,1
"X986",4.28894085652764,-8.36154709540306,3.71555459387994e-06,1
"X987",3.13144796520148,-1.62252016539859,0.0588741619983652,1
"X988",1.94190452426767,-3.71548755030624,0.00118577136019818,1
"X989",2.88968970167704,-4.54281383876868,6.3946789153286e-06,1
"X990",1.98593882213358,-2.47553246560792,6.7458836562149e-06,1
"X991",3.84392642984621,-5.44499917798995,0.0157493786950626,1
"X992",5.75973806575803,-11.3194089336978,3.46433386055461e-06,1
"X993",2.60615746664828,-1.51875369881186,1.5250367775865e-05,1
"X994",2.93390336534047,-5.80833672590655,4.67791822613902e-06,1
"X995",3.45766479683689,-5.08068624612239,0.0962956426501696,1
"X996",2.35671760886366,-3.90973521104401,0.00698880036122455,1
"X997",3.26942728518676,-4.93257357059483,6.97731829760038e-06,1
"X998",2.94543629742768,-3.61574658217365,0.0249209200249031,1
"X999",2.90443740258865,-6.49105141334174,4.85100741617415e-06,1
"X1000",1.31350573676882,-3.59879859747623,1.65187250868603e-05,1
