"","a1","d","g","u"
"X1",-0.449992346404074,4.99481269551475,0.153134866563363,1
"X2",6.8849534396704,-13.2657328985021,0.00985218085902781,1
"X3",-0.711713997651341,-0.78807842782554,0.000250743417047393,1
"X4",-0.613797249478153,4.34612924464317,0.158378271813454,1
"X5",2.52637047745583,-3.51179116524422,0.000122599989029239,1
"X6",0.236652004680269,-0.939396796120632,0.00153642103349249,1
"X7",0.908449604942695,0.536730928841886,0.000290850405462713,1
"X8",-3.88199676710543,-2.38979852902253,0.297861975485461,1
"X9",3.57666389509793,2.14983501390512,9.16332393087145e-05,1
"X10",6.89850997224871,-10.1171256170406,0.213479050496548,1
"X11",0.137387214720437,2.69345782607869,0.119606116554674,1
"X12",-1.35821471979985,0.765443044245026,0.533691183702216,1
"X13",2.94025681542315,-2.40910628937864,0.105238481416461,1
"X14",0.943956509915415,-0.853035095307333,0.000113901710414024,1
"X15",-1.57465759982866,-1.06170994387966,0.0018037627564367,1
"X16",-9.01255531155676,-14.4464316553571,0.66236091500217,1
"X17",-1.48187399298157,0.947897045265914,0.00213017904326882,1
"X18",1.51824793003475,-0.688884968374511,0.000124244045694021,1
"X19",-2.19915878516,-0.482877064344381,0.0082546496073074,1
"X20",0.716816429365235,-0.549381502769367,0.000152465204229765,1
"X21",0.0224646997194439,-1.91368372403507,0.0707333174754654,1
"X22",8.54469912402427,0.456547859879037,0.780909004496836,1
"X23",-0.0654081331561497,3.52718100007143,0.184197123043886,1
"X24",0.201135248747986,-6.94243690327133,0.0273540343680027,1
"X25",-6.74595039141068,-6.99324486354807,0.904118477305904,1
"X26",13.5069614230606,-19.3402740649686,0.291393628405945,1
"X27",1.42485901441787,0.480943901302888,0.395235810694879,1
"X28",-0.0598543223441182,2.19955928639104,0.127157501866711,1
"X29",3.5815223977083,-2.30672501182703,0.247738218266443,1
"X30",-2.42346674400963,-0.911648473985023,0.0180564520697012,1
"X31",1.19758822996125,0.0305348688019442,0.000105271404255382,1
"X32",-1.88869392218531,3.95946052222539,0.00875027708021025,1
"X33",1.42083372528923,-3.38936865223383,7.49515120739511e-05,1
"X34",-0.197990937012386,2.78133233663979,0.10367595803293,1
"X35",0.41571577900654,-8.58409752738204,0.0513720104895928,1
"X36",0.546152334599253,-2.55635900049108,0.000173018704564505,1
"X37",-3.56447947460214,-1.64285884431159,0.662367921295301,1
"X38",1.38694919054917,-0.952417384362493,0.000116611630097748,1
"X39",10.0152232484638,-17.2808069800463,0.463225255081143,1
"X40",-16.4258772326625,-20.1155970840775,0.333859355136623,1
"X41",-0.585463396061903,3.96073372918923,0.174496364981688,1
"X42",0.884269687992777,-3.78919675953237,6.78921066509063e-05,1
"X43",11.5464268506487,-15.8940182552836,0.136943073375286,1
"X44",-0.260067793668476,1.22861454518298,0.496830851545452,1
"X45",-2.98433204744641,-1.26770638803357,0.038757563262066,1
"X46",2.70861836531278,2.10400000505909,0.00013195798319304,1
"X47",-5.16575690947366,-2.87998794930712,0.615498244533943,1
"X48",-1.71749139752488,0.74722003325493,0.582267291972324,1
"X49",2.06475491589524,-1.63497237761371,9.72146543149552e-05,1
"X50",-6.74833498815765,-5.69919406557176,0.914527912253104,1
"X51",1.73530468672738,-1.76638427617622,0.000141411009643024,1
"X52",-1.49881249316379,2.40054283687243,0.569679837894401,1
"X53",14.4389431841805,-16.8180602401942,0.095737631385292,1
"X54",-1.54351677737863,1.91936118002461,0.000813881083479689,1
"X55",0.296720003026973,-3.12796717773397,0.000673061515218775,1
"X56",-2.90890134699815,-1.41401457221395,0.770598361603437,1
"X57",1.46928009461506,-1.38274966888772,0.000100022890927482,1
"X58",0.734388719965192,-0.0166013758339255,0.000233285742158706,1
"X59",-4.85414802730158,-0.451683966536551,0.157618523348141,1
"X60",2.74287209763959,0.138884557975183,7.46631211025591e-05,1
"X61",-0.208424489952718,-3.46036863992189,0.000947022362390586,1
"X62",0.0599007572734587,3.11597094940775,0.14693346855576,1
"X63",-1.77537397756522,1.01151464429284,0.00686117688015195,1
"X64",0.598269490009985,-1.3951805338993,0.000201377691860533,1
"X65",-1.41315967333769,1.20655734097315,0.00177673517622403,1
"X66",1.58402454438013,-0.115851040177521,0.000249564470353372,1
"X67",-3.32867493847526,-0.850260989006332,7.45406997829044e-05,1
"X68",4.25946816796337,0.522620099654173,9.02209814303048e-05,1
"X69",-1.07942933115484,-1.80386187356262,5.9915471568801e-05,1
"X70",-10.5392103784017,-6.02391214289549,0.880428232224529,1
"X71",0.0282548223996621,-3.10003371433148,0.00461777623066651,1
"X72",0.624472325658794,0.193216032512559,0.000292057386868527,1
"X73",-15.9180657831363,-20.959568252789,0.504917992559291,1
"X74",-0.235633799918687,2.36121746061609,0.173758798689196,1
"X75",0.330406494038427,-2.49272822982837,0.000780467099656022,1
"X76",-3.2057596153989,-2.16967718317626,0.428289462587694,1
"X77",0.252463325521171,-1.00438688976446,0.000851804875007719,1
"X78",-2.39027129068175,-2.433263610114,0.0215273595660356,1
"X79",1.20217641351402,1.02319883732154,0.000161964739787952,1
"X80",3.80183921474333,0.914920186106813,0.318800711511863,1
"X81",-0.474305104713517,0.358523152761369,0.0312801871124759,1
"X82",3.11837952224173,-1.22546586161757,0.434238780037088,1
"X83",-0.435927443678889,-2.386798079131,0.000348174870263336,1
"X84",3.01018123374604,-0.873726342643428,0.875398144770838,1
"X85",-3.44940214098881,-2.21150519363605,0.0482180904313355,1
"X86",3.50733601632421,0.280472017142292,0.752724283002333,1
"X87",-8.69128588525876,-5.25884130528899,0.580665833515582,1
"X88",1.71785448319886,0.04615255053826,0.000125964033123214,1
"X89",0.712517060873669,-0.539932048536532,0.000302142690054548,1
"X90",-0.00618560937910448,0.877427212245164,0.15301599397681,1
"X91",-1.63394913369734,3.87213529564815,0.00841252891422719,1
"X92",0.572698761676276,0.406626917926058,0.000511665028953387,1
"X93",-11.6994803209489,-16.6895442309224,0.409004644736808,1
"X94",-0.0953490275841997,-1.10724158601448,0.0027048618428915,1
"X95",-14.9894045857678,-18.6199229323362,0.595763373045941,1
"X96",1.23303762089854,0.37751706055817,0.701974437721003,1
"X97",0.437424783445839,-7.62241342196952,0.0783728953232868,1
"X98",-9.28734891084616,-8.64105439201978,0.52911470634075,1
"X99",1.76575580047993,0.541479597346749,0.000125151351302057,1
"X100",-3.44727733375792,-2.48756122338196,0.145800502600022,1
