"","a1","d","g","u"
"X501",-1.04858828996905,-1.05790996330662,5.70583783252721e-05,1
"X502",-0.497701203483186,-0.00158899523039065,0.000287423115006169,1
"X503",-1.16273872350836,-0.790853053425709,7.27823085352276e-05,1
"X504",-1.39625501057856,-2.06180292840799,0.00973121186990534,1
"X505",1.89926483650916,-0.367399223413596,0.059057086970115,1
"X506",-2.93982398152214,-2.87952523876755,0.0194032178257826,1
"X507",-1.0156442377647,-1.48206558918036,6.42507620697872e-05,1
"X508",-0.721523038047669,-2.73304140156768,7.78835404154396e-05,1
"X509",-0.500796276666596,-1.93152304279176,8.16404903833658e-05,1
"X510",-1.15950457592825,-1.92514551673484,5.18371023392916e-05,1
"X511",-0.249228025054486,-0.788350015879046,0.000561511176931349,1
"X512",-0.531773626891627,-1.72978212307951,0.0002037196328509,1
"X513",-0.37573351326057,-1.27701810551928,0.000216574957771273,1
"X514",-1.12811656054065,-1.65216330651594,8.62622193617256e-05,1
"X515",-0.690129816672369,-1.10022024290875,8.24579625357532e-05,1
"X516",0.0246342989458724,-0.80637963954671,0.040522754581675,1
"X517",-0.708922410159411,1.43234993163603,0.000714430714291461,1
"X518",-0.707939873897943,-2.10884212450659,0.000263087843417858,1
"X519",1.95577001138258,0.609577814812672,0.000123048358451984,1
"X520",6.29216204954746,-10.5414484169159,0.395722679828357,1
"X521",-0.971139300107834,-1.50260278143411,0.000161439790728474,1
"X522",-0.875176633314241,0.227169460371706,0.000109817678340768,1
"X523",3.48619885580492,-3.3360278079128,0.222441979610251,1
"X524",-1.31566956185741,-1.821291680915,0.000915677033698829,1
"X525",-1.1408032535335,-1.18773372582971,5.47228645458422e-05,1
"X526",-1.029434130279,-0.948819024258557,9.51036842124782e-05,1
"X527",-1.75962308798674,-2.03452094791077,0.0027522100757066,1
"X528",2.20167140079096,-2.3926440004816,0.201819152092494,1
"X529",-0.838013534539096,-1.31347365720256,6.39583178886787e-05,1
"X530",-3.67807908562051,-3.65485315201076,0.108494088640045,1
"X531",-0.353187135292478,-0.646332383270035,0.000382599329033169,1
"X532",-0.672649833792307,-1.00548081067371,0.000385439805491172,1
"X533",-0.0355353288186052,-3.98663800931,0.289460314693221,1
"X534",3.39232080493078,-1.58815099409448,0.269942088856325,1
"X535",1.47818333070016,-1.67372992806325,0.179315294185295,1
"X536",-0.0810055216605514,-0.585764053541343,0.00473680507628583,1
"X537",-0.543370530047841,-1.41444247650706,0.000111353740640464,1
"X538",-1.21404553202291,-2.31309262239761,3.08333362985017e-05,1
"X539",2.45015963700572,-0.98398171189279,0.347175816616167,1
"X540",-1.36302344426228,-1.54146250718208,0.009224426472064,1
"X541",12.7789684500376,-12.5468601224034,0.135648257943304,1
"X542",2.90053555211876,-0.476607847121388,0.165200904188692,1
"X543",1.84212035740804,-1.16584707870689,0.000241863739337243,1
"X544",2.45944158205598,-2.1208293150094,0.160515900521189,1
"X545",-1.50456805712448,-1.57758269036059,4.05407688920953e-05,1
"X546",1.53876235557312,-0.121806740367745,0.000516860061453455,1
"X547",3.16341251915231,-0.711549144328051,0.0241879060501065,1
"X548",4.98944778426965,-0.349500322914774,0.144568986604925,1
"X549",-0.19010219138606,-1.62715751362706,0.000567154097139813,1
"X550",-0.482343505214789,-1.60439138299107,7.91254816898196e-05,1
"X551",1.70206688939697,-0.965002166358647,0.0196584592371913,1
"X552",-0.976466090553754,-1.65219430819761,4.40952187517822e-05,1
"X553",2.23775303636648,-0.340322909534418,5.14047556897143e-05,1
"X554",-0.787148889168758,-1.9114405826006,0.000287323509196274,1
"X555",1.24848736499141,-1.46012705036253,0.237947531149289,1
"X556",-1.11851521058801,-1.46898120949496,0.00142965708945561,1
"X557",4.41970095824458,-4.90637094372318,0.142149719642862,1
"X558",3.5307551600654,-1.05175538939472,0.321229375043813,1
"X559",-0.782630689704551,-0.0806320792200675,0.000270393482536592,1
"X560",-0.317452030968416,-2.11069907973967,0.000276806053566335,1
"X561",-0.0440863288858468,-1.09716646589321,0.0102716894855251,1
"X562",-0.487565456148832,-0.373553690075963,0.000202166968087286,1
"X563",-0.468568662929248,-1.70300675604346,9.56723607897624e-05,1
"X564",-0.118053663254966,-1.89671263350463,0.00114843761357168,1
"X565",-1.43268432824781,-0.974947129279521,0.000195508875455107,1
"X566",4.96069679702689,-5.3684765250035,0.193906163231136,1
"X567",-0.327510738055506,-0.575751347817875,0.000312371854266025,1
"X568",-1.05952612383063,-2.14301960106644,3.05784313787695e-05,1
"X569",-0.379037079232022,-1.7416041987404,0.000132200511377582,1
"X570",-0.623830520550663,-1.44480240936455,0.000111382910459751,1
"X571",-1.33083535099702,-2.23082176072115,3.4810172652835e-05,1
"X572",2.85996006370426,-0.899035396817195,0.0404056821167124,1
"X573",-0.580379571496164,0.964663855584163,0.000476483955179603,1
"X574",-0.558978467678229,-1.3260541980537,9.23711563190715e-05,1
"X575",-0.159001069577353,-0.423230582131577,0.00119048136135686,1
"X576",2.5772889055527,-2.14796553249925,0.0551272942638258,1
"X577",3.95204365812165,-2.79296046740724,0.139744373338989,1
"X578",-2.40078560648364,-2.52209369033254,0.316239143154732,1
"X579",-0.715801499060838,-2.26211322493163,0.000109153169418383,1
"X580",-2.88013798431716,-3.88909862466015,0.0345890414091841,1
"X581",2.52086577642918,-3.89715998120771,0.100833315701083,1
"X582",1.61360820404341,-0.604615917414265,0.000285981791746382,1
"X583",2.46321610204395,0.451449879234592,0.0429566544080304,1
"X584",1.79844729335078,0.0575355331784606,0.0011883827377567,1
"X585",-0.175994323337244,-0.972686805446185,0.000603937321308231,1
"X586",6.02319224491664,-4.8725119250718,0.0760778675833374,1
"X587",-0.667925866442468,-1.60081317976817,0.000342722888895576,1
"X588",3.41921311123449,-5.42051099735947,0.174497072547337,1
"X589",3.46680683919009,-4.51243070494688,0.139659657947527,1
"X590",-0.375467938435963,-1.97774615797488,0.000152911485870624,1
"X591",-0.556774880302096,-1.33163984325891,0.000125003164467786,1
"X592",-0.241966807791043,-0.873724076126617,0.000454819723962875,1
"X593",4.07978575409007,-0.457978626181158,0.0998243632393354,1
"X594",-1.59577886278618,-3.93502018840978,0.0888666021951572,1
"X595",3.56833396914397,-4.36661711355519,0.313955957189867,1
"X596",-2.93494606589611,-3.55274134876693,0.0880426030858246,1
"X597",-0.561141123668327,-2.0144130591853,0.000118838545939116,1
"X598",-3.50625698590985,-4.06806608919805,0.0605509719056989,1
"X599",-1.21888291780235,-1.5462902752835,5.50863828071007e-05,1
"X600",-0.59162551497767,-2.7242476515284,0.000121858465785251,1
