"","a1","d","g","u"
"X1",0.310732151935741,-1.50467939115448,0,1
"X2",3.94893333433871,-3.89472422545916,0,1
"X3",0.15981995584598,-0.813867043652774,0,1
"X4",2.92598163109056,-2.25484671796238,0,1
"X5",-0.678849851004129,-0.443450094948391,0,1
"X6",-1.05732328430943,-0.880693677401464,0,1
"X7",4.57955187208507,-4.0857283470383,0,1
"X8",1.9689192900876,-2.13179557519242,0,1
"X9",0.509536652692001,-1.17242276692296,0,1
"X10",0.178498585325069,0.234484853683303,0,1
"X11",-1.33954549073194,-0.170453397935209,0,1
"X12",2.39469931481122,-2.97381562655072,0,1
"X13",1.07107982225942,-1.66197885419859,0,1
"X14",0.970857800047186,-1.56030846056891,0,1
"X15",1.25219158001867,-1.65601567932087,0,1
"X16",7.5674595743585,-6.22650990909542,0,1
"X17",0.920562965191145,-1.60591797524475,0,1
"X18",0.473650570593322,-1.66870933866741,0,1
"X19",1.28447545975499,-1.43855395011577,0,1
"X20",0.850862684993264,-1.32310816538402,0,1
"X21",1.16776180939923,-1.63112084522957,0,1
"X22",0.516429310775292,-2.36341212683794,0,1
"X23",0.054389511219152,-0.418040699474028,0,1
"X24",0.783239413701844,-2.40398592223938,0,1
"X25",-1.27935274969337,-0.557155019795867,0,1
"X26",1.12486039570019,-1.54141973534822,0,1
"X27",0.227412651728723,-0.67121087839102,0,1
"X28",0.935426465718998,-1.18308228457504,0,1
"X29",0.618382387869878,-1.40188453104485,0,1
"X30",0.997368569273996,-1.18927883029916,0,1
"X31",0.461345453729452,-1.51164201847576,0,1
"X32",-1.2127777609321,-1.44436102808388,0,1
"X33",1.3920578469761,-1.46242094537863,0,1
"X34",0.307731300142042,-1.38118650780152,0,1
"X35",-2.91863494074803,0.830109165220917,0,1
"X36",0.417792541828924,0.430889299306741,0,1
"X37",-1.33818058391168,-0.0709354438948245,0,1
"X38",0.241757877888469,-0.797642143250124,0,1
"X39",1.85891480536897,-1.82131265544399,0,1
"X40",0.243757338468796,-1.74700456511903,0,1
"X41",0.460450748111965,-1.11147160422404,0,1
"X42",0.15715022306867,-2.13395624017252,0,1
"X43",1.06981142808176,-0.873389986288888,0,1
"X44",-0.756056961731718,-0.171219096562948,0,1
"X45",0.582879901198981,-0.737260133730568,0,1
"X46",1.06843984334412,-1.66760072449682,0,1
"X47",0.608749689242327,-1.21010346477715,0,1
"X48",0.306976254351383,-1.17476785728538,0,1
"X49",-1.56497630829324,-0.292781783152383,0,1
"X50",0.704535779575482,-2.93129504297871,0,1
"X51",1.0949364241665,-1.30602206633756,0,1
"X52",0.910043638015661,-1.52956703925336,0,1
"X53",-1.20313862526957,-0.788782616339118,0,1
"X54",0.735821735972426,-2.45592424729429,0,1
"X55",4.18488990096774,-3.87058458408036,0,1
"X56",1.55744175605911,-1.45425010433041,0,1
"X57",0.427933894495412,-1.13699367264896,0,1
"X58",1.03242537848978,-1.51510544624904,0,1
"X59",4.24706650468896,-2.67279089681358,0,1
"X60",0.166312292641208,-1.37337134528905,0,1
"X61",1.47302769065818,-2.91331476702953,0,1
"X62",1.57806744444827,-1.91679496584718,0,1
"X63",1.72857944707695,-1.62090194326742,0,1
"X64",0.271921015660315,-0.38670784637158,0,1
"X65",0.559005364170163,-0.931389268689955,0,1
"X66",0.887801999912227,-2.50875314570654,0,1
"X67",5.1626230374102,-3.97704311210874,0,1
"X68",2.50518103515818,-1.62688398582365,0,1
"X69",1.49521984820149,-0.740081050882114,0,1
"X70",0.0782836590601613,-0.876312103700045,0,1
"X71",0.730230376104657,-1.7966910016082,0,1
"X72",-1.77026903917534,0.154609578769022,0,1
"X73",7.47122479660643,-6.21560420827004,0,1
"X74",-0.609545297842261,-0.0961321273544888,0,1
"X75",0.800303147499714,-1.46904257436556,0,1
"X76",-3.52094497942832,0.663130540972003,0,1
"X77",0.6628839761076,-2.34459329722472,0,1
"X78",0.495625816639056,-1.21957810382898,0,1
"X79",-3.03936703473995,0.350560735683225,0,1
"X80",1.90226669205479,-2.54618180824465,0,1
"X81",1.10069289106266,-1.30258341970339,0,1
"X82",-1.62396625912778,0.493931119396895,0,1
"X83",2.24281952528112,-3.14361429151921,0,1
"X84",0.12005668260203,-1.27809266886508,0,1
"X85",-3.69793888446936,-0.46242537934091,0,1
"X86",0.981465981599159,-1.76306671387971,0,1
"X87",5.95104352411972,-5.01176106353502,0,1
"X88",2.19419588770838,-2.69222011310301,0,1
"X89",1.80179292106566,-1.94819460386587,0,1
"X90",0.759518400545568,-1.43572172084881,0,1
"X91",1.29269495275276,-2.0435321032042,0,1
"X92",-1.54689978392084,-0.255468125335916,0,1
"X93",0.815509509727135,-0.906308503932682,0,1
"X94",-1.45891292294418,-1.02404686543525,0,1
"X95",0.578718043113185,-0.610767584761057,0,1
"X96",0.343705677018485,-1.7271034117837,0,1
"X97",0.318055941666919,-0.590913027405114,0,1
"X98",-2.46730453772675,0.0571840518943879,0,1
"X99",0.499248610293814,-1.12590888959583,0,1
"X100",0.402136914675756,-0.744331465899741,0,1
