model,actual_full,pirt_pred,mean_p_pred,theta,se,n_items
01-ai/Yi-1.5-6B,0.3385146804835924,0.18882052440610303,0.18749311332050017,-0.6361902286502392,0.2946589614492354,11
AicoresSecurity/Cybernet-Sec-3B-R1-V0-Coder,0.39378238341968913,0.33547026041044825,0.33394303514339596,0.3681171260446379,0.15745144249924162,8
AicoresSecurity/Cybernet-Sec-3B-R1-V1.1,0.38341968911917096,0.33547026041044825,0.33394303514339596,0.3681171260446379,0.15745144249924162,8
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,0.22797927461139897,0.2590167096809681,0.25867727225533377,-0.04336110194885999,0.21773207489045962,8
BlackBeenie/Neos-Llama-3.1-base,0.19516407599309155,0.12625713427311727,0.12630994674706048,-1.7456528780089533,0.2999544890094199,63
BramVanroy/fietje-2-chat,0.24352331606217617,0.18226388954844336,0.1826071826099896,-0.691179623661554,0.2765715196587419,10
BramVanroy/fietje-2-instruct,0.22279792746113988,0.17900474668331373,0.17852730889869814,-0.7394575977871334,0.27363699631498967,11
Daemontatox/Zirel_1.5,0.23661485319516407,0.1344270553790678,0.13629432238826647,-1.4602258277830993,0.27578041779373125,42
DavieLion/Llama-3.2-1B-SPIN-iter3,0.3316062176165803,0.31093497676343246,0.3097131923478427,0.2515469644634039,0.16669385852771584,8
DeepMount00/Lexora-Lite-3B,0.24006908462867013,0.2590167096809681,0.25867727225533377,-0.04336110194885999,0.21773207489045962,8
EpistemeAI/Athena-gemma-2-2b-it,0.28324697754749567,0.15283392754306988,0.1524016116569636,-1.1207722387490358,0.2730925918682914,20
EpistemeAI/Athene-codegemma-2-7b-it-alpaca-v1.3,0.26252158894645944,0.23063473750375763,0.2304886356539753,-0.243867538027824,0.24536294332019978,8
EpistemeAI/Reasoning-Llama-3.2-1B-Instruct-v1.2,0.37823834196891193,0.33547026041044825,0.33394303514339596,0.3681171260446379,0.15745144249924162,8
EpistemeAI/ReasoningCore-3B-Instruct-r01-Reflect,0.39378238341968913,0.33547026041044825,0.33394303514339596,0.3681171260446379,0.15745144249924162,8
J-LAB/Thynk_orpo,0.29533678756476683,0.2192730584399361,0.21947449499706406,-0.332254958147793,0.24807403472640513,8
JayHyeon/Qwen-0.5B-DPO-5epoch,0.25215889464594127,0.19503781420139102,0.1944469048593507,-0.5625794958660209,0.2992327018302011,10
JayHyeon/Qwen2.5-0.5B-SFT,0.3298791018998273,0.22472158905116374,0.22459939341809648,-0.29030730803193505,0.29527540264597074,10
JayHyeon/Qwen2.5-0.5B-SFT-1e-5-2ep,0.35060449050086356,0.2767483924175974,0.2759567393156626,0.06501068571519457,0.25508413169713734,8
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-6-1ep_0alp_5lam,0.35751295336787564,0.3047403206736305,0.30364014196256955,0.22019914583472142,0.19327068893900198,8
