"X","a1","d","g","u"
"X1",7.16903937206461,-10.6852095260166,0.0148157313330586,1
"X2",5.89607528248102,-6.27691237590493,0.193682344201712,1
"X3",1.08436382674145,1.42021745991881,0.256730474703531,1
"X4",2.48001097243822,-0.488658712110591,0.0330959426760274,1
"X5",1.86589950324725,0.89455143157296,9.14338860302595e-05,1
"X6",1.3015552119121,-3.73467752562226,7.20338871611309e-05,1
"X7",2.63602842361354,-4.16767060510024,0.00652480440695521,1
"X8",4.12346605745187,-4.24832138895333,0.00158423766913353,1
"X9",12.7355766254394,-18.5419017306429,0.146299890317004,1
"X10",5.70503675213221,-7.53806060807781,0.00472722556046708,1
"X11",4.53389243116866,-4.03478782563093,0.0496436720695459,1
"X12",1.96981060792878,-0.756010600736655,0.208584069936663,1
"X13",4.8866650417109,-4.73508129078739,0.0326291117919232,1
"X14",1.04961513123829,-3.04618356378848,4.67124526263018e-05,1
"X15",0.314808140443046,-2.80503583517003,0.00212062943622318,1
"X16",3.31638364025369,-4.76653473889671,0.00742164037246629,1
"X17",4.45313610991125,-5.99065370588263,0.00178373376627443,1
"X18",1.34682848531125,-0.681403931235192,9.36422484488508e-05,1
"X19",1.71924609031581,0.814661889492364,0.000294010487979963,1
"X20",2.51108982855451,-2.04340299639957,0.360540612948092,1
"X21",2.41697519267734,-2.285757818549,5.54006768258509e-05,1
"X22",4.14668384917476,-4.29486418176957,0.0335249652989015,1
"X23",4.1287059321078,-3.74158399808197,0.28960339375048,1
"X24",1.35573858592012,-2.63271212432285,0.0301207217292443,1
"X25",16.6086496653526,-24.675343303951,0.0869403534540568,1
"X26",0.505009724239336,0.453829577843047,0.000520179167464514,1
"X27",3.9749946713595,-4.48125937020787,1.72641415450889e-05,1
"X28",2.14180391524709,0.0762754151006606,0.0673779071420392,1
"X29",0.167043487012848,-0.354382859620704,0.00340829484733608,1
"X30",4.26539699941763,-6.74611355211236,0.00482054703847796,1
"X31",3.52966190693963,-3.3681348781392,0.00299596699290126,1
"X32",4.20630988023491,-3.57037595941556,0.014544963728668,1
"X33",3.58404154938832,-4.00024747025927,6.81849756929362e-05,1
"X34",1.44176221891515,1.09132082406828,0.0121496364599728,1
"X35",2.98895164754281,-3.27752922035934,0.0218317074048904,1
"X36",6.19571803689745,-11.4757507253877,6.49695519678277e-06,1
"X37",-1.31721271380098,-0.616342740749637,0.00266402293880753,1
"X38",1.67050366300766,0.91539627266681,0.000113503060737287,1
"X39",4.29301133904023,-3.81863359357352,0.0246938311938859,1
"X40",3.48850324180072,-5.19272447763046,0.0524113576979061,1
"X41",3.08476113607719,-3.94672353797781,0.00968668168143313,1
"X42",1.37791011249265,-2.16627161453295,6.72524463217301e-05,1
"X43",5.45537847262827,-6.08189253657871,1.17239852485758e-05,1
"X44",2.36719135879337,-0.442626585853301,0.0295836468685369,1
"X45",3.62548052749501,-5.07488827820914,0.374901554132158,1
"X46",5.82893311163259,-5.94476657693323,0.291660924385167,1
"X47",5.73176474332136,-5.17199424330799,0.0830317869846359,1
"X48",1.31552582957402,-1.64629033351804,0.00023388745561028,1
"X49",1.97483073197616,1.52902159930985,0.00021504589610902,1
"X50",1.8703650860966,1.40080385685672,0.00130266351833349,1
"X51",3.61192040239269,-4.68966605135791,0.0104133732782053,1
"X52",2.73812750951243,-3.62140051305514,0.00126208495574067,1
"X53",2.28229550663118,-4.46111314888854,1.1248661605097e-05,1
"X54",-0.261306767618046,-0.867606502891366,0.000590946257867425,1
"X55",2.22515640518174,-4.0315095646045,0.00130008758699846,1
"X56",2.05641596914387,1.65301723674313,0.000183702490351799,1
"X57",1.2312448635606,-0.39661022564908,0.0001148107310995,1
"X58",1.55732229617115,-0.311806027799434,5.80172894140025e-05,1
"X59",1.46874014392765,-5.61285732621609,1.60964316850865e-05,1
"X60",8.51616019033463,-11.730761565968,8.37653643504552e-06,1
"X61",0.63428045854158,-1.36926430012349,0.000128767359125504,1
"X62",4.00488857249101,-5.15099723261656,1.13210658588137e-05,1
"X63",0.501231400421046,-0.634753959168183,0.000762378838946332,1
"X64",0.558469496239006,-3.41764165399213,9.26982053169689e-05,1
"X65",1.9967162736976,-3.12246243776613,1.33223190446803e-05,1
"X66",1.75990547436113,-3.21096001982063,2.22240087525889e-05,1
"X67",1.12021912811275,0.0221966531249179,0.000240883969883772,1
"X68",1.46039408330963,-2.76762641734329,0.00273573760971886,1
"X69",3.02048297439793,-3.51218451443023,2.14205082605803e-05,1
"X70",-1.02593306611734,-5.88012323808921,1.55869784812559e-05,1
"X71",7.91816395806346,-14.3401137555688,6.1841999480318e-06,1
"X72",2.97451863714766,-8.69878625442988,7.93807104664454e-06,1
"X73",1.39830471760596,-0.366466629797745,0.00020783949874255,1
"X74",4.05661378752212,-3.33479773997346,0.0585415271193159,1
"X75",2.90918909727973,-3.61850665026522,0.0149406114738932,1
"X76",3.06964946976198,-5.57141291275394,0.0334899713347567,1
"X77",3.36312942670586,-2.84809717411014,0.028286059427652,1
"X78",4.37071268394375,-5.97319695821334,0.00836536448700114,1
"X79",2.50223230112822,-3.71040026013382,0.00824910908621715,1
"X80",0.25582703824397,-4.65981085236583,0.000397739344875809,1
"X81",0.113601716643294,-1.7627406697698,0.00239920675946381,1
"X82",0.542502431351734,-0.373316839530143,0.000232254283795428,1
"X83",3.24587222455094,-4.93448433880589,0.0158666793944923,1
"X84",8.776514628111,-7.90759460243163,0.157831223237811,1
"X85",3.66927256505421,-3.14229971166463,0.0553864535589925,1
"X86",4.56993169024876,-3.42935565956658,0.0354541601396051,1
"X87",3.08214155012545,-4.57108217797886,2.04507439950227e-05,1
"X88",1.84550249131165,-4.84961540309977,0.00965406999696373,1
"X89",2.29954831370009,-4.47914013023157,9.77907692240298e-06,1
"X90",3.80724535476172,-1.23411726536889,0.0586661586341485,1
"X91",-1.84601806399059,-5.34646854097535,1.11802884153771e-05,1
"X92",2.91446541858855,-4.04003561509293,0.0200919117425271,1
"X93",2.20119898198703,-2.70642117373054,2.40032183804145e-05,1
"X94",-0.0839277591403004,1.65242384948674,0.149617814252391,1
"X95",4.11916271824375,-3.84220537069596,0.0144052321192389,1
"X96",-1.98912529702511,-5.46794179090379,0.0110550988082414,1
"X97",4.32941088872132,-3.53524180991327,0.0358178029797846,1
"X98",1.37155382900877,-0.334019012057602,0.000393077106150218,1
"X99",3.86318411034374,-3.65922346950961,0.0257574942156829,1
"X100",2.03110638529804,-1.02864580244194,9.12574124070345e-05,1
"X101",4.77648355741575,-5.36471282856599,0.0130283140910095,1
"X102",6.83804313313217,-6.19935749650885,0.444628682407834,1
"X103",5.49977928565404,-7.05860942678073,0.275119324169918,1
"X104",3.13294048065333,-4.42988095954389,1.46615045884743e-05,1
"X105",1.28093380705973,-1.23526973361406,0.0712542242437645,1
"X106",3.29032648353556,-5.90207542186708,0.000749032841755607,1
"X107",4.07555787403142,-5.54801925165932,0.0459040796088651,1
"X108",2.58969293787119,-0.35232961937568,0.0848825574982096,1
"X109",4.34858194604175,-1.71514181975752,0.0181742992322794,1
"X110",0.464996561622617,-1.33610396288144,0.000540234611470927,1
"X111",3.65208074620671,-2.77769810976113,0.105214649751294,1
"X112",2.25766129228796,1.81677721858092,0.000343936013812903,1
"X113",2.07996088280529,-3.58331128756011,6.28696111065238e-05,1
"X114",1.25640348182872,2.12317611904603,0.00624271362959024,1
"X115",3.70907380380102,-0.441335616959096,0.0699247078012577,1
"X116",5.4262923326864,-5.82546948058447,1.14448275993926e-05,1
"X117",0.413756934887499,-0.0964380332065331,0.199587951164484,1
"X118",3.81378363820424,-8.84119738845911,1.66288913942138e-05,1
"X119",1.93654978753168,-0.345315002560979,0.115422664438746,1
"X120",0.988917234364203,-0.592857638623108,0.000143278355952619,1
"X121",1.20845989125994,-1.12115688942362,0.000236764069219297,1
"X122",2.04591725361953,-1.0215367939597,0.317077759766628,1
"X123",1.67967278752171,-3.51690894036974,0.0566113693493138,1
"X124",3.03005198422084,-3.00028165735445,0.00629696270625459,1
"X125",1.44216393513915,1.22761966311731,0.000176132429378317,1
"X126",1.30727750583091,-0.91185983216867,7.04297564613965e-05,1
"X127",3.04935107777195,-3.93033815322721,0.00260466633890041,1
"X128",1.8566315136328,-4.9278097499318,5.16919619106814e-05,1
"X129",4.61949623618941,-3.94500477932276,0.0158959151614228,1
"X130",1.36485815426798,-6.47461668842912,3.03114890212757e-05,1
"X131",3.37193063531052,-3.87745224626081,0.0419623824188499,1
"X132",3.23493112002833,-4.38600585773213,0.354373080719764,1
"X133",3.87867009822126,-4.37993903805041,0.017558469539663,1
"X134",6.05556680544822,-6.52204116619268,0.00946331917047461,1
"X135",2.12449137087999,-5.0735334510082,0.00833416898016377,1
"X136",2.78337613163956,-5.16976579509025,2.79036849593962e-05,1
"X137",2.21598717039612,-0.933470941109873,0.0589209965206691,1
"X138",2.24495980270673,0.625817747615604,0.0011922950307502,1
"X139",4.06450845720302,-4.72006638706274,0.0412391731507499,1
"X140",1.40431076845997,-0.315573047846063,0.000279587337178044,1
"X141",8.37413162439168,-7.2131994932345,0.43546306755741,1
"X142",5.43151392357894,-4.62962233320341,0.387750425854215,1
"X143",1.82589532641251,-2.40744433877733,0.0200141340816342,1
"X144",2.71297413250085,-3.30912485233835,3.88790339036534e-05,1
"X145",6.28242851205212,-7.79560051912888,0.00695662952193148,1
"X146",-2.63941664460548,-6.8245815766223,0.0024747474805096,1
"X147",1.22729359826742,0.723528548202673,0.00064449138676692,1
"X148",2.23845434308846,-1.23486086611754,0.22513699155837,1
"X149",-2.96302132491887,-4.67304544875996,0.234779152777004,1
"X150",1.54896676311881,-0.488891204358392,0.000127823196753108,1
"X151",1.68051081493944,1.40876432071843,0.000127751769259791,1
"X152",1.4316967033377,-0.235981421876299,0.0402147729906897,1
"X153",4.33015032451296,-6.68299362635812,0.0171789510382968,1
"X154",1.92480896771212,-4.40877517151173,7.23765154319654e-05,1
"X155",1.15961036376627,-0.407521716556945,0.00479225455905412,1
"X156",1.17223078216873,0.0927358148318274,0.00674476444399632,1
"X157",1.71908074260589,-0.67814349564332,0.00143166489564776,1
"X158",4.60596750297716,-4.835508205899,1.31515377547688e-05,1
"X159",1.52222124544957,0.556905572047911,0.0655281473404512,1
"X160",3.09944595784844,-7.90146011060822,9.89248430724528e-06,1
"X161",1.11814524320029,-0.0331291475898608,0.00207925539017001,1
"X162",6.8205065067467,-9.4852769602896,0.472489572953846,1
"X163",6.6990632368373,-5.54914235626594,0.0578300324045316,1
"X164",0.900587207981835,1.57620560841412,0.00557064086968059,1
"X165",7.81537500042289,-7.82220841789306,0.209521146416477,1
"X166",12.0174644739473,-19.1040131171968,0.16114687669946,1
"X167",2.54207213392157,-6.73532097103575,1.20435988977806e-05,1
"X168",2.68632862407929,-3.5726098206942,0.00229391216976225,1
"X169",3.94645915177519,-3.57209632716771,0.0170781644330454,1
"X170",-1.67368450504626,-3.99804617635258,0.000229537503236533,1
"X171",2.20980577724874,-4.68163205046636,0.00237488161989257,1
"X172",2.4251610483622,-3.35121453976547,0.00011855380618753,1
"X173",3.90048120296068,-4.75196068483226,0.031303168940749,1
"X174",1.1035117611417,0.0927102943956999,0.000193572766610294,1
"X175",3.41799644354202,-3.75267317825856,0.00853847949773701,1
