fullname,params_b,average,details_repo
EleutherAI/pythia-160m,0.213,5.730394616916023,open-llm-leaderboard/EleutherAI__pythia-160m-details
BEE-spoke-data/smol_llama-220M-GQA,0.218,6.577800964187134,open-llm-leaderboard/BEE-spoke-data__smol_llama-220M-GQA-details
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,0.218,6.629850832257909,open-llm-leaderboard/BEE-spoke-data__smol_llama-220M-GQA-fineweb_edu-details
BEE-spoke-data/smol_llama-220M-openhermes,0.218,4.938005238605682,open-llm-leaderboard/BEE-spoke-data__smol_llama-220M-openhermes-details
Daemontatox/TinySphinx,0.247,8.167167127412911,open-llm-leaderboard/Daemontatox__TinySphinx-details
Daemontatox/TinySphinx2.0,0.247,7.583926718324835,open-llm-leaderboard/Daemontatox__TinySphinx2.0-details
Locutusque/TinyMistral-248M-v2.5,0.248,4.035439468453137,open-llm-leaderboard/Locutusque__TinyMistral-248M-v2.5-details
M4-ai/TinyMistral-248M-v3,0.248,4.20563631018843,open-llm-leaderboard/M4-ai__TinyMistral-248M-v3-details
google/flan-t5-base,0.248,6.415642124982084,open-llm-leaderboard/google__flan-t5-base-details
keeeeenw/MicroLlama,0.305,5.266088341806957,open-llm-leaderboard/keeeeenw__MicroLlama-details
Mxode/NanoLM-0.3B-Instruct-v1,0.315,5.737739264323998,open-llm-leaderboard/Mxode__NanoLM-0.3B-Instruct-v1-details
Mxode/NanoLM-0.3B-Instruct-v1.1,0.315,5.974298608437977,open-llm-leaderboard/Mxode__NanoLM-0.3B-Instruct-v1.1-details
Mxode/NanoLM-0.3B-Instruct-v2,0.315,5.01367055199107,open-llm-leaderboard/Mxode__NanoLM-0.3B-Instruct-v2-details
microsoft/DialoGPT-medium,0.345,5.251433606790305,open-llm-leaderboard/microsoft__DialoGPT-medium-details
Sharathhebbar24/SSH_355M,0.355,5.371931358828882,open-llm-leaderboard/Sharathhebbar24__SSH_355M-details
HuggingFaceTB/SmolLM-360M,0.36,6.260888857386585,open-llm-leaderboard/HuggingFaceTB__SmolLM-360M-details
HuggingFaceTB/SmolLM2-360M,0.36,6.251282350517303,open-llm-leaderboard/HuggingFaceTB__SmolLM2-360M-details
HuggingFaceTB/SmolLM2-360M-Instruct,0.36,8.139566424375877,open-llm-leaderboard/HuggingFaceTB__SmolLM2-360M-Instruct-details
HuggingFaceTB/SmolLM-360M-Instruct,0.362,5.0088989557053685,open-llm-leaderboard/HuggingFaceTB__SmolLM-360M-Instruct-details
aloobun/d-SmolLM2-360M,0.362,6.184070904256285,open-llm-leaderboard/aloobun__d-SmolLM2-360M-details
assskelad/smollm2-360M-sft_SmallThoughts,0.362,5.0424666628422985,open-llm-leaderboard/assskelad__smollm2-360M-sft_SmallThoughts-details
prithivMLmods/SmolLM2-CoT-360M,0.362,5.9507483871396545,open-llm-leaderboard/prithivMLmods__SmolLM2-CoT-360M-details
thirdeyeai/elevate360m,0.362,1.918188276637857,open-llm-leaderboard/thirdeyeai__elevate360m-details
voidful/smol-360m-ft,0.362,4.7899302409628595,open-llm-leaderboard/voidful__smol-360m-ft-details
vonjack/SmolLM2-360M-Merged,0.362,7.294376590792457,open-llm-leaderboard/vonjack__SmolLM2-360M-Merged-details
vihangd/smart-dan-sft-v0.1,0.379,3.871212537831616,open-llm-leaderboard/vihangd__smart-dan-sft-v0.1-details
openai-community/gpt2-medium,0.38,5.902340287154445,open-llm-leaderboard/openai-community__gpt2-medium-details
postbot/gpt2-medium-emailgen,0.38,4.743048119298616,open-llm-leaderboard/postbot__gpt2-medium-emailgen-details
google/mt5-base,0.39,3.716339524462038,open-llm-leaderboard/google__mt5-base-details
jaredjoss/pythia-410m-roberta-lr_8e7-kl_01-steps_12000-rlhf-model,0.407,3.81661033477558,open-llm-leaderboard/jaredjoss__pythia-410m-roberta-lr_8e7-kl_01-steps_12000-rlhf-model-details
CoolSpring/Qwen2-0.5B-Abyme,0.494,4.999994251217356,open-llm-leaderboard/CoolSpring__Qwen2-0.5B-Abyme-details
JayHyeon/Qwen-0.5B-DPO-1epoch,0.494,7.385732750247261,open-llm-leaderboard/JayHyeon__Qwen-0.5B-DPO-1epoch-details
JayHyeon/Qwen-0.5B-DPO-5epoch,0.494,7.198583184761694,open-llm-leaderboard/JayHyeon__Qwen-0.5B-DPO-5epoch-details
JayHyeon/Qwen-0.5B-IRPO-1epoch,0.494,7.031892544703613,open-llm-leaderboard/JayHyeon__Qwen-0.5B-IRPO-1epoch-details
JayHyeon/Qwen-0.5B-IRPO-5epoch,0.494,6.9234686409529,open-llm-leaderboard/JayHyeon__Qwen-0.5B-IRPO-5epoch-details
JayHyeon/Qwen-0.5B-eDPO-1epoch,0.494,7.280997177732158,open-llm-leaderboard/JayHyeon__Qwen-0.5B-eDPO-1epoch-details
JayHyeon/Qwen-0.5B-eDPO-5epoch,0.494,6.72779460682018,open-llm-leaderboard/JayHyeon__Qwen-0.5B-eDPO-5epoch-details
JayHyeon/Qwen2.5-0.5B-Instruct-SFT-DPO-1epoch_v1,0.494,8.15078478555964,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-Instruct-SFT-DPO-1epoch_v1-details
JayHyeon/Qwen2.5-0.5B-Instruct-SFT-IRPO-1epoch_v1,0.494,8.319017359475316,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-Instruct-SFT-IRPO-1epoch_v1-details
JayHyeon/Qwen2.5-0.5B-Instruct-SFT-MDPO-1epoch_v1,0.494,7.896219502136105,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-Instruct-SFT-MDPO-1epoch_v1-details
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-6-1ep_0alp_5lam,0.494,7.89170131391145,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-6-1ep_0alp_5lam-details
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-6-2ep_0alp_5lam,0.494,7.618464097122786,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-6-2ep_0alp_5lam-details
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-7-1ep_0alp_5lam,0.494,7.430131653175725,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-7-1ep_0alp_5lam-details
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-7-2ep_0alp_5lam,0.494,7.336426732183583,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-7-2ep_0alp_5lam-details
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_1e-6-1ep_0alp_0lam,0.494,7.714071022336462,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_1e-6-1ep_0alp_0lam-details
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_1e-6-2ep_0alp_0lam,0.494,7.634084055658554,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_1e-6-2ep_0alp_0lam-details
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_1e-7-2ep_0alp_0lam,0.494,7.773024145558947,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_1e-7-2ep_0alp_0lam-details
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_2e-6-1ep_0alp_0lam,0.494,7.393492455729212,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_2e-6-1ep_0alp_0lam-details
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_2e-6-2ep_0alp_0lam,0.494,7.844417926699584,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_2e-6-2ep_0alp_0lam-details
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_3e-6-1ep_0alp_0lam,0.494,7.753028845132317,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_3e-6-1ep_0alp_0lam-details
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_3e-6-2ep_0alp_0lam,0.494,7.5524251169059395,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_3e-6-2ep_0alp_0lam-details
