model_a,model_b,accuracy,theta_a,theta_b,theta_gap,heldoutB_gap,se_a,se_b,z_gap,acc_a,acc_b,acc_diff,n_items,n_correct_a,n_correct_b,mean_disc_correct_a,mean_disc_correct_b,mean_diff_correct_a,mean_diff_correct_b,disc_correct_gap,diff_correct_gap,mechanism_confirmed
meditsolutions/SmolLM2-MedIT-Upscale-2B,sabersaleh/Llama2-7B-SimPO,0.01014370245139476,-0.3451812771347954,-1.595641758866638,1.2504604817318428,0.0,0.12958159405284886,0.40575901093030703,2.9357110612052484,0.011834319526627219,0.0084530853761623,0.0033812341504649186,1183,14,10,2.3519829019165335,2.2718080763469457,1.3179364924184862,3.733487281732734,0.08017482556958777,-2.4155507893142474,True
bunnycore/Gemma-2-2B-Smart,ontocord/wide_3b_sft_stage1.1-ss1-with_generics_intr_math_stories.no_issue,0.01014370245139476,-0.35056591205109855,-1.4150036808073185,1.0644377687562199,0.0033783783783783786,0.13102202602007823,0.3752460454540135,2.678084132726679,0.011834319526627219,0.0084530853761623,0.0033812341504649186,1183,14,10,2.5063996723825523,2.021170324157377,0.8528607095928731,4.032670758132346,0.48522934822517527,-3.1798100485394727,True
JayHyeon/Qwen2.5-0.5B-SFT-DPO-1epoch_v1,princeton-nlp/Sheared-LLaMA-1.3B,0.010989010989010988,-0.36026843758256094,-1.3917845877373765,1.0315161501548156,0.0016891891891891893,0.13237986094294163,0.3856581822760798,2.5298018436030945,0.01267962806424345,0.009298393913778529,0.0033812341504649204,1183,15,11,2.7108044585723094,1.5140200795964918,1.460150244209802,23.129451432722654,1.1967843789758177,-21.66930118851285,True
Goekdeniz-Guelmez/Josiefied-Qwen2.5-1.5B-Instruct-abliterated-v2,oopere/pruned40-llama-3.2-1B,0.009721048182586645,-0.39715889800786636,-1.4242729620344043,1.027114064026538,0.0,0.13934859898644425,0.3603567047999653,2.6584295474614192,0.01098901098901099,0.0084530853761623,0.00253592561284869,1183,13,10,2.4623398628316,3.286229217590789,17.411982347658668,4.128083823102822,-0.823889354759189,13.283898524555847,True
Qwen/Qwen2.5-1.5B-Instruct,KingNish/qwen-1b-continued-v2.1,0.012256973795435333,-0.29518484865652717,-1.256785884703825,0.9616010360472977,-0.0016891891891891893,0.12414188352512046,0.312409709453559,2.860450908106624,0.014370245139475908,0.01014370245139476,0.004226542688081149,1183,17,12,2.6183018798125515,2.0460862455336732,1.0102650503524855,3.15975718437547,0.5722156342788782,-2.1494921340229842,True
bunnycore/QwQen-3B-LCoT,allenai/OLMo-7B-Instruct-hf,0.00929839391377853,-0.3951158324660433,-1.3482230339598746,0.9531072014938313,0.0,0.13532518993741352,0.3369799301524842,2.6246501027552758,0.01014370245139476,0.0084530853761623,0.0016906170752324593,1183,12,10,2.432419197874563,1.48808922980182,1.661329173832044,38.384182579047014,0.9443299680727428,-36.72285340521497,True
JayHyeon/Qwen2.5-0.5B-Instruct-SFT-IRPO-1epoch_v1,assskelad/smollm2-360M-sft_SmallThoughts,0.019019442096365174,-0.06933605815312652,-0.9690758252485594,0.8997397670954329,-0.0016891891891891893,0.09850481045032056,0.24711459416665904,3.382173931981983,0.02028740490278952,0.01775147928994083,0.00253592561284869,1183,24,21,2.4702918214676,1.7055825267320617,0.9734854348949318,18.990452727085756,0.7647092947355385,-18.016967292190824,True
JayHyeon/Qwen-0.5B-eDPO-5epoch,skymizer/Llama2-7b-sft-chat-custom-template-dpo,0.012256973795435333,-0.3634024383048619,-1.2278868848014344,0.8644844464965724,0.0,0.13194302098684724,0.3242798294761526,2.4692867414352433,0.014370245139475908,0.01014370245139476,0.004226542688081149,1183,17,12,1.9798299721151655,1.7531999049599154,1.8413326393610892,7.557726080598613,0.22663006715525014,-5.716393441237524,True
ymcki/gemma-2-2b-ORPO-jpn-it-abliterated-18-merge,pankajmathur/orca_mini_7b,0.009298393913778529,-0.46781408076179365,-1.3115311372666716,0.8437170565048779,-0.008445945945945946,0.1468660633226515,0.34188530951204976,2.26747331490848,0.009298393913778529,0.009298393913778529,0.0,1183,11,11,2.315403417644648,1.6389548287379982,0.6539875681188326,3.1200311835520194,0.6764485889066498,-2.4660436154331866,True
CoolSpring/Qwen2-0.5B-Abyme,oopere/Llama-FinSent-S,0.014792899408284025,-0.3020619131007384,-1.1429872845617015,0.8409253714609631,0.0033783783783783786,0.1232113396316841,0.2822791092608562,2.730298338063516,0.0169061707523246,0.01267962806424345,0.004226542688081151,1183,20,15,1.9047304977484611,1.3525583577650886,1.9324326939796876,7.477048676438948,0.5521721399833726,-5.544615982459261,True
pankajmathur/orca_mini_v9_7_1B-Instruct,pankajmathur/orca_mini_v2_7b,0.013524936601859678,-0.33344027397335063,-1.1719184345523417,0.838478160578991,0.0016891891891891893,0.12674221542276953,0.33828563045988747,2.321053974941471,0.015215553677092139,0.011834319526627219,0.0033812341504649204,1183,18,14,2.7676150249816405,2.1628661310683386,2.9884200249339705,17.26755745280295,0.6047488939133019,-14.27913742786898,True
JayHyeon/Qwen-0.5B-IRPO-5epoch,ontocord/wide_3b_sft_stage1.2-ss1-expert_news,0.017328825021132713,-0.16287665319671588,-0.9838052462915798,0.820928593094864,-0.0033783783783783786,0.10797820022529113,0.2521176964160041,2.9931683298631753,0.018596787827557058,0.016060862214708368,0.00253592561284869,1183,22,19,3.636809622807134,3.2129968318200532,1.188433078423185,6.814664454961985,0.4238127909870806,-5.6262313765388,True
