strategy,N,seed,se_target,r,mae,items,n_bank_items,n_pool,n_test,calib_s
full_pool,3747,0,0.3,0.9296,0.0314,9.06,662,3747,417,226.9
random,50,0,0.3,0.9015,0.0435,8.27,562,3747,417,96.3
random,50,1,0.3,0.9111,0.042,8.45,555,3747,417,95.8
random,50,2,0.3,0.907,0.0466,8.28,515,3747,417,122.8
random,50,3,0.3,0.8918,0.0477,8.12,526,3747,417,120.7
random,50,4,0.3,0.9088,0.0422,8.2,543,3747,417,82.5
random,100,0,0.3,0.9282,0.036,8.62,607,3747,417,104.5
random,100,1,0.3,0.8745,0.0483,8.49,558,3747,417,112.0
random,100,2,0.3,0.9084,0.0383,8.6,606,3747,417,102.9
random,100,3,0.3,0.9291,0.0364,8.42,594,3747,417,104.7
random,100,4,0.3,0.9007,0.0408,8.11,600,3747,417,111.7
random,150,0,0.3,0.9262,0.0335,9.3,642,3747,417,114.6
random,150,1,0.3,0.924,0.0431,8.72,618,3747,417,109.3
random,150,2,0.3,0.9186,0.0368,10.26,611,3747,417,133.4
random,150,3,0.3,0.9118,0.0381,8.36,643,3747,417,69.8
random,150,4,0.3,0.9284,0.0334,8.56,638,3747,417,117.0
random,200,0,0.3,0.9396,0.0313,8.89,641,3747,417,127.2
random,200,1,0.3,0.8836,0.0501,8.75,630,3747,417,93.9
random,200,2,0.3,0.918,0.0342,8.63,636,3747,417,93.1
random,200,3,0.3,0.9265,0.0347,9.0,629,3747,417,143.3
random,200,4,0.3,0.8964,0.0356,8.72,620,3747,417,146.5
random,250,0,0.3,0.9265,0.0353,9.16,620,3747,417,167.0
random,250,1,0.3,0.9336,0.0333,9.08,630,3747,417,152.1
random,250,2,0.3,0.9233,0.0337,8.91,621,3747,417,155.3
random,250,3,0.3,0.9251,0.0355,8.62,629,3747,417,161.4
random,250,4,0.3,0.9339,0.0332,8.81,626,3747,417,128.2
random,300,0,0.3,0.9237,0.0332,9.26,661,3747,417,128.2
random,300,1,0.3,0.9148,0.0361,9.02,629,3747,417,138.2
random,300,2,0.3,0.9241,0.0346,8.8,632,3747,417,115.0
random,300,3,0.3,0.9055,0.039,8.6,618,3747,417,97.2
random,300,4,0.3,0.9157,0.0385,9.11,619,3747,417,139.7
random,350,0,0.3,0.932,0.032,9.11,653,3747,417,195.1
random,350,1,0.3,0.9381,0.0323,8.55,633,3747,417,98.1
random,350,2,0.3,0.9003,0.0393,9.54,630,3747,417,167.8
random,350,3,0.3,0.9192,0.0348,8.82,647,3747,417,110.7
random,350,4,0.3,0.9356,0.032,8.94,636,3747,417,118.4
random,400,0,0.3,0.9302,0.0328,9.2,656,3747,417,111.4
random,400,1,0.3,0.9374,0.0324,9.21,644,3747,417,172.1
random,400,2,0.3,0.9255,0.0334,9.6,661,3747,417,109.1
random,400,3,0.3,0.8798,0.0493,8.05,657,3747,417,117.1
random,400,4,0.3,0.9383,0.0311,8.35,635,3747,417,145.1
random,450,0,0.3,0.9058,0.0364,9.13,655,3747,417,109.2
random,450,1,0.3,0.9104,0.0359,9.68,660,3747,417,159.9
random,450,2,0.3,0.9186,0.0339,8.81,662,3747,417,107.6
random,450,3,0.3,0.9295,0.0341,9.06,633,3747,417,122.0
random,450,4,0.3,0.9191,0.0351,8.76,657,3747,417,138.0
random,500,0,0.3,0.9079,0.0373,9.61,647,3747,417,119.7
random,500,1,0.3,0.9263,0.0343,8.61,645,3747,417,115.5
random,500,2,0.3,0.9066,0.0361,9.44,656,3747,417,134.4
random,500,3,0.3,0.8902,0.0356,9.11,633,3747,417,127.3
random,500,4,0.3,0.9273,0.0328,9.5,669,3747,417,114.3
oracle_greedy,50,0,0.3,0.9223,,8.52,559,3747,417,0.0
