model,pirt_accuracy,theta,n_subset_items,n_all_items,actual_accuracy,se_reached,error,abs_error,squared_error
01-ai/Yi-1.5-6B,0.5249577961925899,0.08938051649936425,11,3965,0.46506935687263556,0.09847908439190863,0.0598884393199543,0.0598884393199543,0.0035866251641798485
AicoresSecurity/Cybernet-Sec-3B-R1-V0-Coder,0.4968878115281018,-0.02471541948874887,17,3965,0.4501891551071879,0.07506235552959079,0.04669865642091392,0.04669865642091392,0.002180764511518565
AicoresSecurity/Cybernet-Sec-3B-R1-V1.1,0.5249577961925899,0.08938051649936425,11,3965,0.4171500630517024,0.09847908439190863,0.10780773314088749,0.10780773314088749,0.01162250732497681
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,0.1303575962336847,-1.9984204693955798,49,3965,0.16595208070617906,0.09957430336473176,-0.03559448447249436,0.03559448447249436,0.001266967324862642
BlackBeenie/Neos-Llama-3.1-base,0.0899445933071852,-3.8999247259555094,51,3965,0.21336696090794452,0.09992700893773038,-0.12342236760075932,0.12342236760075932,0.015233080824176964
BramVanroy/fietje-2-chat,0.5547974284716141,0.2027063796986887,15,3965,0.49079445145018913,0.06802377055724201,0.06400297702142493,0.06400297702142493,0.004096381067605048
BramVanroy/fietje-2-instruct,0.3892327449620847,-0.4311849306965889,12,3965,0.4885245901639344,0.08969509413266649,-0.0992918452018497,0.0992918452018497,0.009858870523588081
Daemontatox/Zirel_1.5,0.48531853146432036,-0.07338001915044391,13,3965,0.3755359394703657,0.09816006669852066,0.10978259199395468,0.10978259199395468,0.012052217504911122
DavieLion/Llama-3.2-1B-SPIN-iter3,0.1337968590948824,-1.93106303323507,51,3965,0.16696090794451451,0.09933041730788345,-0.033164048849632116,0.033164048849632116,0.0010998541361007853
DeepMount00/Lexora-Lite-3B,0.6190898322974264,0.4535936657005179,8,3965,0.5298865069356873,0.0761841293912894,0.08920332536173914,0.08920332536173914,0.007957233255592293
EpistemeAI/Athena-gemma-2-2b-it,0.5251073297695549,0.08930284263259175,14,3965,0.43253467843631777,0.09014911466428137,0.09257265133323711,0.09257265133323711,0.008569695774865086
EpistemeAI/Athene-codegemma-2-7b-it-alpaca-v1.3,0.5249577961925899,0.08938051649936425,11,3965,0.46885245901639344,0.09847908439190863,0.056105337176196424,0.056105337176196424,0.0031478088596546883
EpistemeAI/Reasoning-Llama-3.2-1B-Instruct-v1.2,0.33104261594960244,-0.6005367336626268,8,3965,0.3296343001261034,0.013099372754777459,0.00140831582349904,0.00140831582349904,1.9833534587177794e-06
EpistemeAI/ReasoningCore-3B-Instruct-r01-Reflect,0.4934030080091713,-0.040028759145409744,19,3965,0.43934426229508194,0.08421363399711741,0.05405874571408936,0.05405874571408936,0.002922347988180575
J-LAB/Thynk_orpo,0.5429143301988,0.15860185217802422,8,3965,0.49861286254728876,0.08550617470483428,0.04430146765151122,0.04430146765151122,0.001962620036077895
JayHyeon/Qwen-0.5B-DPO-5epoch,0.3915432089691576,-0.42206829380804733,8,3965,0.3084489281210593,0.049343816867713296,0.08309428084809833,0.08309428084809833,0.006904659509662642
JayHyeon/Qwen2.5-0.5B-SFT,0.09591014747108836,-3.520980619548871,19,3965,0.2759142496847415,0.08420326050083193,-0.18000410221365312,0.18000410221365312,0.03240147681374328
JayHyeon/Qwen2.5-0.5B-SFT-1e-5-2ep,0.09436423231487284,-3.6273478806579114,15,3965,0.23505674653215636,0.09887207979479798,-0.14069251421728352,0.14069251421728352,0.019794383556780523
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-6-1ep_0alp_5lam,0.17196774514557195,-1.301969634584057,12,3965,0.3180327868852459,0.09818696600431458,-0.14606504173967394,0.14606504173967394,0.021334996418412692
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-6-3ep_0alp_5lam,0.1750465661557743,-1.2702325082272332,9,3965,0.32559899117276164,0.0906139590803048,-0.15055242501698735,0.15055242501698735,0.022666032678495596
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-7-3ep_0alp_5lam,0.1750465661557743,-1.2702325082272332,9,3965,0.287515762925599,0.0906139590803048,-0.1124691967698247,0.1124691967698247,0.012649320222049546
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_1e-6-3ep_0alp_0lam,0.1750465661557743,-1.2702325082272332,9,3965,0.28524590163934427,0.0906139590803048,-0.11019933548356997,0.11019933548356997,0.012143893541020403
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_3e-6-2ep_0alp_0lam,0.1750465661557743,-1.2702325082272332,9,3965,0.2993694829760404,0.0906139590803048,-0.12432291682026608,0.12432291682026608,0.0154561876466988
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_5e-7_1ep_0alp_0lam,0.1750465661557743,-1.2702325082272332,9,3965,0.2832282471626734,0.0906139590803048,-0.10818168100689912,0.10818168100689912,0.011703276105478479
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_5e-7-2ep_1alp_0lam,0.1750465661557743,-1.2702325082272332,9,3965,0.28877679697351827,0.0906139590803048,-0.11373023081774397,0.11373023081774397,0.01293456540185732
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_1e-6_1ep_0alp_0lam,0.1750465661557743,-1.2702325082272332,9,3965,0.28600252206809584,0.0906139590803048,-0.11095595591232155,0.11095595591232155,0.012311224152417043
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_2e-6_2ep_0alp_0lam,0.1750465661557743,-1.2702325082272332,9,3965,0.2958385876418663,0.0906139590803048,-0.12079202148609203,0.12079202148609203,0.014590712454696519
