model,theta_cat,theta_full,n_subset_items,se_reached,theta_abs_error
01-ai/Yi-1.5-6B,0.08846094509450741,-0.49999993619556105,8,0.19780533867513184,0.5884608812900685
AicoresSecurity/Cybernet-Sec-3B-R1-V0-Coder,-0.15359472260639181,-0.5999999999999996,13,0.18285273084373932,0.4464052773936078
AicoresSecurity/Cybernet-Sec-3B-R1-V1.1,0.08846094509450741,-0.6999999798562899,8,0.19780533867513184,0.7884609249507973
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,-1.9347727463338944,-1.1797599084007993,8,0.17494954448656674,0.7550128379330951
BlackBeenie/Neos-Llama-3.1-base,-3.714049298792367,-1.0000323585596058,12,0.15914171265067495,2.714016940232761
BramVanroy/fietje-2-chat,0.20665744164697109,-0.19974073583001967,12,0.17309062400261882,0.40639817747699075
BramVanroy/fietje-2-instruct,-0.5007238816953172,-0.20000001779719884,10,0.11781770503604054,0.3007238638981184
Daemontatox/Zirel_1.5,0.04028575838864812,-0.500000783322801,10,0.10030966593100847,0.5402865417114491
DavieLion/Llama-3.2-1B-SPIN-iter3,-1.9622947124765513,-1.438227804432334,11,0.18646575222274647,0.5240669080442173
DeepMount00/Lexora-Lite-3B,0.4535936657005179,-0.09917059551036914,8,0.0761841293912894,0.5527642612108871
EpistemeAI/Athena-gemma-2-2b-it,0.17521727121276165,-0.49995107710947123,9,0.1623627818102823,0.6751683483222328
EpistemeAI/Athene-codegemma-2-7b-it-alpaca-v1.3,0.08846094509450741,-0.3000014194224032,8,0.19780533867513184,0.38846236451691063
EpistemeAI/Reasoning-Llama-3.2-1B-Instruct-v1.2,-0.6005367336626268,-0.5999999999974381,8,0.013099372754777459,0.0005367336651886934
EpistemeAI/ReasoningCore-3B-Instruct-r01-Reflect,0.3682045584729866,-0.6000000000000582,8,0.10584688067471709,0.9682045584730448
J-LAB/Thynk_orpo,0.15860185217802422,-0.20005003441625363,8,0.08550617470483428,0.3586518865942778
JayHyeon/Qwen-0.5B-DPO-5epoch,-0.42206829380804733,-0.8973197310974123,8,0.049343816867713296,0.4752514372893649
JayHyeon/Qwen2.5-0.5B-SFT,-3.447219822464863,-0.9999999999969741,17,0.13868267512329838,2.447219822467889
JayHyeon/Qwen2.5-0.5B-SFT-1e-5-2ep,-3.714049298792367,-1.000000876653806,12,0.15914171265067495,2.714048422138561
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-6-1ep_0alp_5lam,-1.265743864279584,-0.7000011161667856,8,0.11775717768934872,0.5657427481127983
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-6-3ep_0alp_5lam,-1.2944736628351516,-0.7000000000091802,8,0.13073023117670937,0.5944736628259715
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-7-3ep_0alp_5lam,-1.2944736628351516,-0.8999999999999999,8,0.13073023117670937,0.39447366283515173
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_1e-6-3ep_0alp_0lam,-1.2944736628351516,-0.8999999999999999,8,0.13073023117670937,0.39447366283515173
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_3e-6-2ep_0alp_0lam,-1.2944736628351516,-0.8999999999988965,8,0.13073023117670937,0.3944736628362552
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_5e-7_1ep_0alp_0lam,-1.2944736628351516,-0.8999999999999999,8,0.13073023117670937,0.39447366283515173
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_5e-7-2ep_1alp_0lam,-1.2944736628351516,-0.8999999999999999,8,0.13073023117670937,0.39447366283515173
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_1e-6_1ep_0alp_0lam,-1.2944736628351516,-0.8999999999999999,8,0.13073023117670937,0.39447366283515173
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_2e-6_2ep_0alp_0lam,-1.2944736628351516,-0.8999999999999974,8,0.13073023117670937,0.3944736628351543
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_3e-6-1ep_0alp_0lam,-1.2944736628351516,-0.8999999993147612,8,0.13073023117670937,0.3944736635203905
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_3e-6-3ep_0alp_0lam,-1.2944736628351516,-0.8999885238005847,8,0.13073023117670937,0.39448513903456695
JayHyeon/Qwen2.5-0.5B-SFT-5e-5,-1.265743864279584,-0.9999999998316544,8,0.11775717768934872,0.2657438644479295
JayHyeon/Qwen2.5-0.5B-SFT-7e-5,-0.7071272075582526,-1.0998942157964646,8,0.036867001282125104,0.392767008238212
JayHyeon/Qwen_0.5-IPO_5e-7-1ep_0alp_0lam,-0.7028192666447752,-0.8999999940495637,8,0.016878277625530003,0.19718072740478843
JayHyeon/Qwen_0.5-MDPO_0.5_3e-7-1ep_0alp_0lam,-1.2944736628351516,-0.9,8,0.13073023117670937,0.3944736628351516
JayHyeon/Qwen_0.5-VIPO_5e-7-1ep_3vpo_const,-0.7028192666447752,-0.8999999999933869,8,0.016878277625530003,0.19718073334861164
JayHyeon/Qwen_0.5-rDPO_5e-7-3ep_0vpo_const_0.1,-1.2944736628351516,-0.8999999999999999,8,0.13073023117670937,0.39447366283515173
LEESM/llama-2-7b-hf-lora-oki10p,-3.714049298792367,-0.7001262716242866,12,0.15914171265067495,3.0139230271680804
LilRg/10PRYMMAL-3B-slerp,1.078569750574534,-0.19999969980374074,8,0.0958277499131804,1.2785694503782747
Nexesenex/Llama_3.2_1b_AquaSyn_0.11,-0.6168385574482175,-1.0999999999999974,8,0.041726618309262026,0.48316144255177995
Nexesenex/Qwen_2.5_3b_Smarteaz_0.01a,0.08846094509450741,-0.399213366685037,8,0.19780533867513184,0.4876743117795444
Nexesenex/pankajmathur_orca_mini_v9_6_1B-instruct-Abliterated-LPL,-0.20348913530500717,-1.1000000001479213,8,0.11482071436758574,0.8965108648429141
NotASI/FineTome-v1.5-Llama3.2-1B-1007,-0.20348913530500717,-1.0,8,0.11482071436758574,0.7965108646949928
NousResearch/Hermes-3-Llama-3.2-3B,0.04087279333903397,-0.40130495978878794,8,0.1675549586157438,0.4421777531278219
Novaciano/ASTAROTH-3.2-1B,-0.35717112213095964,-1.0128393577106025,8,0.15545588822080925,0.6556682355796428
PJMixers-Dev/LLaMa-3.2-Instruct-JankMix-v0.2-SFT-HailMary-v0.1-KTO-3B,-0.15359472260639181,-0.5999999999999996,13,0.18285273084373932,0.4464052773936078
PJMixers-Dev/LLaMa-3.2-Instruct-JankMixBread-v0.1-3B,0.4535936657005179,-0.6000004730248268,8,0.0761841293912894,1.0535941387253447
Qwen/Qwen2.5-3B-Instruct,0.4535936657005179,-0.3000136874866059,8,0.0761841293912894,0.7536073531871238
RezVortex/Jajuka-3b,-0.15359472260639181,-0.5999999999999996,13,0.18285273084373932,0.4464052773936078
Sakalti/Sailor-japanese,-3.6436249726653673,-1.2000002241064172,18,0.14100976636037582,2.44362474855895
Sakalti/Saka-1.5B,-0.6020808978079939,-0.6050184786466482,8,0.024531176601060932,0.0029375808386542523
Sakalti/tara-3.8B,1.078569750574534,-0.39999999797517827,8,0.0958277499131804,1.4785697485497122
SultanR/SmolTulu-1.7b-Reinforced,-0.5359743740307785,-0.5999999999999996,8,0.04986541258605248,0.06402562596922112
Syed-Hasan-8503/Phi-3-mini-4K-instruct-cpo-simpo,1.078569750574534,0.19997709754780765,8,0.0958277499131804,0.8785926530267263
Telugu-LLM-Labs/Indic-gemma-2b-finetuned-sft-Navarasa-2.0,-0.6725889509345309,-0.6968119546721494,8,0.044899704668833196,0.024223003737618543
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,-0.5049774200228436,-1.00000000000158,8,0.022729674017704586,0.49502257997873644
Xiaojian9992024/Llama3.2-1B-THREADRIPPER,-0.35717112213095964,-0.9992454460881182,8,0.15545588822080925,0.6420743239571585
Xiaojian9992024/Llama3.2-1B-THREADRIPPER-v0.2,-0.41838688081199493,-0.5999999999999996,8,0.04637787085370399,0.1816131191880047
Xiaojian9992024/Qwen2.5-Ultra-1.5B-25.02-Exp,-0.511065366376089,-0.34936352471524734,8,0.03317171196510261,0.16170184166084167
Youlln/2PRYMMAL-Yi1.5-6B-SLERP,-0.5321900594648477,-0.49999999999761846,8,0.051226408252439015,0.03219005946722919
akhadangi/Llama3.2.1B.0.1-Last,-0.6005367336626268,-0.5999999999999996,8,0.013099372754777459,0.0005367336626271868
allenai/OLMo-7B-Instruct-hf,-0.6020808978079939,-0.5999999999999996,8,0.024531176601060932,0.002080897807994253
anakin87/gemma-2b-orpo,-0.4360755171099979,-0.9999973675255153,8,0.04896908008549379,0.5639218504155173
arcee-ai/raspberry-3B,0.15860185217802422,-0.4000000000011412,8,0.08550617470483428,0.5586018521791655
awnr/Mistral-7B-v0.1-signtensors-1-over-4,-1.2501503443966444,-1.0,11,0.11753214932447426,0.2501503443966444
bamec66557/VICIOUS_MESH-12B,0.26368754307776304,-0.2002745888932197,10,0.1553130669297339,0.46396213197098274
bunnycore/Llama-3.2-3B-Della,0.4535936657005179,-0.8999999999999941,8,0.0761841293912894,1.353593665700512
bunnycore/QwQen-3B-LCoT,0.4535936657005179,0.1983115715516273,8,0.0761841293912894,0.2552820941488906
bunnycore/Qwen2.5-3B-Model-Stock-v4.1,0.4535936657005179,-0.19999996694153388,8,0.0761841293912894,0.6535936326420517
bunnycore/Smol-Llama-3.2-3B,-0.15359472260639181,-0.6000003494692622,13,0.18285273084373932,0.44640562686287033
carsenk/phi3.5_mini_exp_825_uncensored,-2.484603602932946,-1.1000000000000738,13,0.14911024168403397,1.3846036029328723
cjvt/GaMS-1B,-1.2944736628351516,-1.0,8,0.13073023117670937,0.29447366283515164
cognitivecomputations/Dolphin3.0-Qwen2.5-0.5B,-0.6725889509345309,-0.900000012261933,8,0.044899704668833196,0.2274110613274022
dwikitheduck/gemma-2-2b-id-inst,0.08846094509450741,-0.5999999999999996,8,0.19780533867513184,0.6884609450945071
dwikitheduck/gemma-2-2b-id-instruct,0.08846094509450741,-0.5999999999999996,8,0.19780533867513184,0.6884609450945071
ewre324/Thinker-Qwen2.5-0.5B-Instruct-Reasoning,-1.422831329306927,-0.9000096214155442,8,0.1717077446480149,0.5228217078913828
godlikehhd/alpaca_data_ifd_min_2600,-0.511065366376089,-0.3335571274099064,8,0.03317171196510261,0.17750823896618262
godlikehhd/alpaca_data_score_max_0.3_2600,-1.9459487293196647,-0.5000000001869395,8,0.1829525975403404,1.4459487291327253
godlikehhd/alpaca_data_score_max_2500,-1.9459487293196647,-0.4000000096947227,8,0.1829525975403404,1.545948719624942
google/flan-t5-base,-0.6020808978079939,-0.5000000001755532,8,0.024531176601060932,0.10208089763244066
hotmailuser/QwenSlerp2-3B,-0.29075963552258577,-0.05930902027816652,8,0.09274917208129205,0.23145061524441923
iFaz/llama31_8B_en_emo_v4,-0.42561936859014715,-0.5999994225457482,8,0.08549629450757389,0.17438005395560108
ibm-granite/granite-3.1-2b-base,0.04087279333903397,-0.4850305654496129,8,0.1675549586157438,0.5259033587886469
jaspionjader/test-11,0.26368754307776304,-0.19999975477189127,10,0.1553130669297339,0.46368729784965435
lalainy/ECE-PRYMMAL-0.5B-FT-V5-MUSR,-2.3082225774320944,-0.699999999997766,9,0.15632764354457784,1.6082225774343284
macadeliccc/magistrate-3.2-3b-base,-3.714049298792367,-0.5999999999999955,12,0.15914171265067495,3.1140492987923714
microsoft/Phi-3.5-mini-instruct,0.6263379379754008,-0.3001403776189642,8,0.0630646770896534,0.926478315594365
microsoft/Phi-4-mini-instruct,-1.9459487293196647,-0.019161139458134455,8,0.1829525975403404,1.9267875898615303
mrdayl/OpenCognito-r1,-0.29075963552258577,-0.03371388782053045,8,0.09274917208129205,0.25704574770205535
mrdayl/OpenThink,-0.5783617995862653,-0.9000000000000218,8,0.04292322718078991,0.32163820041375646
ngxson/MiniThinky-1B-Llama-3.2,-0.6168385574482175,-1.200000019319002,8,0.041726618309262026,0.5831614618707844
noname0202/llama-math-1b-r32-0to512tokens-test,-0.20348913530500717,-1.0000420775971186,8,0.11482071436758574,0.7965529422921114
nvidia/Hymba-1.5B-Base,-0.6168385574482175,-1.099999999999848,8,0.041726618309262026,0.4831614425516305
ontocord/wide_3b_sft_stage1.1-ss1-with_generics_intr_stories.no_issue,-1.7397907997223363,-0.8999999999999032,8,0.14169009100892913,0.8397907997224331
ontocord/wide_3b_sft_stage1.2-ss1-expert_fictional_lyrical,-1.8565746388694746,-1.0998839225594494,8,0.16819799477592534,0.7566907163100252
oopere/pruned20-llama-1b,-0.6005367336626268,-1.2031973754467495,8,0.013099372754777459,0.6026606417841227
openbmb/MiniCPM-S-1B-sft-llama-format,-0.9604388777404609,-1.0000000005673004,8,0.12220399178684122,0.039561122826839545
pankajmathur/orca_mini_v9_6_3B-Instruct,0.4535936657005179,-0.5999846816024376,8,0.0761841293912894,1.0535783473029554
princeton-nlp/Sheared-LLaMA-2.7B,-0.6168385574482175,-0.9000000984771185,8,0.041726618309262026,0.283161541028901
prithivMLmods/Llama-3.2-3B-Math-Oct,-0.15359472260639181,-0.5999999999999996,13,0.18285273084373932,0.4464052773936078
prithivMLmods/Llama-Deepsync-3B,0.17521727121276165,-0.6482210161033064,9,0.1623627818102823,0.823438287316068
qingy2019/LLaMa_3.2_3B_Catalysts,0.17521727121276165,-0.5999999999999996,9,0.1623627818102823,0.7752172712127613
rombodawg/Rombos-LLM-V2.5-Qwen-1.5b,-1.9459487293196647,-0.49843827260761375,8,0.1829525975403404,1.447510456712051
ruizhe1217/sft-s1-qwen-0.5b,-1.265743864279584,-0.8999999999999999,8,0.11775717768934872,0.36574386427958405
shastraai/Shastra-LLAMA2-Math-Commonsense-SFT,0.04087279333903397,-0.9000000000004933,8,0.1675549586157438,0.9408727933395272
