model,theta_cat,theta_full,n_subset_items,se_reached,theta_abs_error
01-ai/Yi-1.5-6B,-0.05551445942195127,0.17284907358378604,108,0.09916376531792334,0.2283635330057373
AicoresSecurity/Cybernet-Sec-3B-R1-V0-Coder,0.3775751638738578,0.5768575973852595,22,0.09396430842673215,0.19928243351140174
AicoresSecurity/Cybernet-Sec-3B-R1-V1.1,0.35613574291142097,0.5444883017172382,23,0.09590725836426858,0.1883525588058172
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,0.26228197948684784,-0.0476366896949318,38,0.09911394037564462,0.3099186691817796
BlackBeenie/Neos-Llama-3.1-base,-0.841338581755998,-0.8379787039123342,400,0.12654743087258666,0.003359877843663761
BramVanroy/fietje-2-chat,-0.39208914742024836,-0.3878540530020579,400,0.10285590762602982,0.004235094418190477
BramVanroy/fietje-2-instruct,-0.4978145845917429,-0.4852036512122425,400,0.11204735718837672,0.012610933379500366
Daemontatox/Zirel_1.5,-0.37368886776170906,-0.3616032377658753,400,0.10093737858700033,0.012085629995833791
DavieLion/Llama-3.2-1B-SPIN-iter3,0.2953510790720161,0.34840499796486335,32,0.0979788216219064,0.053053918892847274
DeepMount00/Lexora-Lite-3B,-0.2693314413840175,-0.2408103586064946,312,0.09994825905651712,0.028521082777522883
EpistemeAI/Athena-gemma-2-2b-it,-0.3004330322999109,-0.1568981457062337,196,0.09984220841220137,0.14353488659367722
EpistemeAI/Athene-codegemma-2-7b-it-alpaca-v1.3,-0.12002108807300453,-0.09657815765476363,167,0.099820638071353,0.0234429304182409
EpistemeAI/Reasoning-Llama-3.2-1B-Instruct-v1.2,0.35613574291142097,0.5238545988352524,23,0.09590725836426858,0.16771885592383146
EpistemeAI/ReasoningCore-3B-Instruct-r01-Reflect,0.3775751638738578,0.5739874047398573,22,0.09396430842673215,0.1964122408659995
J-LAB/Thynk_orpo,-0.17119941324085747,0.007691354317524733,143,0.09972691388737184,0.1788907675583822
JayHyeon/Qwen-0.5B-DPO-5epoch,-0.37771712976870137,-0.36632436113875916,400,0.10237457161037657,0.011392768629942207
JayHyeon/Qwen2.5-0.5B-SFT,0.13144414963428894,0.19050677337389707,100,0.0995801468116526,0.05906262373960813
JayHyeon/Qwen2.5-0.5B-SFT-1e-5-2ep,0.2839712246151541,0.3549923695296674,45,0.09699327175636653,0.07102114491451328
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-6-1ep_0alp_5lam,0.30631474832504735,0.3959754496793314,28,0.0988971916229569,0.08966070135428406
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-6-3ep_0alp_5lam,0.24044480508224286,0.23993522402056225,40,0.09688850154331999,0.000509581061680614
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-7-3ep_0alp_5lam,0.22827966782946585,0.2051621378257172,40,0.09893345211584718,0.023117530003748638
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_1e-6-3ep_0alp_0lam,0.22807786426523766,0.20085860701841818,41,0.09759256280369831,0.027219257246819478
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_3e-6-2ep_0alp_0lam,0.24044480508224286,0.2548020701965443,40,0.09688850154331999,0.01435726511430141
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_5e-7_1ep_0alp_0lam,0.22807786426523766,0.2551979496840039,41,0.09759256280369831,0.027120085418766232
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_5e-7-2ep_1alp_0lam,0.07476912663583979,0.09623288162113107,77,0.09945426016742338,0.02146375498529128
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_1e-6_1ep_0alp_0lam,0.22807786426523766,0.2446417935013629,41,0.09759256280369831,0.016563929236125235
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_2e-6_2ep_0alp_0lam,0.22807786426523766,0.21868654487691752,41,0.09759256280369831,0.009391319388320135
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_3e-6-1ep_0alp_0lam,0.2538644057333703,0.3037655809166392,35,0.09890503433011365,0.049901175183268864
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_3e-6-3ep_0alp_0lam,0.2038616176962825,0.17464043276581848,46,0.09900885503688359,0.029221184930464023
JayHyeon/Qwen2.5-0.5B-SFT-5e-5,-0.2261932304473729,-0.12613999099264928,190,0.09958928147156147,0.10005323945472364
JayHyeon/Qwen2.5-0.5B-SFT-7e-5,-0.34914729088325014,-0.3184261911960195,318,0.09998917041318417,0.030721099687230635
JayHyeon/Qwen_0.5-IPO_5e-7-1ep_0alp_0lam,-0.10363447639707977,-0.003923585086505876,130,0.09944091973485696,0.0997108913105739
JayHyeon/Qwen_0.5-MDPO_0.5_3e-7-1ep_0alp_0lam,0.22807786426523766,0.22331774329419893,41,0.09759256280369831,0.004760120971038728
JayHyeon/Qwen_0.5-VIPO_5e-7-1ep_3vpo_const,-0.1309685081981213,0.018967500079029993,116,0.09944777049559929,0.1499360082771513
JayHyeon/Qwen_0.5-rDPO_5e-7-3ep_0vpo_const_0.1,1.3827041000483997,0.2603001042512412,9,0.08030464422897457,1.1224039957971585
LEESM/llama-2-7b-hf-lora-oki10p,-0.27857319234761335,-0.2715443261808723,400,0.11199074634869581,0.007028866166741032
LilRg/10PRYMMAL-3B-slerp,-0.11791211182182629,0.12306260799588335,147,0.09963647555359317,0.24097471981770963
