model,theta_cat,theta_full,n_subset_items,se_reached,theta_abs_error
01-ai/Yi-1.5-6B,0.36295793928212866,0.11373963327319894,52,0.09856084436315744,0.24921830600892972
AicoresSecurity/Cybernet-Sec-3B-R1-V0-Coder,1.5614247461252366,1.477205987623927,13,0.09905854079347227,0.08421875850130967
AicoresSecurity/Cybernet-Sec-3B-R1-V1.1,1.3634567277569634,1.346604141326406,13,0.0926443760910814,0.016852586430557315
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,-1.1639661279913285,-1.1636839096943772,400,0.1536856009832349,0.00028221829695129763
BlackBeenie/Neos-Llama-3.1-base,-3.1813749509210183,-3.1813750403783994,400,0.3926008965032579,8.945738105836654e-08
BramVanroy/fietje-2-chat,0.3852929262807806,0.13743870043847015,66,0.09767700183531582,0.24785422584231045
BramVanroy/fietje-2-instruct,-0.04706205238876595,-0.03848446338858976,400,0.10927393251406227,0.008577589000176189
Daemontatox/Zirel_1.5,0.8924042496952035,0.7688134010995782,11,0.09443128185281988,0.1235908485956253
DavieLion/Llama-3.2-1B-SPIN-iter3,-2.0544037104278523,-2.0544072243430542,400,0.24764310474383652,3.513915201924789e-06
DeepMount00/Lexora-Lite-3B,0.9422868429446747,1.0579803177049,12,0.0883372780878254,0.1156934747602254
EpistemeAI/Athena-gemma-2-2b-it,0.5771748006039293,0.5353521933441104,30,0.09996996118215479,0.0418226072598189
EpistemeAI/Athene-codegemma-2-7b-it-alpaca-v1.3,0.7348819928102812,0.7397078809720438,17,0.09820379768071882,0.004825888161762548
EpistemeAI/Reasoning-Llama-3.2-1B-Instruct-v1.2,0.9507706283924734,0.7125968141719713,12,0.09762019254221323,0.2381738142205021
EpistemeAI/ReasoningCore-3B-Instruct-r01-Reflect,1.576635244573534,1.5633390238458271,10,0.0996663851761202,0.013296220727706975
J-LAB/Thynk_orpo,-0.3191127486035611,-0.31617352767718737,400,0.12078231978844005,0.00293922092637372
JayHyeon/Qwen-0.5B-DPO-5epoch,-0.25248353009014496,-0.24848173900143533,400,0.10965137119925716,0.0040017910887096275
JayHyeon/Qwen2.5-0.5B-SFT,-1.0118996507746272,-1.0121165021957887,400,0.14220296983764336,0.00021685142116156797
JayHyeon/Qwen2.5-0.5B-SFT-1e-5-2ep,-0.520214380530673,-0.52074976292129,400,0.11223697247215139,0.0005353823906170119
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-6-1ep_0alp_5lam,-0.042420036533874245,-0.13348860942400037,171,0.09995088185194761,0.09106857289012613
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-6-3ep_0alp_5lam,0.024178082521338642,-0.09286031837628694,138,0.09995718512624635,0.11703840089762559
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-7-3ep_0alp_5lam,-0.10371206824840752,-0.16420460088927055,188,0.09996445769064244,0.06049253264086303
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_1e-6-3ep_0alp_0lam,-0.06492038955579572,-0.12934128376762746,168,0.0997576363133453,0.06442089421183174
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_3e-6-2ep_0alp_0lam,-0.14489943050544665,-0.19507570813966785,210,0.0998704705177201,0.050176277634221195
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_5e-7_1ep_0alp_0lam,-0.03516936191542543,-0.13039095270062978,149,0.09970785623109338,0.09522159078520434
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_5e-7-2ep_1alp_0lam,-0.002570842984352374,-0.11850376572041059,148,0.09994924980767432,0.11593292273605821
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_1e-6_1ep_0alp_0lam,-0.10946422085969607,-0.15187309558438816,178,0.09980993621247336,0.0424088747246921
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_2e-6_2ep_0alp_0lam,0.04383852182749885,-0.05291158387431227,125,0.09988779524943137,0.09675010570181111
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_3e-6-1ep_0alp_0lam,-0.008544411957239345,-0.11784243852448145,137,0.09994120919529789,0.10929802656724211
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_3e-6-3ep_0alp_0lam,0.07314955703142116,-0.05240461070058064,126,0.09998619414394173,0.1255541677320018
JayHyeon/Qwen2.5-0.5B-SFT-5e-5,-0.6043031279798888,-0.6049208612356072,400,0.11494195837467983,0.0006177332557183446
JayHyeon/Qwen2.5-0.5B-SFT-7e-5,-0.4563550651844215,-0.45688643075571445,400,0.11107624224107741,0.0005313655712929632
JayHyeon/Qwen_0.5-IPO_5e-7-1ep_0alp_0lam,0.13138258185389085,0.011282379609658149,112,0.09991014359062797,0.12010020224423269
JayHyeon/Qwen_0.5-MDPO_0.5_3e-7-1ep_0alp_0lam,-0.15098279746140808,-0.2014325540817969,182,0.09997595746726319,0.05044975662038881
JayHyeon/Qwen_0.5-VIPO_5e-7-1ep_3vpo_const,0.10489620052439107,0.0604127242093561,112,0.09964558375565877,0.044483476315034964
JayHyeon/Qwen_0.5-rDPO_5e-7-3ep_0vpo_const_0.1,0.009639341183169302,-0.008764814258217728,137,0.09997697975190954,0.01840415544138703
LEESM/llama-2-7b-hf-lora-oki10p,-0.7089224235552696,-0.7085654752503696,400,0.12620594715399283,0.0003569483048999622
LilRg/10PRYMMAL-3B-slerp,-0.35946898085208523,-0.3599594515198234,400,0.1308788429462687,0.0004904706677381632
Nexesenex/Llama_3.2_1b_AquaSyn_0.11,-0.033472603805944606,-0.026066437407641956,195,0.09995331415918761,0.00740616639830265
Nexesenex/Qwen_2.5_3b_Smarteaz_0.01a,0.865744223432153,0.780257616351189,12,0.09873830819749223,0.085486607080964
Nexesenex/pankajmathur_orca_mini_v9_6_1B-instruct-Abliterated-LPL,1.2196165905039296,1.1744959254544654,13,0.09891568193205648,0.045120665049464215
NotASI/FineTome-v1.5-Llama3.2-1B-1007,0.8104823101293058,0.769500315611811,13,0.09854445903553968,0.040981994517494846
NousResearch/Hermes-3-Llama-3.2-3B,0.4987288919784148,0.5593527372998198,37,0.09607589492558659,0.06062384532140502
Novaciano/ASTAROTH-3.2-1B,1.0818791216658772,1.095898839237464,12,0.09903642015547325,0.01401971757158682
PJMixers-Dev/LLaMa-3.2-Instruct-JankMix-v0.2-SFT-HailMary-v0.1-KTO-3B,1.4708081323032933,1.3138471267116103,9,0.0927023356354455,0.15696100559168302
PJMixers-Dev/LLaMa-3.2-Instruct-JankMixBread-v0.1-3B,0.7368197445006841,0.8070534249880195,15,0.09424023255926528,0.07023368048733536
Qwen/Qwen2.5-3B-Instruct,1.2199918224779527,1.2798647331708346,13,0.09938733527680936,0.05987291069288192
RezVortex/Jajuka-3b,1.4968703299674908,1.4370734274513912,13,0.09651758655834612,0.05979690251609959
Sakalti/Sailor-japanese,-2.003200593278547,-2.0031948135329207,400,0.26741189236584995,5.7797456260999525e-06
Sakalti/Saka-1.5B,0.04057240494497345,0.02867125476919098,174,0.0998334963861672,0.011901150175782475
Sakalti/tara-3.8B,0.546463723210217,0.6140901055597056,19,0.09736317090996192,0.06762638234948859
SultanR/SmolTulu-1.7b-Reinforced,1.1612281614019362,1.3039504425732238,13,0.09808447864995137,0.1427222811712876
Syed-Hasan-8503/Phi-3-mini-4K-instruct-cpo-simpo,0.9120253395683564,0.999222763229603,11,0.09503377338447389,0.08719742366124661
Telugu-LLM-Labs/Indic-gemma-2b-finetuned-sft-Navarasa-2.0,-0.4373361576846442,-0.43597899159139775,400,0.11899395895036177,0.0013571660932464313
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,-0.6863771774075584,-0.6867097800548115,400,0.12781912819953722,0.0003326026472530996
Xiaojian9992024/Llama3.2-1B-THREADRIPPER,1.1256580129688096,1.0964840734840966,13,0.09691634356146445,0.02917393948471303
Xiaojian9992024/Llama3.2-1B-THREADRIPPER-v0.2,1.0918757934957333,1.0344884795244276,12,0.09863073550553438,0.0573873139713057
Xiaojian9992024/Qwen2.5-Ultra-1.5B-25.02-Exp,0.8529533642082796,0.7226383581334012,13,0.09339848892678508,0.13031500607487845
Youlln/2PRYMMAL-Yi1.5-6B-SLERP,0.32399675217527346,0.14355226670544685,55,0.09891886807112833,0.1804444854698266
akhadangi/Llama3.2.1B.0.1-Last,-1.3710719771152924,-1.3711628842909394,400,0.17050991723841769,9.090717564697037e-05
allenai/OLMo-7B-Instruct-hf,0.30721019531221094,0.4259141579804199,93,0.09970662639675332,0.11870396266820898
anakin87/gemma-2b-orpo,0.044531983052492716,-0.005040778479631296,270,0.0999370606960987,0.04957276153212401
arcee-ai/raspberry-3B,0.2901450459822378,0.31139784799413667,79,0.09806726509340105,0.021252802011898886
awnr/Mistral-7B-v0.1-signtensors-1-over-4,-0.8452300433454392,-0.8453608294615266,400,0.1350113711733312,0.0001307861160874113
bamec66557/VICIOUS_MESH-12B,0.49680239881080196,0.6228681413583724,48,0.09418044573549764,0.12606574254757047
bunnycore/Llama-3.2-3B-Della,0.323493191092893,0.42803570387272394,60,0.09804742475136721,0.10454251277983095
bunnycore/QwQen-3B-LCoT,0.9959302865181475,1.1434157577023232,11,0.09144544444364604,0.14748547118417565
bunnycore/Qwen2.5-3B-Model-Stock-v4.1,1.113626683345551,1.2787639297086129,15,0.09688473493205813,0.16513724636306182
bunnycore/Smol-Llama-3.2-3B,1.4968703299674908,1.3708652666963912,13,0.09651758655834612,0.12600506327109962
carsenk/phi3.5_mini_exp_825_uncensored,-1.884104210055443,-1.884109724257776,400,0.2319792130831521,5.514202332967955e-06
cjvt/GaMS-1B,-1.6887790278289203,-1.688796480067893,400,0.20540857889790806,1.745223897264836e-05
cognitivecomputations/Dolphin3.0-Qwen2.5-0.5B,0.9120253395683564,0.9007550013440638,11,0.09503377338447389,0.011270338224292575
dwikitheduck/gemma-2-2b-id-inst,0.3650897263560347,0.7103035934230321,130,0.09868411947185363,0.34521386706699736
dwikitheduck/gemma-2-2b-id-instruct,0.3650897263560347,0.7103035934230321,130,0.09868411947185363,0.34521386706699736
ewre324/Thinker-Qwen2.5-0.5B-Instruct-Reasoning,0.01862200128556124,-0.026522266073862426,151,0.09997197862143718,0.045144267359423666
godlikehhd/alpaca_data_ifd_min_2600,0.5383606826030661,0.5219736284103558,23,0.09880818685542214,0.01638705419271036
