model,theta_cat,theta_full,n_subset_items,se_reached,theta_abs_error
AicoresSecurity/Cybernet-Sec-3B-R1-V0-Coder,1.0168116363001103,1.1777977618704856,27,0.09944510155291653,0.16098612557037528
CoolSpring/Qwen2-0.5B-Abyme-merge3,-0.19970118082393548,-0.16697555278282045,400,0.11339537696241393,0.032725628041115035
CortexLM/btlm-7b-base-v0.2,-0.9573346126888842,-0.9425524681664603,400,0.2611415951760764,0.014782144522423879
Daemontatox/ReasonTest,0.8017725897515768,1.1853449777745904,38,0.09878456118877273,0.3835723880230135
Daemontatox/mini-Cogito-R1,1.3387676866872689,1.6998281928011547,19,0.09613245257366829,0.36106050611388585
DeepMount00/Qwen2-1.5B-Ita_v3,0.9309268912404542,0.9515789070013906,32,0.09972452621131729,0.020652015760936338
DreadPoor/UNTESTED-VENN_1.2-8B-Model_Stock,1.0788013985563467,1.192707741790568,25,0.09799096785512074,0.11390634323422133
EpistemeAI/Athena-gemma-2-2b-it-Philos,-1.3102062567846717,-1.0541582317521714,400,0.3305410162957808,0.25604802503250035
EpistemeAI/ReasoningCore-1.0-3B-Instruct-r01-Reflect-Math,1.1323895558400716,1.19899347734666,23,0.09755397301710644,0.06660392150658834
EpistemeAI/ReasoningCore-3B-T1-V1,1.1547026170680181,1.1805910695926776,21,0.09875308885370149,0.025888452524659433
Goekdeniz-Guelmez/Josiefied-Qwen2.5-1.5B-Instruct-abliterated-v3,-0.8054502156393719,-0.8187203871213095,400,0.20802207254609612,0.013270171481937543
HuggingFaceTB/SmolLM2-360M,-1.9176408057997731,-1.5527310023896794,400,0.5043423214286068,0.3649098034100937
JayHyeon/Qwen-0.5B-DPO-1epoch,-0.2926189083460833,-0.28459526618411735,400,0.12656405829988618,0.008023642161965938
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_5e-6-3ep_1alp_0lam,-2.0604014021408923,-1.5387741852883154,400,0.5417909914073574,0.5216272168525768
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_1e-6_2ep_0alp_0lam,-2.0604014021408923,-2.103544526012697,400,0.5417909914073574,0.04314312387180452
JayHyeon/Qwen2.5-0.5B-SFT-5e-5-3ep,-1.3177194788793725,-1.363496580983104,400,0.3388977965733203,0.045777102103731426
JayHyeon/Qwen_0.5-DPOP_3e-6-1ep_0alp_5lam,-1.2277915270761146,-1.2557365559544764,400,0.3229835281036176,0.02794502887836181
JayHyeon/Qwen_0.5-MDPO_0.1_5e-7-3ep_0alp_0lam,-2.0604014021408923,-2.103544526012697,400,0.5417909914073574,0.04314312387180452
JayHyeon/Qwen_0.5-VDPO_5e-7-3ep_1vpo_const,0.3339649976461938,0.506072403404293,67,0.09992998209326942,0.17210740575809924
JayHyeon/Qwen_0.5-rDPO_5e-7-3ep_0vpo_const_0.3,0.3217237717926614,0.4060294306216639,72,0.09823366632965433,0.08430565882900254
Lil-R/2_PRYMMAL-ECE-2B-SLERP-V2,0.5990632152976022,0.8096436653659513,46,0.09933530734583164,0.21058045006834913
Lil-R/PRYMMAL-ECE-1B-SLERP-V1,0.6472021675286007,0.6613179072526819,44,0.09973339601426662,0.0141157397240812
Nexesenex/Qwen_2.5_3b_Smarteaz_0.01a,1.0249233127799675,1.301829339011822,26,0.09969129582941647,0.27690602623185456
Nexesenex/pankajmathur_orca_mini_v9_6_1B-instruct-Abliterated-LPL,0.5282702424796802,0.5904894807579744,51,0.09889721952167894,0.06221923827829412
Novaciano/Cultist-3.2-1B,0.47867814934547326,0.5025456239127295,53,0.09977068529305128,0.02386747456725624
OpenLLM-France/Lucie-7B-Instruct-v1.1,0.02853705255082198,0.055637753639026184,204,0.09956368140362343,0.027100701088204206
Qwen/Qwen2-0.5B,-0.16903400038181016,-0.11669689353209498,400,0.11056279907756014,0.05233710684971518
