benchmark,se_target,mae,sd,se,n,n_subset_items,n_all_items
ifeval,0.3,0.20663148663280784,0.22196757981200235,0.021163778337612942,110,18.181818181818183,511
ifeval,0.2,0.15993052974578825,0.18571714048301563,0.01770743456322235,110,43.836363636363636,511
ifeval,0.1,0.0695024183668172,0.10252119563431608,0.009775012464204893,110,160.9909090909091,511
gpqa,0.3,0.4073188058838863,0.3350164596224327,0.03194256610314961,110,12.963636363636363,579
gpqa,0.2,0.3566371665338482,0.28105057931093386,0.02679712130587767,110,26.10909090909091,579
gpqa,0.1,0.10416032557157706,0.12824274825942852,0.01222746628074054,110,154.22727272727272,579
math,0.3,0.20833182097323238,0.21561147881312848,0.0227274454242208,90,77.28888888888889,1183
math,0.2,0.16778700187752948,0.14822572400121195,0.015624363189043883,90,100.88888888888889,1183
math,0.1,0.09725219809851073,0.10971797259875941,0.011565289788934108,90,188.9111111111111,1183
bbh,0.3,0.6840043617159034,0.5495542771101731,0.05239794439844554,110,8.236363636363636,3965
bbh,0.2,0.7189856330054883,0.6723735325532249,0.06410830092884033,110,8.845454545454546,3965
bbh,0.1,0.7112437847867035,0.7037566913207474,0.06710056771055908,110,15.445454545454545,3965
musr,0.3,0.7065661456609679,0.5940781174360343,0.05664312600647084,110,13.554545454545455,432
musr,0.2,0.6287710413095732,0.5956001596852122,0.05678824704085506,110,29.572727272727274,432
musr,0.1,0.36166739775558043,0.3966943813234089,0.03782332519557958,110,156.16363636363636,432
