model,actual_3pl_bank,actual_2pl_bank,pirt_3pl,pirt_2pl,n_items_3pl,n_items_2pl
01-ai/Yi-1.5-6B,0.3385146804835924,0.313758389261745,0.18882052440610303,0.45858843360792717,11,8
AicoresSecurity/Cybernet-Sec-3B-R1-V0-Coder,0.39378238341968913,0.27181208053691275,0.33547026041044825,0.3368658090195375,8,35
AicoresSecurity/Cybernet-Sec-3B-R1-V1.1,0.38341968911917096,0.2709731543624161,0.33547026041044825,0.3368658090195375,8,35
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,0.22797927461139897,0.25922818791946306,0.2590167096809681,0.44985518670290925,8,8
BlackBeenie/Neos-Llama-3.1-base,0.19516407599309155,0.23741610738255034,0.12625713427311727,0.4463144319413049,63,8
BramVanroy/fietje-2-chat,0.24352331606217617,0.23993288590604026,0.18226388954844336,0.44912987381763636,10,8
BramVanroy/fietje-2-instruct,0.22279792746113988,0.2332214765100671,0.17900474668331373,0.44567957547871784,11,8
Daemontatox/Zirel_1.5,0.23661485319516407,0.2600671140939597,0.1344270553790678,0.5178565783198082,42,13
DavieLion/Llama-3.2-1B-SPIN-iter3,0.3316062176165803,0.26426174496644295,0.31093497676343246,0.34183308787069455,8,50
DeepMount00/Lexora-Lite-3B,0.24006908462867013,0.2802013422818792,0.2590167096809681,0.446745251925597,8,8
EpistemeAI/Athena-gemma-2-2b-it,0.28324697754749567,0.2684563758389262,0.15283392754306988,0.4463144319413049,20,8
EpistemeAI/Athene-codegemma-2-7b-it-alpaca-v1.3,0.26252158894645944,0.2802013422818792,0.23063473750375763,0.46651592179882534,8,8
EpistemeAI/Reasoning-Llama-3.2-1B-Instruct-v1.2,0.37823834196891193,0.2609060402684564,0.33547026041044825,0.33745009671024095,8,28
EpistemeAI/ReasoningCore-3B-Instruct-r01-Reflect,0.39378238341968913,0.27348993288590606,0.33547026041044825,0.3368658090195375,8,35
J-LAB/Thynk_orpo,0.29533678756476683,0.29278523489932884,0.2192730584399361,0.458415462612904,8,8
JayHyeon/Qwen-0.5B-DPO-5epoch,0.25215889464594127,0.24328859060402686,0.19503781420139102,0.44567957547871784,10,8
JayHyeon/Qwen2.5-0.5B-SFT,0.3298791018998273,0.2785234899328859,0.22472158905116374,0.3368658090195375,10,35
JayHyeon/Qwen2.5-0.5B-SFT-1e-5-2ep,0.35060449050086356,0.26929530201342283,0.2767483924175974,0.3368658090195375,8,35
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-6-1ep_0alp_5lam,0.35751295336787564,0.276006711409396,0.3047403206736305,0.3368658090195375,8,35
