model,actual_full,pirt_pred,theta,se,n_items
01-ai/Yi-1.5-6B,0.22242990654205608,0.2641246648324773,0.3408507826629424,0.19465367319411334,8
AicoresSecurity/Cybernet-Sec-3B-R1-V0-Coder,0.6691588785046729,0.7117330203409079,1.5777265399325233,0.13897665683402194,8
AicoresSecurity/Cybernet-Sec-3B-R1-V1.1,0.6336448598130842,0.5926893974633469,1.2436218281424576,0.12770465738890244,8
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,0.14018691588785046,0.1006649748895676,-1.6341453219949116,0.2760758397612025,16
BlackBeenie/Neos-Llama-3.1-base,0.11401869158878504,0.09024361339994347,-2.2464075968690347,0.2930001712580179,12
BramVanroy/fietje-2-chat,0.22990654205607478,0.22744671292814755,0.11973934709540236,0.24729478534588484,8
BramVanroy/fietje-2-instruct,0.21869158878504674,0.22744671292814755,0.11973934709540236,0.24729478534588484,8
Daemontatox/Zirel_1.5,0.3663551401869159,0.42227150977553946,0.8575568048934583,0.15959027588988656,8
DavieLion/Llama-3.2-1B-SPIN-iter3,0.08224299065420561,0.10242462455948234,-1.3615417863265529,0.2924400838134216,12
DeepMount00/Lexora-Lite-3B,0.5289719626168224,0.4853689637230143,0.9976827729535488,0.11966414857855413,8
EpistemeAI/Athena-gemma-2-2b-it,0.2822429906542056,0.42227150977553946,0.8575568048934583,0.15959027588988656,8
EpistemeAI/Athene-codegemma-2-7b-it-alpaca-v1.3,0.34579439252336447,0.437480383868001,0.8921408924774179,0.15707953395061572,8
EpistemeAI/Reasoning-Llama-3.2-1B-Instruct-v1.2,0.34766355140186916,0.437480383868001,0.8921408924774179,0.15707953395061572,8
EpistemeAI/ReasoningCore-3B-Instruct-r01-Reflect,0.6953271028037383,0.688848255283262,1.5007403115814797,0.10341420808085745,8
J-LAB/Thynk_orpo,0.16074766355140188,0.204741898140904,-0.05046901373007737,0.29371964362508163,8
JayHyeon/Qwen-0.5B-DPO-5epoch,0.18878504672897195,0.19777540583604866,-0.11173917519590093,0.26152241131408027,8
JayHyeon/Qwen2.5-0.5B-SFT,0.13644859813084112,0.12640415782515804,-0.9346587891673632,0.2910135490550422,11
JayHyeon/Qwen2.5-0.5B-SFT-1e-5-2ep,0.14392523364485982,0.19475183951499947,-0.13882385438012643,0.29622019165746044,8
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-6-1ep_0alp_5lam,0.18317757009345795,0.20401930844016725,-0.05812121655452836,0.280744104414937,8
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-6-3ep_0alp_5lam,0.19439252336448598,0.20200467657423837,-0.07619494366511725,0.2579480587243609,8
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-7-3ep_0alp_5lam,0.19626168224299065,0.20795864097318778,-0.02834269839316811,0.2464354585301803,8
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_1e-6-3ep_0alp_0lam,0.205607476635514,0.1836135436313573,-0.2384953652706574,0.27250023235259874,8
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_3e-6-2ep_0alp_0lam,0.17943925233644858,0.20200467657423837,-0.07619494366511725,0.2579480587243609,8
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_5e-7_1ep_0alp_0lam,0.19813084112149532,0.1836135436313573,-0.2384953652706574,0.27250023235259874,8
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_5e-7-2ep_1alp_0lam,0.19813084112149532,0.1836135436313573,-0.2384953652706574,0.27250023235259874,8
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_1e-6_1ep_0alp_0lam,0.19626168224299065,0.1836135436313573,-0.2384953652706574,0.27250023235259874,8
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_2e-6_2ep_0alp_0lam,0.20186915887850468,0.20795864097318778,-0.02834269839316811,0.2464354585301803,8
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_3e-6-1ep_0alp_0lam,0.19439252336448598,0.20200467657423837,-0.07619494366511725,0.2579480587243609,8
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_3e-6-3ep_0alp_0lam,0.2,0.20401930844016725,-0.05812121655452836,0.280744104414937,8
JayHyeon/Qwen2.5-0.5B-SFT-5e-5,0.14579439252336449,0.1616563757568284,-0.4710429013486555,0.2845494378884008,8
JayHyeon/Qwen2.5-0.5B-SFT-7e-5,0.1588785046728972,0.17580681222366207,-0.32041242487933524,0.2816467318735023,11
JayHyeon/Qwen_0.5-IPO_5e-7-1ep_0alp_0lam,0.19439252336448598,0.22744671292814755,0.11973934709540236,0.24729478534588484,8
JayHyeon/Qwen_0.5-MDPO_0.5_3e-7-1ep_0alp_0lam,0.19065420560747665,0.1836135436313573,-0.2384953652706574,0.27250023235259874,8
JayHyeon/Qwen_0.5-VIPO_5e-7-1ep_3vpo_const,0.20747663551401868,0.20401930844016725,-0.05812121655452836,0.280744104414937,8
JayHyeon/Qwen_0.5-rDPO_5e-7-3ep_0vpo_const_0.1,0.2,0.20200467657423837,-0.07619494366511725,0.2579480587243609,8
LEESM/llama-2-7b-hf-lora-oki10p,0.16261682242990655,0.09770154728081211,-1.6147454193269382,0.2947826289324639,14
