benchmark,model_type,se_target,r,mae,items,N_calib,N_test,n_items_bank
ifeval,mirt,0.3,0.9851527472567194,0.03597054385926944,91.0909090909091,991,110,150
ifeval,unidim,0.3,0.9616282672369189,0.05329574210208613,25.572727272727274,991,110,150
gpqa,mirt,0.3,0.8810470774250306,0.050864812794546126,185.52727272727273,991,110,150
gpqa,unidim,0.3,0.8736636329421174,0.05502208160980375,40.29090909090909,991,110,150
math,mirt,0.3,0.9972956777959645,0.020166169433803057,179.64545454545456,991,110,77
math,unidim,0.3,0.9026458420138336,0.17261585643924687,43.32727272727273,991,110,77
bbh,mirt,0.3,0.9736984476716111,0.03366963078430735,201.56363636363636,991,110,150
bbh,unidim,0.3,0.8996203864013702,0.05446456786678771,31.972727272727273,991,110,150
ifeval,mirt,0.2,0.9896414627460521,0.03229740643389468,327.1545454545454,991,110,150
ifeval,unidim,0.2,0.9755444911763366,0.0508798898583619,70.46363636363637,991,110,150
gpqa,mirt,0.2,0.9132356624345352,0.0440443736793799,400.0,991,110,150
gpqa,unidim,0.2,0.9117288972136055,0.04723694746320427,83.80909090909091,991,110,150
math,mirt,0.2,0.9979655461290527,0.01851965458737894,227.7,991,110,77
math,unidim,0.2,0.9448312624374037,0.17104183438760479,54.17272727272727,991,110,77
bbh,mirt,0.2,0.9827463959899387,0.027320754181584066,400.0,991,110,150
bbh,unidim,0.2,0.9625818038915234,0.03529850866548881,90.02727272727273,991,110,150
