benchmark,strategy,N,seed,se_target,r,mae,items,n_bank_items,n_test,calib_s
ifeval,ability_spread,10,0,0.2,0.8811,0.0781,8.07,462,110,13.4
ifeval,ability_spread,20,0,0.2,0.8763,0.0869,10.82,490,110,15.6
ifeval,ability_spread,30,0,0.2,0.8111,0.0845,31.19,493,110,20.2
ifeval,ability_spread,50,0,0.2,0.8634,0.0638,37.67,506,110,27.1
ifeval,ability_spread,80,0,0.2,0.9244,0.0491,53.44,506,110,36.6
ifeval,ability_spread,120,0,0.2,0.8923,0.0561,56.39,509,110,35.2
ifeval,ability_spread,10,0,0.3,0.8811,0.0781,8.0,462,110,13.4
ifeval,ability_spread,20,0,0.3,0.876,0.0872,9.56,490,110,15.6
ifeval,ability_spread,30,0,0.3,0.8106,0.0858,15.59,493,110,20.2
ifeval,ability_spread,50,0,0.3,0.8599,0.0658,23.74,506,110,27.1
ifeval,ability_spread,80,0,0.3,0.9215,0.0515,23.55,506,110,36.6
ifeval,ability_spread,120,0,0.3,0.8896,0.0598,22.63,509,110,35.2
ifeval,diverse,10,0,0.2,0.8145,0.1083,14.64,437,110,14.3
ifeval,diverse,20,0,0.2,0.8554,0.1031,35.42,443,110,20.2
ifeval,diverse,30,0,0.2,0.792,0.126,25.61,451,110,24.2
ifeval,diverse,50,0,0.2,0.8663,0.1137,30.99,476,110,25.9
ifeval,diverse,80,0,0.2,0.9215,0.0985,41.19,488,110,28.7
ifeval,diverse,120,0,0.2,0.9198,0.062,134.33,499,110,35.1
ifeval,diverse,10,0,0.3,0.8144,0.1088,8.85,437,110,14.3
ifeval,diverse,20,0,0.3,0.8606,0.1109,12.0,443,110,20.2
ifeval,diverse,30,0,0.3,0.8094,0.1312,9.58,451,110,24.2
ifeval,diverse,50,0,0.3,0.8716,0.1238,9.5,476,110,25.9
ifeval,diverse,80,0,0.3,0.892,0.1142,12.18,488,110,28.7
ifeval,diverse,120,0,0.3,0.912,0.0969,16.48,499,110,35.1
ifeval,random,10,0,0.2,0.893,0.085,18.64,393,110,13.4
ifeval,random,10,1,0.2,0.8281,0.0958,11.83,340,110,10.5
ifeval,random,10,2,0.2,0.8325,0.0949,8.11,436,110,12.7
ifeval,random,10,3,0.2,0.8945,0.0687,9.3,429,110,13.3
ifeval,random,10,4,0.2,0.7967,0.0928,19.39,382,110,11.6
ifeval,random,20,0,0.2,0.7405,0.092,20.48,448,110,19.2
ifeval,random,20,1,0.2,0.8462,0.0796,11.36,457,110,13.6
ifeval,random,20,2,0.2,0.8024,0.0906,14.56,466,110,17.2
ifeval,random,20,3,0.2,0.8305,0.0915,15.72,438,110,14.6
ifeval,random,20,4,0.2,0.8557,0.0774,25.66,452,110,18.5
ifeval,random,30,0,0.2,0.8835,0.0671,28.29,476,110,20.7
ifeval,random,30,1,0.2,0.8587,0.0675,34.65,474,110,18.0
ifeval,random,30,2,0.2,0.9022,0.069,10.69,489,110,15.2
ifeval,random,30,3,0.2,0.8867,0.0735,17.8,475,110,17.7
ifeval,random,30,4,0.2,0.894,0.0664,36.81,482,110,19.4
