model,actual_full,pirt_pred,theta,se,n_items
01-ai/Yi-1.5-6B,0.4376657824933687,0.4680405904607909,0.6053724722648155,0.24496047129874582,9
AicoresSecurity/Cybernet-Sec-3B-R1-V0-Coder,0.34084880636604775,0.5248069759457822,1.3471563123649206,0.06442677257992631,8
AicoresSecurity/Cybernet-Sec-3B-R1-V1.1,0.3541114058355438,0.5248069759457822,1.3471563123649206,0.06442677257992631,8
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,0.4363395225464191,0.43776958634093244,-0.3629450568744725,0.1842453693863911,8
BlackBeenie/Neos-Llama-3.1-base,0.35013262599469497,0.437419271705604,-0.27258442217070583,0.13562403567198553,8
BramVanroy/fietje-2-chat,0.35278514588859416,0.46185980022731965,0.5259652462783317,0.2251535539883528,8
BramVanroy/fietje-2-instruct,0.33687002652519893,0.46185980022731965,0.5259652462783317,0.2251535539883528,8
Daemontatox/Zirel_1.5,0.3660477453580902,0.4518143854512926,0.3283618059476599,0.2927874447388544,8
DavieLion/Llama-3.2-1B-SPIN-iter3,0.35278514588859416,0.46074523606397744,0.5656408984068186,0.11350246757767896,8
DeepMount00/Lexora-Lite-3B,0.3952254641909814,0.43310198321171484,-0.8142770942902577,0.10492044680628906,8
EpistemeAI/Athena-gemma-2-2b-it,0.4416445623342175,0.5168935757440211,1.2233756198771824,0.07035514441261284,8
EpistemeAI/Athene-codegemma-2-7b-it-alpaca-v1.3,0.4509283819628647,0.5063861095265522,1.087181180556166,0.04911177013061325,8
EpistemeAI/Reasoning-Llama-3.2-1B-Instruct-v1.2,0.3222811671087533,0.4372434764324799,-0.19311556541215338,0.13004974563244048,8
EpistemeAI/ReasoningCore-3B-Instruct-r01-Reflect,0.35278514588859416,0.5248069759457822,1.3471563123649206,0.06442677257992631,8
J-LAB/Thynk_orpo,0.45225464190981435,0.48829632606120893,0.8505069474029034,0.17046639613238213,8
JayHyeon/Qwen2.5-0.5B-SFT,0.3395225464190981,0.5336647839260211,1.4407673324508197,0.07709784239684211,8
JayHyeon/Qwen2.5-0.5B-SFT-1e-5-2ep,0.33687002652519893,0.4478620939976236,0.31313632419549114,0.13945818981368444,8
JayHyeon/Qwen2.5-0.5B-SFT-1e-5-5ep,0.32360742705570295,0.5248069759457822,1.3471563123649206,0.06442677257992631,8
