benchmark,n_train,se_target,mean_items,median_items,pct_items,corr,mae,n_bank_items,n_test,calib_s
bbh,200,0.3,8.05,8.0,0.21,0.8447,0.062,3816,110,4.5
bbh,200,0.2,12.05,8.0,0.32,0.8428,0.0633,3816,110,4.5
bbh,400,0.3,8.15,8.0,0.2,0.8217,0.0837,4035,110,4.1
bbh,400,0.2,8.66,8.0,0.21,0.8227,0.0847,4035,110,4.1
bbh,600,0.3,8.2,8.0,0.21,0.8591,0.0786,3914,110,4.3
bbh,600,0.2,8.42,8.0,0.22,0.8711,0.0775,3914,110,4.3
bbh,800,0.3,8.25,8.0,0.21,0.7449,0.0833,3935,110,4.4
bbh,800,0.2,8.62,8.0,0.22,0.75,0.0836,3935,110,4.4
bbh,992,0.3,8.28,8.0,0.21,0.6711,0.1081,3965,110,4.5
bbh,992,0.2,8.65,8.0,0.22,0.6684,0.1056,3965,110,4.5
