benchmark,n_train,se_target,mean_items,median_items,pct_items,corr,mae,n_bank_items,n_test,calib_s
gpqa,100,0.3,13.77,8.5,1.75,0.6037,0.215,787,110,1.9
gpqa,100,0.2,24.78,15.5,3.15,0.5887,0.2116,787,110,1.9
gpqa,200,0.3,15.98,10.5,1.96,0.6704,0.1978,816,110,2.7
gpqa,200,0.2,29.77,26.5,3.65,0.6912,0.1881,816,110,2.7
gpqa,300,0.3,16.81,16.0,2.03,0.5568,0.1876,828,110,2.5
gpqa,300,0.2,28.78,24.5,3.48,0.5985,0.1722,828,110,2.5
gpqa,400,0.3,19.58,14.5,2.36,0.6364,0.1754,828,110,3.4
gpqa,400,0.2,42.58,40.0,5.14,0.6495,0.166,828,110,3.4
gpqa,500,0.3,15.37,10.0,1.88,0.6946,0.2155,819,110,2.4
gpqa,500,0.2,29.79,28.0,3.64,0.7098,0.2046,819,110,2.4
gpqa,600,0.3,17.36,9.5,2.11,0.6471,0.1997,823,110,2.6
gpqa,600,0.2,31.0,27.0,3.77,0.6641,0.1847,823,110,2.6
gpqa,700,0.3,15.16,10.0,1.87,0.6783,0.1813,809,110,2.4
gpqa,700,0.2,30.14,25.5,3.73,0.6716,0.1633,809,110,2.4
gpqa,800,0.3,22.85,28.0,2.77,0.6067,0.1345,825,110,4.5
gpqa,800,0.2,40.45,40.0,4.9,0.6221,0.1292,825,110,4.5
gpqa,900,0.3,20.09,15.0,2.44,0.6347,0.1938,824,110,3.3
gpqa,900,0.2,40.5,35.0,4.92,0.6583,0.1833,824,110,3.3
gpqa,992,0.3,19.21,18.0,2.33,0.5918,0.147,825,110,4.2
gpqa,992,0.2,37.54,34.0,4.55,0.6131,0.1359,825,110,4.2
