benchmark,n_train,se_target,mean_items,median_items,pct_items,corr,mae,n_bank_items,n_test,calib_s
bbh,200,0.3,8.05,8.0,0.21,0.8447,0.062,3816,110,4.5
bbh,200,0.2,12.05,8.0,0.32,0.8428,0.0633,3816,110,4.5
bbh,400,0.3,8.15,8.0,0.2,0.8217,0.0837,4035,110,4.1
bbh,400,0.2,8.66,8.0,0.21,0.8227,0.0847,4035,110,4.1
bbh,600,0.3,8.2,8.0,0.21,0.8591,0.0786,3914,110,4.3
bbh,600,0.2,8.42,8.0,0.22,0.8711,0.0775,3914,110,4.3
bbh,800,0.3,8.25,8.0,0.21,0.7449,0.0833,3935,110,4.4
bbh,800,0.2,8.62,8.0,0.22,0.75,0.0836,3935,110,4.4
bbh,992,0.3,8.28,8.0,0.21,0.6711,0.1081,3965,110,4.5
bbh,992,0.2,8.65,8.0,0.22,0.6684,0.1056,3965,110,4.5
gpqa,100,0.3,13.77,8.5,1.75,0.6037,0.215,787,110,1.9
gpqa,100,0.2,24.78,15.5,3.15,0.5887,0.2116,787,110,1.9
gpqa,200,0.3,15.98,10.5,1.96,0.6704,0.1978,816,110,2.7
gpqa,200,0.2,29.77,26.5,3.65,0.6912,0.1881,816,110,2.7
gpqa,300,0.3,16.81,16.0,2.03,0.5568,0.1876,828,110,2.5
gpqa,300,0.2,28.78,24.5,3.48,0.5985,0.1722,828,110,2.5
gpqa,400,0.3,19.58,14.5,2.36,0.6364,0.1754,828,110,3.4
gpqa,400,0.2,42.58,40.0,5.14,0.6495,0.166,828,110,3.4
gpqa,500,0.3,15.37,10.0,1.88,0.6946,0.2155,819,110,2.4
gpqa,500,0.2,29.79,28.0,3.64,0.7098,0.2046,819,110,2.4
gpqa,600,0.3,17.36,9.5,2.11,0.6471,0.1997,823,110,2.6
gpqa,600,0.2,31.0,27.0,3.77,0.6641,0.1847,823,110,2.6
gpqa,700,0.3,15.16,10.0,1.87,0.6783,0.1813,809,110,2.4
gpqa,700,0.2,30.14,25.5,3.73,0.6716,0.1633,809,110,2.4
gpqa,800,0.3,22.85,28.0,2.77,0.6067,0.1345,825,110,4.5
gpqa,800,0.2,40.45,40.0,4.9,0.6221,0.1292,825,110,4.5
gpqa,900,0.3,20.09,15.0,2.44,0.6347,0.1938,824,110,3.3
gpqa,900,0.2,40.5,35.0,4.92,0.6583,0.1833,824,110,3.3
gpqa,992,0.3,19.21,18.0,2.33,0.5918,0.147,825,110,4.2
gpqa,992,0.2,37.54,34.0,4.55,0.6131,0.1359,825,110,4.2
ifeval,100,0.3,22.94,8.0,4.65,0.9081,0.0538,493,110,3.8
ifeval,100,0.2,39.16,10.0,7.94,0.9126,0.0523,493,110,3.8
ifeval,200,0.3,24.47,8.0,4.86,0.9393,0.045,504,110,4.0
ifeval,200,0.2,53.69,12.0,10.65,0.9414,0.0431,504,110,4.0
ifeval,300,0.3,20.85,8.0,4.11,0.9028,0.0515,507,110,4.4
ifeval,300,0.2,50.45,13.0,9.95,0.9076,0.0488,507,110,4.4
ifeval,400,0.3,20.34,8.0,4.0,0.9195,0.0469,509,110,4.6
ifeval,400,0.2,56.72,14.5,11.14,0.9237,0.043,509,110,4.6
ifeval,500,0.3,19.63,8.0,3.91,0.9188,0.0472,502,110,4.1
ifeval,500,0.2,48.91,13.0,9.74,0.9206,0.0456,502,110,4.1
ifeval,600,0.3,20.02,8.0,3.96,0.9261,0.05,506,110,4.4
ifeval,600,0.2,49.65,13.5,9.81,0.9306,0.045,506,110,4.4
ifeval,700,0.3,23.91,8.0,4.7,0.9118,0.05,509,110,4.2
ifeval,700,0.2,51.65,14.0,10.15,0.9159,0.0454,509,110,4.2
ifeval,800,0.3,20.7,8.0,4.06,0.929,0.0458,510,110,4.2
ifeval,800,0.2,51.13,12.5,10.02,0.9353,0.0415,510,110,4.2
ifeval,900,0.3,20.76,8.0,4.06,0.9462,0.0434,511,110,4.4
ifeval,900,0.2,51.26,13.0,10.03,0.9521,0.0384,511,110,4.4
ifeval,992,0.3,20.22,8.0,3.96,0.9225,0.0489,511,110,4.3
ifeval,992,0.2,51.92,14.5,10.16,0.9279,0.0438,511,110,4.3
math,100,0.3,131.99,8.0,15.07,0.8893,0.0307,876,90,15.1
math,100,0.2,187.76,8.5,21.43,0.8913,0.0293,876,90,15.1
math,200,0.3,152.09,8.0,15.42,0.9157,0.0224,986,90,19.7
math,200,0.2,211.02,8.5,21.4,0.9203,0.0214,986,90,19.7
math,300,0.3,155.49,8.0,15.18,0.8676,0.0254,1024,90,20.9
math,300,0.2,218.92,10.0,21.38,0.8643,0.0247,1024,90,20.9
math,400,0.3,156.94,8.0,14.81,0.9205,0.0218,1060,90,27.2
math,400,0.2,239.86,10.0,22.63,0.9273,0.0196,1060,90,27.2
math,500,0.3,169.1,8.0,15.64,0.8605,0.0234,1081,90,23.3
math,500,0.2,235.11,11.0,21.75,0.8671,0.0223,1081,90,23.3
math,600,0.3,170.46,8.0,15.7,0.9252,0.0197,1086,90,23.9
math,600,0.2,245.0,13.5,22.56,0.9278,0.0188,1086,90,23.9
math,700,0.3,173.52,8.0,15.95,0.9071,0.0212,1088,90,24.6
math,700,0.2,255.12,14.0,23.45,0.9127,0.0195,1088,90,24.6
math,800,0.3,178.62,8.0,16.48,0.8747,0.0255,1084,90,24.1
math,800,0.2,245.29,14.0,22.63,0.8905,0.0231,1084,90,24.1
math,811,0.3,179.34,8.0,16.5,0.8802,0.0252,1087,90,24.5
math,811,0.2,245.87,13.5,22.62,0.8947,0.023,1087,90,24.5
