model,actual_full,diagnostic_pred,theta,se,n_items
01-ai/Yi-1.5-6B,0.27065217391304347,0.4014118750025735,0.28605093134846143,0.1789453728606999,318
01-ai/Yi-6B-Chat,0.27717391304347827,0.36664539153872466,-0.11523828403444834,0.1766883140691804,318
BEE-spoke-data/smol_llama-220M-openhermes,0.225,0.1858444730365304,-2.1243178343856286,0.1498547310558977,18
BSC-LT/salamandra-7b-instruct,0.3032608695652174,0.3889705746229927,0.14216329043623832,0.1789892282658377,318
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,0.3119565217391304,0.4140398033482021,0.4321359752892155,0.17731086021550233,318
Qwen/Qwen2-0.5B,0.2597826086956522,0.30424955030479883,-0.8273442655117407,0.16101935342865834,318
allenai/OLMo-1B-hf,0.2510869565217391,0.3014527844320776,-0.8589277212880659,0.16011370172442366,318
google/gemma-2-2b,0.2847826086956522,0.42562040280817837,0.5656640701394939,0.20101225388816998,318
h2oai/h2o-danube-1.8b-chat,0.25217391304347825,0.26045973202194916,-1.318020780122111,0.14992171262440168,108
meta-llama/Llama-3.2-3B-Instruct,0.3010869565217391,0.4273638116655793,0.5856848874899627,0.1731095274432718,318
stabilityai/stablelm-zephyr-3b,0.2717391304347826,0.3208965186275387,-0.6386826242499377,0.19583063070648876,318
tiiuae/Falcon3-3B-Instruct,0.28043478260869564,0.37111223145692285,-0.0638351368880995,0.17733034077756588,318
