model,actual_full,diagnostic_pred,theta,se,n_items
01-ai/Yi-1.5-6B,0.8008705114254625,0.8061364119074423,0.695137779088919,0.29574777920241513,17
01-ai/Yi-6B-Chat,0.7573449401523396,0.7461497924321309,-0.11690952980209975,0.2961731766492103,9
BEE-spoke-data/smol_llama-220M-openhermes,0.5859630032644179,0.3706104634470629,-2.268404524987289,0.22127423898986645,8
BSC-LT/salamandra-7b-instruct,0.7763873775843307,0.7248540940809886,-0.34338221604663793,0.2844577097025051,8
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,0.6996735582154516,0.7127934251772075,-0.460642370224278,0.26889076057789096,8
Qwen/Qwen2-0.5B,0.6828073993471164,0.6196253427652314,-1.167065705237322,0.18806990046699967,8
allenai/OLMo-1B-hf,0.7551686615886833,0.777663409924956,0.2724498736729646,0.2912904659872796,13
google/gemma-2-2b,0.7867247007616975,0.8126969248181524,0.8041469584058272,0.2967063165478868,18
h2oai/h2o-danube-1.8b-chat,0.7606093579978237,0.7164760537048969,-0.4256220146409188,0.272137558815474,8
meta-llama/Llama-3.2-3B-Instruct,0.7519042437431991,0.7478004241176237,-0.09822431276379942,0.29430695271469653,10
stabilityai/stablelm-zephyr-3b,0.7334058759521219,0.7335608732917516,-0.2539419201017133,0.29195681137067336,9
tiiuae/Falcon3-3B-Instruct,0.7377584330794341,0.7626014785777588,0.07738673217174392,0.2934785082414351,11
