model,actual_full,diagnostic_pred,theta,se,n_items
01-ai/Yi-1.5-6B,0.47236438075742065,0.5014755157448875,0.5402219650079796,0.16786536167714716,8
01-ai/Yi-6B-Chat,0.44626407369498466,0.37046255486549773,-0.44274514948163085,0.17408800293769594,8
BEE-spoke-data/smol_llama-220M-openhermes,0.38331627430910953,0.43506425568012397,0.06366355588168722,0.21127919440343162,8
BSC-LT/salamandra-7b-instruct,0.503582395087001,0.40286878642091073,-0.18446629850614726,0.20522712023735043,8
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,0.4257932446264074,0.2608447648243774,-1.4482724827940054,0.18651908975477985,8
Qwen/Qwen2-0.5B,0.39201637666325484,0.30475962867165884,-1.0123532188010196,0.1926752982265005,8
allenai/OLMo-1B-hf,0.41760491299897645,0.3935549404482632,-0.25775893668896727,0.19103067721935105,8
google/gemma-2-2b,0.49334698055271237,0.4766626462998771,0.3688426087503511,0.17865154749841927,8
h2oai/h2o-danube-1.8b-chat,0.4498464687819857,0.3208650484867939,-0.8648674956692701,0.18243509249202655,8
meta-llama/Llama-3.2-3B-Instruct,0.4539406345957011,0.33670547669912554,-0.7252619602018557,0.18112228828724453,8
stabilityai/stablelm-zephyr-3b,0.4703172978505629,0.27362717435405254,-1.3153168927572092,0.18370315232019185,8
tiiuae/Falcon3-3B-Instruct,0.5030706243602866,0.3816663232064811,-0.3523541865136174,0.17983900876154926,8
