metric,model,se_stop,OLD_calib40,NEW_calib66,delta
r,2PL,0.3,0.7163,0.9049,0.1886
mae_raw,2PL,0.3,0.063,0.1038,0.0408
mae_train_fit,2PL,0.3,0.0151,0.0084,-0.0066
avg_items,2PL,0.3,10.25,12.25,2.0
pct_items,2PL,0.3,3.2233,3.347,0.1237
slope_a,2PL,0.3,0.1519,0.2419,0.09
intercept_b,2PL,0.3,0.214,0.1836,-0.0304
pred_spread,2PL,0.3,0.2301,0.3333,0.1032
r,2PL,0.15,0.8996,0.958,0.0584
mae_raw,2PL,0.15,0.0798,0.1103,0.0305
mae_train_fit,2PL,0.15,0.0121,0.0062,-0.006
avg_items,2PL,0.15,275.5,294.75,19.25
pct_items,2PL,0.15,86.6352,80.5328,-6.1024
slope_a,2PL,0.15,0.1694,0.2383,0.0688
intercept_b,2PL,0.15,0.2075,0.1851,-0.0224
pred_spread,2PL,0.15,0.2415,0.3392,0.0977
r,1PL,0.3,0.8903,0.734,-0.1563
mae_raw,1PL,0.3,0.1011,0.0925,-0.0086
mae_train_fit,1PL,0.3,0.0104,0.0144,0.004
avg_items,1PL,0.3,43.8333,43.1667,-0.6667
pct_items,1PL,0.3,13.7841,11.7942,-1.9899
slope_a,1PL,0.3,0.1714,0.2291,0.0577
intercept_b,1PL,0.3,0.208,0.1917,-0.0163
pred_spread,1PL,0.3,0.2831,0.1672,-0.1158
r,1PL,0.15,0.9407,0.9255,-0.0152
mae_raw,1PL,0.15,0.0973,0.0985,0.0013
mae_train_fit,1PL,0.15,0.0095,0.0092,-0.0003
avg_items,1PL,0.15,318.0,288.5,-29.5
pct_items,1PL,0.15,100.0,78.8251,-21.1749
slope_a,1PL,0.15,0.1877,0.2502,0.0625
intercept_b,1PL,0.15,0.2005,0.181,-0.0195
pred_spread,1PL,0.15,0.2448,0.1843,-0.0606
n_items_kept,2PL,-,318,366,48
n_calib_models,-,-,40,66,26
