model,actual_full,diagnostic_pred,calibrated_pred,n_items
01-ai/Yi-1.5-6B,0.27065217391304347,0.392374674953428,0.27414791931528915,318
01-ai/Yi-6B-Chat,0.27717391304347827,0.4077278222956835,0.2770299683462994,318
BEE-spoke-data/smol_llama-220M-openhermes,0.225,0.19667357416460707,0.23741146682624495,318
BSC-LT/salamandra-7b-instruct,0.3032608695652174,0.4230845036458773,0.27991268077120063,318
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,0.3119565217391304,0.4415160973738386,0.28337260697782574,318
Qwen/Qwen2-0.5B,0.2597826086956522,0.3095695401740715,0.258603975579616,318
allenai/OLMo-1B-hf,0.2510869565217391,0.31263211464688984,0.25917887332501116,318
google/gemma-2-2b,0.2847826086956522,0.41694145846299485,0.2787595258497956,318
h2oai/h2o-danube-1.8b-chat,0.25217391304347825,0.29732363750456203,0.2563052096565293,318
meta-llama/Llama-3.2-3B-Instruct,0.3010869565217391,0.43844394200489695,0.2827959107339355,318
stabilityai/stablelm-zephyr-3b,0.2717391304347826,0.34634544276217677,0.26550744312642105,318
tiiuae/Falcon3-3B-Instruct,0.28043478260869564,0.41694145846299474,0.2787595258497956,318
