model,actual_full,diagnostic_pred,calibrated_pred,n_items
BSC-LT/salamandra-2b,0.2782608695652174,0.3574389309185378,0.2735767906198268,384
HuggingFaceTB/SmolLM-1.7B-Instruct,0.2717391304347826,0.35673003792101193,0.27340365003105904,384
HuggingFaceTB/SmolLM2-360M-Instruct,0.26304347826086955,0.3387863467045758,0.2690210686362299,384
Qwen/Qwen1.5-1.8B-Chat,0.25217391304347825,0.32306301459839426,0.26518078951405283,384
Qwen/Qwen2-0.5B,0.2597826086956522,0.3044640446622768,0.26063816232426085,384
Qwen/Qwen2-1.5B-Instruct,0.26413043478260867,0.3510096965911293,0.2720065093211558,384
allenai/OLMo-2-0425-1B-DPO,0.28695652173913044,0.3951150283971519,0.2827788305929789,384
google/gemma-2b,0.2717391304347826,0.34818543770814553,0.2713167100883531,384
h2oai/h2o-danube2-1.8b-chat,0.2728260869565217,0.38163505753455834,0.27948647180276925,384
ibm-granite/granite-7b-instruct,0.2532608695652174,0.3598892370575851,0.2741752553374312,384
microsoft/phi-1_5,0.26521739130434785,0.3243283821209513,0.265489843882805,384
stabilityai/stablelm-2-1_6b-chat,0.2793478260869565,0.3881935939971998,0.2810883339576503,384
