model,se_stop,metric,old,new,delta
2PL,0.3,pearson_r,0.7163,0.8238,0.1075
2PL,0.3,mae_raw,0.063,0.0724,0.0094
2PL,0.3,mae_calibrated_trainfit,0.0151,0.0049,-0.0102
2PL,0.3,avg_cat_items,10.25,13.3333,3.0833
2PL,0.3,pct_items,3.2233,3.4722,0.249
2PL,0.3,slope_a,0.1519,0.243,0.0911
2PL,0.3,intercept_b,0.214,0.1874,-0.0266
2PL,0.15,pearson_r,0.8996,0.7272,-0.1725
2PL,0.15,mae_raw,0.0798,0.0842,0.0044
2PL,0.15,mae_calibrated_trainfit,0.0121,0.0057,-0.0064
2PL,0.15,avg_cat_items,275.5,384.0,108.5
2PL,0.15,pct_items,86.6352,100.0,13.3648
2PL,0.15,slope_a,0.1694,0.2442,0.0748
2PL,0.15,intercept_b,0.2075,0.1863,-0.0212
1PL,0.3,pearson_r,0.8903,0.4571,-0.4331
1PL,0.3,mae_raw,0.1011,0.0648,-0.0363
1PL,0.3,mae_calibrated_trainfit,0.0104,0.0097,-0.0007
1PL,0.3,avg_cat_items,43.8333,42.6667,-1.1667
1PL,0.3,pct_items,13.7841,11.1111,-2.673
1PL,0.3,slope_a,0.1714,0.2388,0.0674
1PL,0.3,intercept_b,0.208,0.191,-0.017
1PL,0.15,pearson_r,0.9407,0.7238,-0.2169
1PL,0.15,mae_raw,0.0973,0.0743,-0.023
1PL,0.15,mae_calibrated_trainfit,0.0095,0.006,-0.0035
1PL,0.15,avg_cat_items,318.0,274.5833,-43.4167
1PL,0.15,pct_items,100.0,71.5061,-28.4939
1PL,0.15,slope_a,0.1877,0.2686,0.0808
1PL,0.15,intercept_b,0.2005,0.1787,-0.0218
-,-,n_models,52,78,26
-,-,n_items_kept_2pl,318,384,66
-,-,n_items_kept_1pl,318,384,66
