N,model,se_target,pooled_r_mean,pooled_r_sd,mae,mean_items,n_seeds,K
10,1PL,0.15,0.7843,0.0037,0.127,256.0,2,10
20,1PL,0.15,0.8809,0.0129,0.1098,283.44,2,10
30,1PL,0.15,0.8885,0.0027,0.1052,291.74,2,10
40,1PL,0.15,0.8815,0.0118,0.1074,286.5,2,10
50,1PL,0.15,0.8938,0.0075,0.0982,288.26,2,10
60,1PL,0.15,0.9165,0.0006,0.0901,293.88,2,10
70,1PL,0.15,0.9216,0.0023,0.0846,297.85,2,10
10,1PL,0.3,0.6135,0.0062,0.1195,43.72,2,10
20,1PL,0.3,0.7443,0.0146,0.104,43.49,2,10
30,1PL,0.3,0.7855,0.0001,0.1049,43.42,2,10
40,1PL,0.3,0.7565,0.023,0.1021,43.34,2,10
50,1PL,0.3,0.798,0.0197,0.0984,43.35,2,10
60,1PL,0.3,0.7992,0.0504,0.0864,43.32,2,10
70,1PL,0.3,0.7674,0.0187,0.0819,43.53,2,10
10,2PL,0.15,0.4616,0.0085,0.1204,17.38,2,10
20,2PL,0.15,0.8096,0.011,0.1142,96.58,2,10
30,2PL,0.15,0.8326,0.0164,0.1082,199.57,2,10
40,2PL,0.15,0.8429,0.0118,0.112,226.4,2,10
50,2PL,0.15,0.8686,0.018,0.1048,280.94,2,10
60,2PL,0.15,0.9099,0.0041,0.0976,292.67,2,10
70,2PL,0.15,0.9276,0.0028,0.0914,311.74,2,10
10,2PL,0.3,0.3579,0.0205,0.1209,8.0,2,10
20,2PL,0.3,0.649,0.0606,0.1015,8.28,2,10
30,2PL,0.3,0.6846,0.0141,0.101,10.09,2,10
40,2PL,0.3,0.7105,0.0512,0.1028,10.34,2,10
50,2PL,0.3,0.7619,0.006,0.1011,13.37,2,10
60,2PL,0.3,0.8209,0.0096,0.0929,13.68,2,10
70,2PL,0.3,0.837,0.0116,0.0827,16.19,2,10
