model,se,calibration_method,r,mae_raw,mae_calibrated,slope_a,intercept_b,pct_mae_reduction,n_train,n_test
2PL,0.3,train_fit,0.7163,0.063,0.0151,0.1519,0.214,76.1,40,12
2PL,0.3,loo_test,0.7163,0.063,0.0162,nan,nan,74.3,11,12
2PL,0.3,insample_naive,0.7163,0.063,0.0132,0.2579,0.1879,79.1,12,12
2PL,0.15,train_fit,0.8996,0.0798,0.0121,0.1694,0.2075,84.8,40,12
2PL,0.15,loo_test,0.8996,0.0798,0.0092,nan,nan,88.5,11,12
2PL,0.15,insample_naive,0.8996,0.0798,0.0079,0.3011,0.1695,90.1,12,12
1PL,0.3,train_fit,0.8903,0.1011,0.0104,0.1714,0.208,89.7,40,12
1PL,0.3,loo_test,0.8903,0.1011,0.0113,nan,nan,88.9,11,12
1PL,0.3,insample_naive,0.8903,0.1011,0.0095,0.2421,0.185,90.6,12,12
1PL,0.15,train_fit,0.9407,0.0973,0.0095,0.1877,0.2005,90.3,40,12
1PL,0.15,loo_test,0.9407,0.0973,0.0084,nan,nan,91.3,11,12
1PL,0.15,insample_naive,0.9407,0.0973,0.007,0.3129,0.1594,92.8,12,12
