bank,reference_label,reference_N,r,mae
1PL,N=12,12,0.4203,0.0969
2PL,N=12,12,0.9039,0.105
3PL,N=12,12,0.3895,0.1793
1PL,N=20,20,0.4913,0.102
2PL,N=20,20,0.9034,0.1026
3PL,N=20,20,0.4832,0.1748
1PL,N=43,43,0.7361,0.0916
2PL,N=43,43,0.9193,0.1065
3PL,N=43,43,0.5284,0.1703
1PL,N=100,100,0.8845,0.0872
2PL,N=100,100,0.9443,0.1049
3PL,N=100,100,0.6692,0.167
1PL,1PL_SE0.3_budget(~43i),43,0.7361,0.0916
2PL,1PL_SE0.3_budget(~43i),43,0.9193,0.1065
3PL,1PL_SE0.3_budget(~43i),43,0.5284,0.1703
1PL,1PL_SE0.15_budget(~288i),288,0.923,0.0982
2PL,1PL_SE0.15_budget(~288i),288,0.9486,0.1059
3PL,1PL_SE0.15_budget(~288i),288,0.8396,0.1563
