benchmark,model_type,se_stop,r,mae,mean_items,kept_items,frac_reached_se
pedagogy,1PL,0.3,0.8903,0.1011,43.83,318,1.0
pedagogy,2PL,0.3,0.7163,0.063,10.25,318,1.0
pedagogy,3PL,0.3,0.793,0.206,113.83,318,0.67
pedagogy,1PL,0.15,0.9407,0.0973,318.0,318,0.0
pedagogy,2PL,0.15,0.8996,0.0798,275.5,318,0.17
pedagogy,3PL,0.15,0.5377,0.1929,270.0,318,0.17
piqa,1PL,0.3,0.9158,0.0424,43.08,831,1.0
piqa,2PL,0.3,0.9373,0.0401,10.58,831,1.0
piqa,3PL,0.3,0.7902,0.1046,15.83,831,1.0
piqa,1PL,0.15,0.97,0.0421,194.25,831,1.0
piqa,2PL,0.15,0.9536,0.0382,194.08,831,0.83
piqa,3PL,0.15,0.9716,0.0659,38.5,831,1.0
socialiqa,1PL,0.3,0.7601,0.0689,42.83,969,1.0
socialiqa,2PL,0.3,0.2713,0.0929,8.0,969,1.0
socialiqa,3PL,0.3,0.2919,0.0893,13.83,969,1.0
socialiqa,1PL,0.15,0.9061,0.0725,182.58,969,1.0
socialiqa,2PL,0.15,0.4296,0.0796,14.33,969,1.0
socialiqa,3PL,0.15,0.6989,0.0735,425.58,969,0.67
