bank,reference_N,ref_note,r,mae,n_eval_models
1PL,20,headline,0.8811,0.0704,13
1PL,43,headline; 1PL_SE0.30,0.9723,0.0505,13
1PL,64,1PL_SE0.25,0.968,0.0638,13
1PL,71,headline,0.9721,0.065,13
1PL,100,headline; 1PL_SE0.20,0.9776,0.0623,13
1PL,182,1PL_SE0.15,0.9871,0.0594,13
1PL,304,1PL_SE0.12,0.9848,0.0679,13
2PL,20,headline,0.8944,0.0792,13
2PL,43,headline; 1PL_SE0.30,0.9555,0.073,13
2PL,64,1PL_SE0.25,0.9636,0.0714,13
2PL,71,headline,0.9662,0.0722,13
2PL,100,headline; 1PL_SE0.20,0.9689,0.0706,13
2PL,182,1PL_SE0.15,0.9766,0.0708,13
2PL,304,1PL_SE0.12,0.9803,0.0701,13
3PL,20,headline,0.9234,0.1414,13
3PL,43,headline; 1PL_SE0.30,0.9345,0.1397,13
3PL,64,1PL_SE0.25,0.9428,0.1382,13
3PL,71,headline,0.9428,0.1393,13
3PL,100,headline; 1PL_SE0.20,0.9466,0.1352,13
3PL,182,1PL_SE0.15,0.9368,0.1323,13
3PL,304,1PL_SE0.12,0.9352,0.1245,13
ATLAS_3PL,20,headline,0.9263,0.03,60
ATLAS_3PL,43,headline; 1PL_SE0.30,0.9382,0.0288,60
ATLAS_3PL,64,1PL_SE0.25,0.947,0.0274,60
ATLAS_3PL,71,headline,0.9484,0.0268,60
ATLAS_3PL,100,headline; 1PL_SE0.20,0.9536,0.0259,60
ATLAS_3PL,182,1PL_SE0.15,0.962,0.0236,60
ATLAS_3PL,304,1PL_SE0.12,0.9747,0.0189,60
