model_type,n_pool,n_kept_items,n_bank_items,n_dropped_a_le0,a_min,a_max,a_pinned_lo,a_pinned_hi,c_min,c_max,c_pinned_hi,fit_seconds
1PL,50,759,759,0,1.0,1.0,0,0,0.0,0.0,0,0.1
1PL,45,742,742,0,1.0,1.0,0,0,0.0,0.0,0,0.1
1PL,30,705,705,0,1.0,1.0,0,0,0.0,0.0,0,0.1
1PL,15,662,662,0,1.0,1.0,0,0,0.0,0.0,0,1.2
2PL,50,759,759,0,0.2,5.0,0,0,0.0,0.0,0,238.6
2PL,45,742,742,0,0.2,5.0,0,0,0.0,0.0,0,178.6
2PL,30,705,705,0,0.2,5.0,0,0,0.0,0.0,0,185.7
2PL,15,662,662,0,0.2,5.0,0,0,0.0,0.0,0,106.7
3PL,50,759,759,0,0.01,6.0,106,151,0.0,0.5,131,5.6
3PL,45,742,742,0,0.01,6.0,137,171,0.0,0.5,127,4.9
3PL,30,705,705,0,0.01,6.0,124,237,0.0,0.5,144,4.4
3PL,15,662,662,0,0.01,6.0,109,228,0.0,0.5,126,3.6
