n_train,n_items_kept,corr_full,mae_bank
5,444,0.5546688744647865,0.10359202297611655
10,589,0.4540862114225808,0.09649045862591926
15,628,0.9190800976463115,0.04741479045400562
20,657,0.7638647700059412,0.07491175400340869
25,668,0.9380488266272011,0.044460626366838035
30,678,0.8564769992558687,0.05703739365615
35,716,0.9045854330589213,0.04341698202168462
40,733,0.8295596798647387,0.05211066477190713
45,752,0.9260342455427852,0.03357064252819312
50,759,0.8981108407478864,0.04188195370413595
60,782,0.8461842393347132,0.045629884128849336
