model,n_obs_items,theta_full_correctness,theta_full_scaffolding,theta_cat_correctness,theta_cat_scaffolding,cat_n_items,n_cross_correctness,n_cross_scaffolding,n_cross_overall,converged_overall,final_se_correctness,final_se_scaffolding,obs_acc,pred_acc_cat,pred_acc_full
01-ai/Yi-6B,3420,-1.1544053947400095,-1.2226876199175208e-12,-0.47087173983753083,-0.559566042382126,20,20,12,20,True,0.2978464715900033,0.25599601473599276,0.08771929824561403,0.11159268026078684,0.08591324053857204
01-ai/Yi-6B-Chat,3393,-6.622331858878226e-30,-1.1544053787284716,-0.2535668910708247,-0.6213102052069239,14,14,11,14,True,0.2943547796722008,0.2873604526253623,0.12673150604185088,0.12370266043448762,0.13799104183741132
EleutherAI/pythia-1.4b,3459,-2.36675941073444,1.15440539473946,-2.1086205969539313,0.9812476666050549,37,37,11,37,True,0.2986491551381848,0.1908952630713868,0.07256432494940734,0.07260863930720399,0.06994766134874712
EleutherAI/pythia-160m,3458,-3.750439717725761,1.1544054002040607,-2.1937945112611152,1.4016669800512556,36,36,10,36,True,0.2956403579316913,0.1845072791012891,0.045112781954887216,0.07667757785534758,0.05632017662952864
EleutherAI/pythia-1b,3454,-2.366759411405015,1.15440539473997,-1.9202393704646492,1.0111112284048083,33,33,10,33,True,0.2982310957718594,0.1889834940292264,0.06803705848291836,0.07573529815217415,0.0687429932832986
EleutherAI/pythia-2.8b,3459,-2.3667594306951276,1.1544053161186982,-1.7981234784214901,0.9788108024179041,35,35,11,35,True,0.2933869405803574,0.1885789493700463,0.063891298063024,0.07996743529352933,0.07065214988611938
EleutherAI/pythia-410m,3463,-3.7504397167384558,1.1544053947399522,-2.040676118793125,1.1121430611348166,38,38,11,38,True,0.2962071368595552,0.1844965361432036,0.06006352873231302,0.07576421223956212,0.05602123112015874
EleutherAI/pythia-6.9b,3453,-2.366759410734575,5.314806725908683e-05,-1.5284037474718413,0.5565445504743589,37,37,11,37,True,0.298319890524156,0.19254483673453882,0.06284390385172314,0.08146276225179952,0.05708083543375612
EleutherAI/pythia-70m,3467,-3.7504397177257744,1.1544052805224732,-1.972603551693317,0.8665508955296394,37,37,10,37,True,0.2945604891171108,0.18700544153034176,0.03490049033746755,0.07383551207296613,0.05521223278677107
HuggingFaceH4/zephyr-7b-beta,3417,1.1544053947399682,7.078885124624972e-26,1.0418642620049974,-0.2604077226734606,31,4,31,31,True,0.07365883225850421,0.2969864762183418,0.25870646766169153,0.2391865329080285,0.2555225859171461
HuggingFaceTB/SmolLM2-1.7B,3428,-1.1544053947400328,-1.2007595622557117e-11,-1.0198503395827503,0.13525587511449275,29,29,14,29,True,0.291873644805689,0.22824894819923744,0.10268378063010501,0.09299751433066435,0.0866631611817615
HuggingFaceTB/SmolLM2-1.7B-Instruct,3396,2.6289657950204655e-74,-1.1544053947397057,0.47773994420783195,-0.9458535668757314,16,4,16,16,True,0.17755738260437018,0.29077245897046927,0.160188457008245,0.17612454943629716,0.13865117579190436
HuggingFaceTB/SmolLM2-135M,3352,-3.7504397177247086,2.1313226711269095e-07,-1.6357712955905355,0.16011871110284975,29,29,11,29,True,0.2993353559494867,0.2210611766242615,0.043257756563245826,0.07487685574733953,0.04312210630234136
HuggingFaceTB/SmolLM2-360M,3447,-3.7504395645137563,7.303973428815364e-06,-1.8125757269637495,0.2334561068971357,29,29,12,29,True,0.2996904588813437,0.22195962879524755,0.04670728169422687,0.06998441280499935,0.04258010944157817
HuggingFaceTB/SmolLM2-360M-Instruct,3434,-1.1544053947402229,-1.1542879519567835,-0.9777498184414024,-0.41915807972987273,20,20,14,20,True,0.29111746089835283,0.28261079268844136,0.06610366919044845,0.08887407498666258,0.07853268959101964
LLM360/Amber,3447,-3.7504397177257127,1.153992220042904,-2.073797592533976,0.8529819321296593,35,35,11,35,True,0.2999490711651567,0.1961223027072137,0.03858427618218741,0.06985167933770688,0.05338591689926156
