criterion_id,a_correctness,a_scaffolding,b,n_persons,a_se_approx
tb_0001_c01,0.278796,0.0,1.862591,114,0.148723
tb_0001_c02,0.372288,0.0,2.06257,33,0.34286
tb_0001_c03,0.414291,0.0,1.766069,114,0.155749
tb_0001_c04,2.704098,0.0,3.995368,115,0.843818
tb_0001_c05,0.195154,-0.225139,2.975856,115,0.295915
tb_0001_c06,0.442846,0.0,1.855839,113,0.163352
tb_0001_c07,-0.389655,0.0,4.166166,33,0.650047
tb_0001_c08,0.623341,0.0,0.725444,33,0.273564
tb_0001_c09,0.262485,0.0,4.590646,115,0.500534
tb_0001_c10,1.04698,0.0,-0.242426,112,0.183539
tb_0002_c03,0.214453,0.0,2.943537,115,0.224796
tb_0002_c04,0.90193,0.0,2.701222,115,0.29293
tb_0002_c06,1.372348,0.0,6.154075,115,0.988458
tb_0002_c07,0.630828,0.0,1.348377,113,0.162389
tb_0002_c08,1.336969,0.0,3.294871,115,0.425378
tb_0002_c10,0.534678,0.0,1.705953,114,0.166022
tb_0002_c11,0.572413,0.0,1.573435,115,0.163749
tb_0002_c13,0.938252,0.0,4.536944,115,0.574936
tb_0002_c16,0.440092,0.0,2.194116,115,0.184354
tb_0002_c18,0.294146,0.0,2.176847,115,0.168486
tb_0002_c19,0.613507,0.0,4.800604,115,0.625679
tb_0002_c21,0.938252,0.0,4.536944,115,0.574936
tb_0003_c01,0.946974,0.0,1.782865,112,0.237494
tb_0003_c02,0.403903,0.0,1.617717,115,0.146897
tb_0003_c03,0.640288,0.0,3.679786,113,0.379931
tb_0003_c04,0.815836,0.0,2.337424,115,0.247797
tb_0003_c05,2.076574,0.0,5.650033,111,0.874166
tb_0003_c06,1.137168,0.0,4.424365,115,0.556943
tb_0003_c07,0.643849,0.0,4.061751,113,0.45182
tb_0003_c08,1.959011,0.0,4.265673,113,0.615341
tb_0003_c09,0.644577,0.0,3.687243,115,0.378517
tb_0003_c10,0.687813,0.0,2.222075,115,0.218957
tb_0004_c01,0.540543,0.0,1.005786,115,0.137222
tb_0004_c02,0.385415,0.0,1.617316,115,0.145095
tb_0004_c03,0.335932,0.0,1.62039,115,0.14077
tb_0004_c04,0.295041,0.0,2.294989,115,0.176719
tb_0004_c05,0.439653,0.0,1.784075,114,0.159719
tb_0005_c01,1.053722,0.0,0.745924,114,0.206732
tb_0005_c02,1.212005,0.0,4.560724,115,0.586135
tb_0005_c03,1.210379,0.0,3.921277,115,0.482141
tb_0005_c04,1.264901,0.0,3.555196,115,0.442515
tb_0005_c05,1.350505,0.0,4.384398,114,0.571952
tb_0005_c06,1.137168,0.0,4.424365,115,0.556943
tb_0006_c02,6.073495,0.0,19.695755,115,4.422169
tb_0006_c03,4.351163,0.0,12.372256,115,3.873966
tb_0006_c04,0.613507,0.0,4.800604,115,0.625679
tb_0006_c05,1.617502,0.0,5.886871,115,0.856948
tb_0006_c06,1.924967,-0.071404,3.625497,113,0.561383
tb_0006_c09,0.0,-0.697058,2.511137,115,0.382853
tb_0007_c01,1.617502,0.0,5.886871,115,0.856948
tb_0007_c02,1.756772,0.0,2.538323,115,0.462936
