id,params_b,family,key
AI-Sweden-Models/gpt-sw3-356m,0.36,GPT-SW3,ai-sweden-models/gpt-sw3-356m
OpenBMB/MiniCPM4-0.5B,0.5,MiniCPM4,openbmb/minicpm4-0.5b
naver-hyperclovax/HyperCLOVAX-SEED-Text-Instruct-0.5B,0.5,HyperCLOVAX,naver-hyperclovax/hyperclovax-seed-text-instruct-0.5b
ai-forever/rugpt3large_based_on_gpt2,0.76,ruGPT3,ai-forever/rugpt3large_based_on_gpt2
sberbank-ai/rugpt3large_based_on_gpt2,0.76,ruGPT3,sberbank-ai/rugpt3large_based_on_gpt2
MBZUAI/LaMini-GPT-774M,0.77,LaMini,mbzuai/lamini-gpt-774m
PlanTL-GOB-ES/gpt2-large-bne,0.77,GPT2-ES,plantl-gob-es/gpt2-large-bne
TurkuNLP/gpt3-finnish-large,0.77,GPT3-FI,turkunlp/gpt3-finnish-large
benjamin/gerpt2-large,0.77,GerPT2,benjamin/gerpt2-large
sdadas/polish-gpt2-large,0.77,Polish-GPT2,sdadas/polish-gpt2-large
cyberagent/open-calm-large,0.8,OpenCALM,cyberagent/open-calm-large
Iker/Llama-3-Instruct-Neurona-1b,1.0,Neurona,iker/llama-3-instruct-neurona-1b
Iker/Llama-3.2-1B-Instruct-Spanish,1.0,Llama3.2-ES,iker/llama-3.2-1b-instruct-spanish
RikoteMaster/Llama-3.2-1B-Spanish,1.0,Llama3.2-ES,rikotemaster/llama-3.2-1b-spanish
Vikhrmodels/Vikhr-Llama3.2-1B-Instruct-R-21-09-24,1.0,Vikhr,vikhrmodels/vikhr-llama3.2-1b-instruct-r-21-09-24
allenai/OLMo-1B-0724-hf,1.0,OLMo,allenai/olmo-1b-0724-hf
allenai/OLMo-2-0425-1B,1.0,OLMo2,allenai/olmo-2-0425-1b
allenai/OLMo-2-0425-1B-DPO,1.0,OLMo2,allenai/olmo-2-0425-1b-dpo
allenai/OLMo-2-0425-1B-Instruct,1.0,OLMo2,allenai/olmo-2-0425-1b-instruct
bigcode/starcoderbase-1b,1.0,StarCoder,bigcode/starcoderbase-1b
cyberagent/open-calm-1b,1.0,OpenCALM,cyberagent/open-calm-1b
facebook/MobileLLM-1B,1.0,MobileLLM,facebook/mobilellm-1b
openbmb/MiniCPM-1B-sft-bf16,1.0,MiniCPM,openbmb/minicpm-1b-sft-bf16
openbmb/MiniCPM-S-1B-sft,1.0,MiniCPM,openbmb/minicpm-s-1b-sft
rinna/japanese-gpt-1b,1.0,rinna-GPT,rinna/japanese-gpt-1b
sapienzanlp/Minerva-1B-base-v1.0,1.0,Minerva,sapienzanlp/minerva-1b-base-v1.0
unsloth/Llama-3.2-1B,1.0,Llama3.2-unsloth,unsloth/llama-3.2-1b
bigcode/santacoder,1.1,SantaCoder,bigcode/santacoder
heegyu/kogpt-trinity-1.2B,1.2,KoGPT-Trinity,heegyu/kogpt-trinity-1.2b
AI-Sweden-Models/gpt-sw3-1.3b,1.3,GPT-SW3,ai-sweden-models/gpt-sw3-1.3b
AI-Sweden-Models/gpt-sw3-1.3b-instruct,1.3,GPT-SW3,ai-sweden-models/gpt-sw3-1.3b-instruct
EleutherAI/polyglot-ko-1.3b,1.3,Polyglot-KO,eleutherai/polyglot-ko-1.3b
ai-forever/mGPT,1.3,mGPT,ai-forever/mgpt
ai-forever/mGPT-1.3B,1.3,mGPT,ai-forever/mgpt-1.3b
cedille/fr-boris,1.3,Boris,cedille/fr-boris
croissantllm/CroissantLLMBase,1.3,CroissantLLM,croissantllm/croissantllmbase
croissantllm/CroissantLLMChat-v0.1,1.3,CroissantLLM,croissantllm/croissantllmchat-v0.1
deepseek-ai/deepseek-coder-1.3b-base,1.3,DeepSeek-Coder,deepseek-ai/deepseek-coder-1.3b-base
deepseek-ai/deepseek-coder-1.3b-instruct,1.3,DeepSeek-Coder,deepseek-ai/deepseek-coder-1.3b-instruct
projecte-aina/FLOR-1.3B,1.3,FLOR,projecte-aina/flor-1.3b
projecte-aina/FLOR-1.3B-Instructed,1.3,FLOR,projecte-aina/flor-1.3b-instructed
