id,params_b,family,key
Qwen/Qwen2.5-7B,7.0,,qwen/qwen2.5-7b
Qwen/Qwen2.5-7B-Instruct,7.0,,qwen/qwen2.5-7b-instruct
Qwen/Qwen2.5-Math-7B,7.0,,qwen/qwen2.5-math-7b
Qwen/Qwen3-0.6B,0.6,,qwen/qwen3-0.6b
Qwen/Qwen3-1.7B,1.7,,qwen/qwen3-1.7b
Qwen/Qwen3-4B,4.0,,qwen/qwen3-4b
Qwen/Qwen2-7B,7.0,,qwen/qwen2-7b
google/gemma-3-1b-it,1.0,,google/gemma-3-1b-it
google/gemma-3-4b-it,4.0,,google/gemma-3-4b-it
mistralai/Mistral-7B-v0.1,7.0,,mistralai/mistral-7b-v0.1
mistralai/Mistral-7B-Instruct-v0.3,7.0,,mistralai/mistral-7b-instruct-v0.3
allenai/OLMo-2-1124-7B,7.0,,allenai/olmo-2-1124-7b
allenai/OLMo-2-0425-1B,1.0,,allenai/olmo-2-0425-1b
HuggingFaceTB/SmolLM2-135M,0.135,,huggingfacetb/smollm2-135m
EleutherAI/pythia-70m,0.07,,eleutherai/pythia-70m
tiiuae/Falcon3-7B-Base,7.0,,tiiuae/falcon3-7b-base
mosaicml/mpt-7b-instruct,7.0,,mosaicml/mpt-7b-instruct
facebook/opt-2.7b,2.7,,facebook/opt-2.7b
facebook/opt-6.7b,6.7,,facebook/opt-6.7b
bigscience/bloom-7b1,7.1,,bigscience/bloom-7b1
bigscience/bloomz-1b7,1.7,,bigscience/bloomz-1b7
bigscience/bloomz-3b,3.0,,bigscience/bloomz-3b
bigscience/bloomz-7b1,7.1,,bigscience/bloomz-7b1
h2oai/h2o-danube2-1.8b-base,1.8,,h2oai/h2o-danube2-1.8b-base
internlm/internlm2-1_8b,1.8,,internlm/internlm2-1_8b
internlm/internlm2-7b,7.0,,internlm/internlm2-7b
internlm/internlm2_5-7b,7.0,,internlm/internlm2_5-7b
openbmb/MiniCPM-2B-sft-bf16,2.4,,openbmb/minicpm-2b-sft-bf16
cerebras/Cerebras-GPT-1.3B,1.3,,cerebras/cerebras-gpt-1.3b
cerebras/Cerebras-GPT-2.7B,2.7,,cerebras/cerebras-gpt-2.7b
cerebras/Cerebras-GPT-6.7B,6.7,,cerebras/cerebras-gpt-6.7b
deepseek-ai/deepseek-coder-6.7b-base,6.7,,deepseek-ai/deepseek-coder-6.7b-base
HuggingFaceH4/zephyr-7b-beta,7.0,,huggingfaceh4/zephyr-7b-beta
apple/OpenELM-1_1B,1.1,,apple/openelm-1_1b
apple/OpenELM-3B,3.0,,apple/openelm-3b
LLM360/Amber,7.0,,llm360/amber
state-spaces/mamba-2.8b-hf,2.8,,state-spaces/mamba-2.8b-hf
openai-community/gpt2,0.124,,openai-community/gpt2
Qwen/Qwen2.5-Coder-7B,7.0,,qwen/qwen2.5-coder-7b
