,org,n,n_clean,median_params,mean_openlm_avg,reputable
1,JayHyeon,174,174,0.63,7.61,0
2,Gille,49,0,7.0,,0
3,allknowingroger,47,2,7.0,20.71,0
4,DreadPoor,44,0,7.0,28.08,0
5,Kukedlc,37,15,7.0,,0
6,bunnycore,34,15,3.4,21.05,0
7,Sakalti,34,32,2.52,12.49,0
8,nbeerbower,29,25,7.0,15.5,0
9,ontocord,28,14,3.76,4.51,0
10,Weyaxi,27,17,7.0,4.64,0
11,godlikehhd,26,26,1.54,16.37,0
12,MaziyarPanahi,26,12,7.0,25.59,0
13,yam-peleg,23,0,7.0,,0
14,Locutusque,22,17,7.0,4.04,0
15,Qwen,22,18,1.69,12.24,1
16,Nexesenex,21,18,1.5,11.65,0
17,EpistemeAI,20,11,3.21,17.72,0
18,Yuma42,20,19,7.0,,0
19,google,20,16,2.61,8.63,1
20,mlabonne,20,17,7.0,15.55,1
21,uukuguy,19,4,7.0,13.95,0
22,CorticalStack,18,8,7.0,,0
23,prithivMLmods,18,9,2.2,11.94,0
24,CultriX,17,15,7.0,,0
25,netcat420,17,13,2.78,12.48,0
26,automerger,17,7,7.0,,0
27,Test157t,17,0,7.0,,0
28,wang7776,16,10,7.0,,0
29,FelixChao,16,12,7.0,,0
30,ChaoticNeutrals,16,0,7.0,,0
31,tinycompany,15,11,2.94,14.59,0
32,liminerity,15,3,7.0,,0
33,ibm-granite,15,15,2.63,12.64,1
34,NeuralNovel,15,2,7.0,,0
35,Youlln,14,4,0.56,9.81,0
36,sumink,14,14,3.09,6.66,0
37,DUAL-GPO,14,12,2.7,,0
38,flammenai,14,0,7.0,,0
39,cognitivecomputations,13,1,7.0,10.53,1
40,0-hero,13,13,7.0,,0
41,Nitral-AI,13,0,7.0,,0
42,pankajmathur,13,13,3.21,12.67,1
43,ResplendentAI,12,0,7.0,,0
44,maldv,12,11,7.0,,0
45,eren23,12,4,7.0,,0
46,grimjim,12,5,7.0,,0
47,Azazelle,12,5,7.0,,0
48,OpenBuddy,11,0,7.0,11.62,1
49,BarraHome,11,1,7.0,,0
50,Changgil,11,0,7.0,,0
51,Novaciano,11,7,1.5,13.3,0
52,mahiatlinux,10,4,7.0,,0
53,SanjiWatsuki,10,0,7.0,,0
54,bamec66557,10,8,6.12,24.71,0
55,microsoft,10,10,3.82,17.72,1
56,jsfs11,10,2,7.0,,0
57,paulml,9,9,7.0,,0
58,ymcki,9,0,2.61,15.22,0
59,togethercomputer,9,9,7.0,6.02,1
60,oopere,9,9,1.08,5.88,0
61,macadeliccc,9,8,7.0,6.57,0
62,EmbeddedLLM,9,0,7.0,,0
63,EleutherAI,9,9,1.52,5.77,1
64,flemmingmiguel,9,8,7.0,,0
65,jpacifico,9,0,6.71,16.24,0
66,juhwanlee,9,0,7.0,,0
67,meditsolutions,9,9,2.21,14.77,0
68,Josephgflowers,9,5,1.1,5.92,0
69,JCX-kcuf,9,4,7.0,,0
70,fblgit,9,8,7.0,19.45,0
71,JunchengXie,9,2,7.0,,0
72,Triangle104,9,3,3.21,16.76,0
73,BarryFutureman,8,3,7.0,,0
74,sethuiyer,8,7,7.0,,0
75,nvidia,8,6,2.89,14.65,1
76,vicgalle,8,8,7.0,,0
77,PJMixers-Dev,8,3,3.21,23.73,0
78,NousResearch,8,8,7.0,10.9,1
79,bardsai,8,8,7.0,,0
80,Inv,8,8,7.0,,0
81,HuggingFaceTB,8,8,1.04,7.67,1
82,icefog72,8,0,7.0,,0
83,iFaz,8,8,1.85,20.02,0
84,jeiku,8,0,7.0,,0
85,jondurbin,8,8,7.0,,1
86,SkyOrbis,8,0,2.16,15.1,0
87,jaspionjader,8,0,4.01,23.76,0
88,Korabbit,8,0,7.0,,0
89,lesubra,8,3,3.82,24.18,0
90,DeepMount00,8,0,1.54,18.58,0
91,perlthoughts,8,7,7.0,,0
92,mayacinka,8,3,7.0,,0
93,stabilityai,7,5,2.8,8.67,1
94,robinsmits,7,0,7.0,,0
95,Daemontatox,7,7,1.78,13.56,0
96,Ppoyaa,7,6,7.0,,0
97,azarafrooz,7,3,7.0,,0
98,SC56,7,7,7.0,,0
99,YeungNLP,7,0,7.0,,0
100,allenai,7,7,6.92,10.47,1
