"X","a1","d","g","u"
"X1",0,0,0,1
"X2",1.0,-3.6611581873099777,0.0,1
"X3",0,0,0,1
"X4",0,0,0,1
"X5",0,0,0,1
"X6",0,0,0,1
"X7",1.0,-0.9043806155569224,0.0,1
"X8",0,0,0,1
"X9",1.0,-3.3431441748572746,0.0,1
"X10",1.0,8.29894493036975e-06,0.0,1
"X11",0,0,0,1
"X12",0,0,0,1
"X13",0,0,0,1
"X14",1.0,-0.6993002955764988,0.0,1
"X15",0,0,0,1
"X16",0,0,0,1
"X17",0,0,0,1
"X18",0,0,0,1
"X19",0,0,0,1
"X20",0,0,0,1
"X21",1.0,-3.3431441748572746,0.0,1
"X22",0,0,0,1
"X23",1.0,-3.09026295835069,0.0,1
"X24",1.0,-2.533113746612221,0.0,1
"X25",0,0,0,1
"X26",1.0,-1.705936876318468,0.0,1
"X27",1.0,-2.129311739126499,0.0,1
"X28",1.0,-3.6611581873099777,0.0,1
"X29",0,0,0,1
"X30",0,0,0,1
"X31",1.0,4.823432817144997,0.0,1
"X32",0,0,0,1
"X33",1.0,-0.5674731624921363,0.0,1
"X34",0,0,0,1
"X35",1.0,-2.386784806485429,0.0,1
"X36",1.0,-3.6611581873099777,0.0,1
"X37",1.0,-0.3749037795887351,0.0,1
"X38",1.0,-0.8348673594633678,0.0,1
"X39",1.0,-4.097664300425352,0.0,1
"X40",0,0,0,1
"X41",0,0,0,1
"X42",1.0,-3.09026295835069,0.0,1
"X43",0,0,0,1
"X44",1.0,-2.386784806485429,0.0,1
"X45",0,0,0,1
"X46",0,0,0,1
"X47",0,0,0,1
"X48",0,0,0,1
"X49",1.0,4.823432817144997,0.0,1
"X50",0,0,0,1
"X51",0,0,0,1
"X52",1.0,1.0475118046956131,0.0,1
"X53",1.0,-3.3431441748572746,0.0,1
"X54",0,0,0,1
"X55",1.0,-3.3431441748572746,0.0,1
"X56",1.0,-2.386784806485429,0.0,1
"X57",0,0,0,1
"X58",0,0,0,1
"X59",0,0,0,1
"X60",1.0,0.1242155454010714,0.0,1
"X61",0,0,0,1
"X62",0,0,0,1
"X63",0,0,0,1
"X64",1.0,4.097946616206407,0.0,1
"X65",0,0,0,1
"X66",0,0,0,1
"X67",0,0,0,1
"X68",0,0,0,1
"X69",0,0,0,1
"X70",0,0,0,1
"X71",0,0,0,1
"X72",0,0,0,1
"X73",0,0,0,1
"X74",0,0,0,1
"X75",1.0,-3.09026295835069,0.0,1
"X76",1.0,3.343292564126404,0.0,1
"X77",0,0,0,1
"X78",0,0,0,1
"X79",0,0,0,1
"X80",0,0,0,1
"X81",1.0,-3.6611581873099777,0.0,1
"X82",0,0,0,1
"X83",0,0,0,1
"X84",0,0,0,1
"X85",0,0,0,1
"X86",0,0,0,1
"X87",1.0,-2.129311739126499,0.0,1
"X88",1.0,-3.6611581873099777,0.0,1
"X89",0,0,0,1
"X90",1.0,-4.097664300425352,0.0,1
"X91",0,0,0,1
"X92",1.0,-1.2751015699768815,0.0,1
"X93",0,0,0,1
"X94",0,0,0,1
"X95",0,0,0,1
"X96",1.0,-0.1864424038267554,0.0,1
"X97",1.0,-1.705936876318468,0.0,1
"X98",1.0,-4.822885361732279,0.0,1
"X99",1.0,2.533195145054669,0.0,1
"X100",0,0,0,1
"X101",1.0,-0.3117416214186919,0.0,1
"X102",1.0,2.014063539505137,0.0,1
"X103",1.0,-0.0620510936195255,0.0,1
"X104",1.0,1.7059872409890338,0.0,1
"X105",0,0,0,1
"X106",0,0,0,1
"X107",0,0,0,1
"X108",1.0,-1.2751015699768815,0.0,1
"X109",0,0,0,1
"X110",0,0,0,1
"X111",0,0,0,1
"X112",0,0,0,1
"X113",0,0,0,1
"X114",0,0,0,1
"X115",0,0,0,1
"X116",0,0,0,1
"X117",0,0,0,1
"X118",0,0,0,1
"X119",1.0,1.121483247524807,0.0,1
"X120",1.0,-0.3749037795887351,0.0,1
"X121",0,0,0,1
"X122",0,0,0,1
"X123",1.0,-0.438514051900237,0.0,1
"X124",0,0,0,1
"X125",1.0,-1.9056621071661968,0.0,1
"X126",0,0,0,1
"X127",0,0,0,1
"X128",0,0,0,1
"X129",0,0,0,1
"X130",0,0,0,1
"X131",0,0,0,1
"X132",0,0,0,1
"X133",0,0,0,1
"X134",1.0,-4.822885361732279,0.0,1
"X135",1.0,1.6130382004201371,0.0,1
"X136",1.0,-1.2751015699768815,0.0,1
"X137",1.0,-2.878580263701729,0.0,1
"X138",0,0,0,1
"X139",0,0,0,1
"X140",0,0,0,1
"X141",0,0,0,1
"X142",1.0,-3.6611581873099777,0.0,1
"X143",0,0,0,1
"X144",0,0,0,1
"X145",0,0,0,1
"X146",0,0,0,1
"X147",0,0,0,1
"X148",1.0,3.661351092347876,0.0,1
"X149",0,0,0,1
"X150",0,0,0,1
"X151",1.0,3.343292564126404,0.0,1
"X152",0,0,0,1
"X153",1.0,-4.822885361732279,0.0,1
"X154",0,0,0,1
"X155",0,0,0,1
"X156",1.0,-4.822885361732279,0.0,1
"X157",0,0,0,1
"X158",1.0,-2.878580263701729,0.0,1
"X159",0,0,0,1
"X160",0,0,0,1
"X161",1.0,-1.12144358506162,0.0,1
"X162",0,0,0,1
"X163",1.0,-4.822885361732279,0.0,1
"X164",0,0,0,1
"X165",0,0,0,1
"X166",0,0,0,1
"X167",0,0,0,1
"X168",1.0,0.1242155454010714,0.0,1
"X169",0,0,0,1
"X170",1.0,1.121483247524807,0.0,1
"X171",1.0,-1.2751015699768815,0.0,1
"X172",0,0,0,1
"X173",0,0,0,1
"X174",1.0,-0.3749037795887351,0.0,1
"X175",1.0,3.661351092347876,0.0,1
"X176",1.0,-4.097664300425352,0.0,1
"X177",1.0,1.355339352261043,0.0,1
"X178",1.0,-4.097664300425352,0.0,1
"X179",0,0,0,1
"X180",0,0,0,1
"X181",0,0,0,1
"X182",0,0,0,1
"X183",0,0,0,1
"X184",0,0,0,1
"X185",0,0,0,1
"X186",0,0,0,1
"X187",0,0,0,1
"X188",0,0,0,1
"X189",0,0,0,1
"X190",1.0,0.7665963397712879,0.0,1
"X191",1.0,-0.0620510936195255,0.0,1
"X192",0,0,0,1
"X193",1.0,-0.6993002955764988,0.0,1
"X194",1.0,-1.4381239910015204,0.0,1
"X195",0,0,0,1
"X196",0,0,0,1
"X197",1.0,0.7665963397712879,0.0,1
"X198",0,0,0,1
"X199",1.0,-3.6611581873099777,0.0,1
"X200",0,0,0,1
"X201",0,0,0,1
"X202",0,0,0,1
"X203",0,0,0,1
"X204",0,0,0,1
"X205",1.0,-3.3431441748572746,0.0,1
"X206",1.0,-4.097664300425352,0.0,1
"X207",1.0,1.2751434360598737,0.0,1
"X208",1.0,-4.097664300425352,0.0,1
"X209",0,0,0,1
"X210",1.0,0.6330063436479828,0.0,1
"X211",0,0,0,1
"X212",0,0,0,1
"X213",1.0,0.5027327569714706,0.0,1
"X214",1.0,-1.3552961800101198,0.0,1
"X215",1.0,8.29894493036975e-06,0.0,1
"X216",0,0,0,1
"X217",1.0,1.197275159347542,0.0,1
"X218",1.0,-0.6993002955764988,0.0,1
"X219",0,0,0,1
"X220",1.0,-1.12144358506162,0.0,1
"X221",0,0,0,1
"X222",0,0,0,1
"X223",0,0,0,1
"X224",1.0,-2.695430740933287,0.0,1
"X225",0,0,0,1
"X226",0,0,0,1
"X227",0,0,0,1
"X228",1.0,-0.1864424038267554,0.0,1
"X229",1.0,-4.097664300425352,0.0,1
"X230",1.0,1.4381686382884122,0.0,1
"X231",1.0,1.7059872409890338,0.0,1
"X232",0,0,0,1
"X233",0,0,0,1
"X234",1.0,-1.12144358506162,0.0,1
"X235",1.0,-2.695430740933287,0.0,1
"X236",0,0,0,1
"X237",0,0,0,1
"X238",0,0,0,1
"X239",1.0,-2.695430740933287,0.0,1
"X240",0,0,0,1
"X241",1.0,-4.822885361732279,0.0,1
"X242",0,0,0,1
"X243",1.0,-4.822885361732279,0.0,1
"X244",1.0,0.6993356893334908,0.0,1
"X245",1.0,-2.129311739126499,0.0,1
"X246",0,0,0,1
"X247",0,0,0,1
"X248",1.0,8.29894493036975e-06,0.0,1
"X249",0,0,0,1
"X250",0,0,0,1
"X251",0,0,0,1
"X252",0,0,0,1
"X253",0,0,0,1
"X254",0,0,0,1
"X255",0,0,0,1
"X256",0,0,0,1
"X257",1.0,1.6130382004201371,0.0,1
"X258",1.0,-3.6611581873099777,0.0,1
"X259",0,0,0,1
"X260",0,0,0,1
"X261",1.0,-4.822885361732279,0.0,1
"X262",1.0,1.197275159347542,0.0,1
"X263",1.0,0.6330063436479828,0.0,1
"X264",0,0,0,1
"X265",0,0,0,1
"X266",1.0,3.661351092347876,0.0,1
"X267",0,0,0,1
"X268",1.0,-4.822885361732279,0.0,1
"X269",0,0,0,1
"X270",0,0,0,1
"X271",0,0,0,1
"X272",0,0,0,1
"X273",0,0,0,1
"X274",0,0,0,1
"X275",1.0,-4.097664300425352,0.0,1
"X276",0,0,0,1
"X277",1.0,1.6130382004201371,0.0,1
"X278",0,0,0,1
"X279",1.0,2.533195145054669,0.0,1
"X280",1.0,-2.695430740933287,0.0,1
"X281",0,0,0,1
"X282",0,0,0,1
"X283",1.0,-1.6129899942528971,0.0,1
"X284",1.0,-0.9751988264163218,0.0,1
"X285",0,0,0,1
"X286",1.0,1.8033135919734264,0.0,1
"X287",0,0,0,1
"X288",1.0,-4.097664300425352,0.0,1
"X289",0,0,0,1
"X290",1.0,-4.097664300425352,0.0,1
"X291",0,0,0,1
"X292",1.0,-2.878580263701729,0.0,1
"X293",1.0,-1.8032607262031888,0.0,1
"X294",0,0,0,1
"X295",0,0,0,1
"X296",0,0,0,1
"X297",1.0,1.8033135919734264,0.0,1
"X298",0,0,0,1
"X299",0,0,0,1
"X300",1.0,1.0475118046956131,0.0,1
"X301",0,0,0,1
"X302",1.0,-0.6993002955764988,0.0,1
"X303",0,0,0,1
"X304",0,0,0,1
"X305",1.0,-3.09026295835069,0.0,1
"X306",0,0,0,1
"X307",0,0,0,1
"X308",0,0,0,1
"X309",0,0,0,1
"X310",1.0,1.121483247524807,0.0,1
"X311",0,0,0,1
"X312",0,0,0,1
"X313",1.0,-1.6129899942528971,0.0,1
"X314",1.0,-4.097664300425352,0.0,1
"X315",1.0,0.3117749943138496,0.0,1
"X316",0,0,0,1
"X317",1.0,-0.1864424038267554,0.0,1
"X318",0,0,0,1
"X319",1.0,-3.3431441748572746,0.0,1
"X320",1.0,-1.4381239910015204,0.0,1
"X321",0,0,0,1
"X322",1.0,-4.822885361732279,0.0,1
"X323",0,0,0,1
"X324",0,0,0,1
"X325",0,0,0,1
"X326",0,0,0,1
"X327",0,0,0,1
"X328",0,0,0,1
"X329",1.0,0.7665963397712879,0.0,1
"X330",1.0,0.1864754769126719,0.0,1
"X331",0,0,0,1
"X332",1.0,-1.705936876318468,0.0,1
"X333",0,0,0,1
"X334",1.0,-4.097664300425352,0.0,1
"X335",1.0,2.6955217695848543,0.0,1
"X336",0,0,0,1
"X337",0,0,0,1
"X338",0,0,0,1
"X339",1.0,-2.129311739126499,0.0,1
"X340",0,0,0,1
"X341",0,0,0,1
"X342",0,0,0,1
"X343",0,0,0,1
"X344",1.0,-0.3749037795887351,0.0,1
"X345",1.0,0.4385479048207877,0.0,1
"X346",1.0,-4.097664300425352,0.0,1
"X347",1.0,-2.252970841642405,0.0,1
"X348",0,0,0,1
"X349",1.0,-1.1972344577078573,0.0,1
"X350",0,0,0,1
"X351",1.0,-2.695430740933287,0.0,1
"X352",0,0,0,1
"X353",0,0,0,1
"X354",1.0,2.386858915727037,0.0,1
"X355",1.0,1.2751434360598737,0.0,1
"X356",0,0,0,1
"X357",1.0,-0.1864424038267554,0.0,1
"X358",1.0,-4.822885361732279,0.0,1
"X359",0,0,0,1
