"X","a1","d","g","u"
"X1",1.9012752747489636,5.494997725111473,0.0,1
"X2",0,0,0,1
"X3",0.3856733487434678,-2.2999991539338667,0.0,1
"X4",0,0,0,1
"X5",0,0,0,1
"X6",1.428027967514382,3.595712823329699,0.0,1
"X7",0,0,0,1
"X8",0,0,0,1
"X9",0,0,0,1
"X10",0.4293931153689134,1.7673592604311807,0.0,1
"X11",0.3548335973858658,0.3196096224726946,0.0,1
"X12",0,0,0,1
"X13",0.9983182605524694,3.2093628058452652,0.0,1
"X14",0.3900112127998846,1.612942786949028,0.0,1
"X15",0.5085727971312064,0.764747536791177,0.0,1
"X16",4.999996511820598,9.408851569543684,0.0,1
"X17",0,0,0,1
"X18",0,0,0,1
"X19",0,0,0,1
"X20",0.4648579075983489,-1.260111397928925,0.0,1
"X21",0,0,0,1
"X22",2.45647389719716,1.1908641468607468,0.0,1
"X23",0.8869609552846962,1.0494601423419518,0.0,1
"X24",0.3189136623718595,-1.344720603741261,0.0,1
"X25",1.0513390270579508,2.420331935979033,0.0,1
"X26",1.140819362309304,0.29270330617316737,0.0,1
"X27",4.999995340010297,8.371370523734072,0.0,1
"X28",0,0,0,1
"X29",0.2000034181083939,-0.393338935000298,0.0,1
"X30",2.3694160279885152,4.679269862898189,0.0,1
"X31",4.999995340006505,8.371370523728462,0.0,1
"X32",0,0,0,1
"X33",0.3856661368569175,2.297600341041304,0.0,1
"X34",0,0,0,1
"X35",0,0,0,1
"X36",0,0,0,1
"X37",0.2647212313302974,-0.39619951903365935,0.0,1
"X38",0,0,0,1
"X39",0.7337686641133023,2.2333975949775193,0.0,1
"X40",0,0,0,1
"X41",0.4347745144268177,2.563888807499332,0.0,1
"X42",0.7307380973913968,-0.904337636033974,0.0,1
"X43",0,0,0,1
"X44",0,0,0,1
"X45",0,0,0,1
"X46",0.859488508605805,3.1064459938734044,0.0,1
"X47",0.699905930470214,-4.164843857675991,0.0,1
"X48",0,0,0,1
"X49",1.901271940171722,5.49499284248638,0.0,1
"X50",0.3629084474432891,1.0283645091268516,0.0,1
"X51",4.999994267499139,11.018420124731799,0.0,1
"X52",0,0,0,1
"X53",0,0,0,1
"X54",0,0,0,1
"X55",0,0,0,1
"X56",0,0,0,1
"X57",4.99999426749914,11.0184201247318,0.0,1
"X58",0,0,0,1
"X59",0,0,0,1
"X60",0.5396074416917185,2.145838726685331,0.0,1
"X61",0,0,0,1
