"X","a1","d","g","u"
"X1",1.0,-2.014004369083428,0.0,1
"X2",1.0,-2.386784806485429,0.0,1
"X3",1.0,-1.1972344577078573,0.0,1
"X4",1.0,-2.612027193144668,0.0,1
"X5",0,0,0,1
"X6",0,0,0,1
"X7",0,0,0,1
"X8",0,0,0,1
"X9",1.0,1.7059872409890338,0.0,1
"X10",1.0,-3.6611581873099777,0.0,1
"X11",1.0,2.386858915727037,0.0,1
"X12",0,0,0,1
"X13",0,0,0,1
"X14",0,0,0,1
"X15",1.0,-0.7665604222032528,0.0,1
"X16",0,0,0,1
"X17",0,0,0,1
"X18",0,0,0,1
"X19",0,0,0,1
"X20",0,0,0,1
"X21",1.0,-2.612027193144668,0.0,1
"X22",1.0,-1.567984071948909,0.0,1
"X23",1.0,-2.386784806485429,0.0,1
"X24",0,0,0,1
"X25",0,0,0,1
"X26",1.0,-4.401228651787639,0.0,1
"X27",1.0,-0.3749037795887351,0.0,1
"X28",1.0,0.3749373704712672,0.0,1
"X29",1.0,-0.2803047887645446,0.0,1
"X30",0,0,0,1
"X31",0,0,0,1
"X32",1.0,3.661351092347876,0.0,1
"X33",0,0,0,1
"X34",1.0,-1.853778655310748,0.0,1
"X35",1.0,-4.401228651787639,0.0,1
"X36",1.0,0.9752367415778332,0.0,1
"X37",0,0,0,1
"X38",0,0,0,1
"X39",1.0,-2.612027193144668,0.0,1
"X40",0,0,0,1
"X41",1.0,-2.878580263701729,0.0,1
"X42",0,0,0,1
"X43",0,0,0,1
"X44",0,0,0,1
"X45",0,0,0,1
"X46",1.0,4.4015990424704325,0.0,1
"X47",1.0,-2.19000433121748,0.0,1
"X48",0,0,0,1
"X49",1.0,1.4381686382884122,0.0,1
"X50",0,0,0,1
"X51",1.0,1.568031296841871,0.0,1
"X52",1.0,-2.878580263701729,0.0,1
"X53",0,0,0,1
"X54",0,0,0,1
"X55",0,0,0,1
"X56",1.0,-0.0930875496494222,0.0,1
"X57",0,0,0,1
"X58",1.0,-0.8694784671736216,0.0,1
"X59",1.0,2.87868404016227,0.0,1
"X60",1.0,4.4015990424704325,0.0,1
"X61",1.0,-2.612027193144668,0.0,1
"X62",1.0,3.661351092347876,0.0,1
"X63",0,0,0,1
"X64",1.0,-4.401228651787639,0.0,1
"X65",1.0,0.8695152969231421,0.0,1
"X66",0,0,0,1
"X67",1.0,-1.0842561876104593,0.0,1
"X68",0,0,0,1
"X69",0,0,0,1
"X70",0,0,0,1
"X71",1.0,-3.6611581873099777,0.0,1
"X72",1.0,-0.8694784671736216,0.0,1
"X73",1.0,-1.1972344577078573,0.0,1
"X74",1.0,2.87868404016227,0.0,1
"X75",0,0,0,1
"X76",1.0,-2.612027193144668,0.0,1
"X77",1.0,-0.6660264090460909,0.0,1
"X78",0,0,0,1
"X79",1.0,-1.567984071948909,0.0,1
"X80",0,0,0,1
"X81",1.0,-1.1972344577078573,0.0,1
"X82",0,0,0,1
"X83",0,0,0,1
"X84",1.0,-1.0842561876104593,0.0,1
"X85",1.0,-4.401228651787639,0.0,1
"X86",1.0,-1.853778655310748,0.0,1
"X87",0,0,0,1
"X88",0,0,0,1
"X89",1.0,-1.1972344577078573,0.0,1
"X90",1.0,-2.19000433121748,0.0,1
"X91",1.0,-2.612027193144668,0.0,1
"X92",0,0,0,1
"X93",0,0,0,1
"X94",1.0,3.661351092347876,0.0,1
"X95",1.0,-0.1864424038267554,0.0,1
"X96",0,0,0,1
"X97",0,0,0,1
"X98",1.0,2.87868404016227,0.0,1
"X99",1.0,-2.612027193144668,0.0,1
"X100",0,0,0,1
"X101",1.0,-0.4705172612945916,0.0,1
"X102",0,0,0,1
"X103",1.0,-0.4705172612945916,0.0,1
"X104",0,0,0,1
"X105",1.0,-2.19000433121748,0.0,1
"X106",0,0,0,1
"X107",0,0,0,1
"X108",1.0,0.4705512619695792,0.0,1
"X109",1.0,-1.3148911452098575,0.0,1
"X110",0,0,0,1
"X111",1.0,-2.612027193144668,0.0,1
"X112",1.0,0.4705512619695792,0.0,1
"X113",1.0,-0.0930875496494222,0.0,1
"X114",1.0,-2.878580263701729,0.0,1
"X115",0,0,0,1
"X116",0,0,0,1
"X117",0,0,0,1
"X118",0,0,0,1
"X119",0,0,0,1
"X120",0,0,0,1
"X121",1.0,3.661351092347876,0.0,1
"X122",0,0,0,1
"X123",1.0,-0.9751988264163218,0.0,1
"X124",0,0,0,1
"X125",0,0,0,1
"X126",1.0,-1.853778655310748,0.0,1
"X127",0,0,0,1
"X128",1.0,0.9752367415778332,0.0,1
"X129",1.0,1.568031296841871,0.0,1
"X130",1.0,-0.7665604222032528,0.0,1
"X131",0,0,0,1
"X132",0,0,0,1
"X133",1.0,1.197275159347542,0.0,1
"X134",1.0,1.0842953729288067,0.0,1
"X135",1.0,-2.612027193144668,0.0,1
"X136",1.0,-1.567984071948909,0.0,1
"X137",0,0,0,1
"X138",0,0,0,1
"X139",0,0,0,1
"X140",0,0,0,1
"X141",0,0,0,1
"X142",1.0,0.6660615635419912,0.0,1
"X143",1.0,0.3749373704712672,0.0,1
"X144",1.0,0.1864754769126719,0.0,1
"X145",1.0,-1.705936876318468,0.0,1
"X146",1.0,0.8695152969231421,0.0,1
"X147",1.0,-2.386784806485429,0.0,1
"X148",1.0,-3.2104265866156645,0.0,1
"X149",1.0,1.197275159347542,0.0,1
"X150",1.0,0.3749373704712672,0.0,1
"X151",0,0,0,1
"X152",0,0,0,1
"X153",1.0,2.612113063872473,0.0,1
"X154",1.0,-3.2104265866156645,0.0,1
"X155",1.0,0.9752367415778332,0.0,1
"X156",0,0,0,1
"X157",1.0,3.210560121050188,0.0,1
"X158",0,0,0,1
"X159",1.0,2.1900698102670955,0.0,1
"X160",0,0,0,1
"X161",0,0,0,1
"X162",1.0,2.1900698102670955,0.0,1
"X163",0,0,0,1
"X164",1.0,-3.6611581873099777,0.0,1
"X165",1.0,4.4015990424704325,0.0,1
"X166",1.0,1.197275159347542,0.0,1
"X167",0,0,0,1
"X168",1.0,-2.014004369083428,0.0,1
"X169",0,0,0,1
"X170",1.0,-1.567984071948909,0.0,1
"X171",0,0,0,1
"X172",0,0,0,1
"X173",1.0,-2.386784806485429,0.0,1
"X174",1.0,-3.6611581873099777,0.0,1
"X175",0,0,0,1
"X176",1.0,-2.878580263701729,0.0,1
"X177",1.0,-0.2803047887645446,0.0,1
"X178",0,0,0,1
"X179",1.0,-1.3148911452098575,0.0,1
"X180",0,0,0,1
"X181",1.0,0.9752367415778332,0.0,1
"X182",0,0,0,1
"X183",1.0,-1.0842561876104593,0.0,1
"X184",1.0,1.4381686382884122,0.0,1
"X185",0,0,0,1
"X186",1.0,2.1900698102670955,0.0,1
"X187",0,0,0,1
"X188",0,0,0,1
"X189",0,0,0,1
"X190",0,0,0,1
"X191",1.0,-3.6611581873099777,0.0,1
"X192",1.0,1.197275159347542,0.0,1
"X193",1.0,-1.853778655310748,0.0,1
"X194",1.0,-2.19000433121748,0.0,1
"X195",1.0,-1.0842561876104593,0.0,1
"X196",0,0,0,1
"X197",1.0,3.661351092347876,0.0,1
"X198",1.0,-1.853778655310748,0.0,1
"X199",0,0,0,1
"X200",0,0,0,1
"X201",1.0,0.5675076766286823,0.0,1
"X202",1.0,1.31493364571413,0.0,1
"X203",0,0,0,1
"X204",0,0,0,1
"X205",1.0,-0.1864424038267554,0.0,1
"X206",0,0,0,1
"X207",0,0,0,1
"X208",1.0,-1.1972344577078573,0.0,1
"X209",0,0,0,1
"X210",0,0,0,1
"X211",0,0,0,1
"X212",0,0,0,1
"X213",1.0,8.29894493036975e-06,0.0,1
"X214",1.0,-2.19000433121748,0.0,1
"X215",1.0,3.661351092347876,0.0,1
"X216",1.0,-0.5674731624921363,0.0,1
"X217",1.0,2.87868404016227,0.0,1
"X218",0,0,0,1
"X219",0,0,0,1
"X220",0,0,0,1
"X221",1.0,1.7059872409890338,0.0,1
"X222",1.0,-2.386784806485429,0.0,1
"X223",0,0,0,1
"X224",0,0,0,1
"X225",1.0,-2.878580263701729,0.0,1
"X226",0,0,0,1
"X227",1.0,0.7665963397712879,0.0,1
"X228",1.0,2.014063539505137,0.0,1
"X229",1.0,0.0931205062739767,0.0,1
"X230",0,0,0,1
"X231",0,0,0,1
"X232",0,0,0,1
"X233",0,0,0,1
"X234",1.0,1.8538329140681908,0.0,1
"X235",1.0,2.87868404016227,0.0,1
"X236",0,0,0,1
"X237",1.0,0.4705512619695792,0.0,1
"X238",1.0,-1.853778655310748,0.0,1
"X239",0,0,0,1
"X240",0,0,0,1
"X241",1.0,-2.878580263701729,0.0,1
"X242",1.0,2.87868404016227,0.0,1
"X243",1.0,-2.19000433121748,0.0,1
"X244",0,0,0,1
"X245",1.0,-3.6611581873099777,0.0,1
"X246",1.0,-4.401228651787639,0.0,1
"X247",0,0,0,1
"X248",1.0,1.31493364571413,0.0,1
"X249",1.0,-2.386784806485429,0.0,1
"X250",1.0,-1.705936876318468,0.0,1
"X251",0,0,0,1
"X252",1.0,-0.5674731624921363,0.0,1
"X253",0,0,0,1
"X254",1.0,-2.014004369083428,0.0,1
"X255",0,0,0,1
"X256",1.0,-0.1864424038267554,0.0,1
"X257",1.0,-2.878580263701729,0.0,1
"X258",1.0,-2.19000433121748,0.0,1
"X259",1.0,3.661351092347876,0.0,1
"X260",0,0,0,1
"X261",1.0,-2.612027193144668,0.0,1
"X262",1.0,3.661351092347876,0.0,1
"X263",0,0,0,1
"X264",1.0,-4.401228651787639,0.0,1
"X265",1.0,-2.878580263701729,0.0,1
"X266",1.0,-1.3148911452098575,0.0,1
"X267",0,0,0,1
"X268",1.0,-1.0842561876104593,0.0,1
"X269",1.0,3.661351092347876,0.0,1
"X270",1.0,-0.4705172612945916,0.0,1
"X271",1.0,1.197275159347542,0.0,1
"X272",1.0,-0.2803047887645446,0.0,1
"X273",0,0,0,1
"X274",0,0,0,1
"X275",0,0,0,1
"X276",0,0,0,1
"X277",1.0,1.8538329140681908,0.0,1
"X278",1.0,-2.014004369083428,0.0,1
"X279",1.0,-1.0842561876104593,0.0,1
"X280",1.0,-1.705936876318468,0.0,1
"X281",1.0,-1.3148911452098575,0.0,1
"X282",0,0,0,1
"X283",1.0,2.386858915727037,0.0,1
"X284",1.0,-1.4381239910015204,0.0,1
"X285",1.0,-2.014004369083428,0.0,1
"X286",1.0,-3.6611581873099777,0.0,1
"X287",0,0,0,1
"X288",1.0,3.661351092347876,0.0,1
"X289",1.0,-1.3148911452098575,0.0,1
"X290",1.0,-1.853778655310748,0.0,1
"X291",1.0,-4.401228651787639,0.0,1
"X292",0,0,0,1
"X293",0,0,0,1
"X294",1.0,-1.705936876318468,0.0,1
"X295",0,0,0,1
"X296",1.0,2.014063539505137,0.0,1
"X297",0,0,0,1
"X298",1.0,2.386858915727037,0.0,1
"X299",1.0,-3.2104265866156645,0.0,1
"X300",1.0,-1.3148911452098575,0.0,1
"X301",1.0,-1.567984071948909,0.0,1
"X302",1.0,-0.7665604222032528,0.0,1
"X303",1.0,-3.6611581873099777,0.0,1
"X304",1.0,-0.5674731624921363,0.0,1
"X305",1.0,4.4015990424704325,0.0,1
"X306",0,0,0,1
"X307",0,0,0,1
"X308",1.0,-2.878580263701729,0.0,1
"X309",1.0,8.29894493036975e-06,0.0,1
"X310",0,0,0,1
"X311",0,0,0,1
"X312",1.0,-1.705936876318468,0.0,1
"X313",1.0,3.210560121050188,0.0,1
"X314",1.0,-3.2104265866156645,0.0,1
"X315",0,0,0,1
"X316",1.0,-4.401228651787639,0.0,1
"X317",0,0,0,1
"X318",0,0,0,1
"X319",1.0,-0.5674731624921363,0.0,1
"X320",1.0,4.4015990424704325,0.0,1
"X321",0,0,0,1
"X322",0,0,0,1
"X323",0,0,0,1
"X324",0,0,0,1
"X325",1.0,-1.3148911452098575,0.0,1
"X326",0,0,0,1
"X327",0,0,0,1
"X328",1.0,-3.6611581873099777,0.0,1
"X329",0,0,0,1
"X330",0,0,0,1
"X331",0,0,0,1
"X332",0,0,0,1
"X333",1.0,2.386858915727037,0.0,1
"X334",1.0,-0.8694784671736216,0.0,1
"X335",1.0,-2.612027193144668,0.0,1
"X336",0,0,0,1
"X337",0,0,0,1
"X338",1.0,-1.853778655310748,0.0,1
"X339",1.0,-0.1864424038267554,0.0,1
"X340",0,0,0,1
"X341",1.0,2.014063539505137,0.0,1
"X342",0,0,0,1
"X343",1.0,-0.9751988264163218,0.0,1
"X344",1.0,3.661351092347876,0.0,1
"X345",0,0,0,1
"X346",0,0,0,1
"X347",1.0,2.1900698102670955,0.0,1
"X348",1.0,0.0931205062739767,0.0,1
"X349",0,0,0,1
"X350",0,0,0,1
"X351",0,0,0,1
"X352",0,0,0,1
"X353",0,0,0,1
"X354",1.0,0.2803380684312876,0.0,1
"X355",0,0,0,1
"X356",0,0,0,1
"X357",1.0,-0.0930875496494222,0.0,1
"X358",0,0,0,1
"X359",0,0,0,1
"X360",1.0,-0.9751988264163218,0.0,1
"X361",0,0,0,1
"X362",0,0,0,1
"X363",0,0,0,1
"X364",1.0,3.210560121050188,0.0,1
"X365",0,0,0,1
"X366",0,0,0,1
"X367",0,0,0,1
"X368",0,0,0,1
"X369",1.0,3.210560121050188,0.0,1
"X370",0,0,0,1
"X371",0,0,0,1
"X372",0,0,0,1
"X373",0,0,0,1
"X374",1.0,-3.6611581873099777,0.0,1
"X375",1.0,-1.3148911452098575,0.0,1
"X376",1.0,3.210560121050188,0.0,1
"X377",1.0,1.197275159347542,0.0,1
"X378",0,0,0,1
"X379",1.0,-2.878580263701729,0.0,1
"X380",1.0,-2.612027193144668,0.0,1
"X381",1.0,1.8538329140681908,0.0,1
"X382",1.0,0.1864754769126719,0.0,1
"X383",1.0,-4.401228651787639,0.0,1
"X384",0,0,0,1
"X385",0,0,0,1
"X386",0,0,0,1
"X387",0,0,0,1
"X388",1.0,-0.5674731624921363,0.0,1
"X389",1.0,-2.014004369083428,0.0,1
"X390",0,0,0,1
"X391",1.0,2.87868404016227,0.0,1
"X392",0,0,0,1
"X393",1.0,0.9752367415778332,0.0,1
"X394",1.0,2.87868404016227,0.0,1
"X395",1.0,2.386858915727037,0.0,1
"X396",0,0,0,1
"X397",1.0,2.1900698102670955,0.0,1
"X398",1.0,-0.6660264090460909,0.0,1
"X399",0,0,0,1
"X400",1.0,2.612113063872473,0.0,1
"X401",1.0,2.612113063872473,0.0,1
"X402",0,0,0,1
"X403",1.0,1.8538329140681908,0.0,1
"X404",0,0,0,1
"X405",1.0,-2.014004369083428,0.0,1
"X406",0,0,0,1
"X407",1.0,-3.6611581873099777,0.0,1
"X408",1.0,-0.1864424038267554,0.0,1
"X409",0,0,0,1
"X410",0,0,0,1
"X411",1.0,0.6660615635419912,0.0,1
"X412",1.0,1.197275159347542,0.0,1
"X413",1.0,-1.853778655310748,0.0,1
"X414",1.0,-0.6660264090460909,0.0,1
"X415",0,0,0,1
"X416",0,0,0,1
"X417",0,0,0,1
"X418",1.0,4.4015990424704325,0.0,1
"X419",1.0,0.2803380684312876,0.0,1
"X420",0,0,0,1
"X421",1.0,0.6660615635419912,0.0,1
"X422",0,0,0,1
"X423",1.0,0.5675076766286823,0.0,1
"X424",1.0,-1.567984071948909,0.0,1
"X425",0,0,0,1
"X426",1.0,3.661351092347876,0.0,1
"X427",1.0,1.0842953729288067,0.0,1
"X428",0,0,0,1
"X429",1.0,-3.6611581873099777,0.0,1
"X430",1.0,1.7059872409890338,0.0,1
"X431",1.0,-2.612027193144668,0.0,1
"X432",0,0,0,1
"X433",1.0,-2.19000433121748,0.0,1
"X434",1.0,2.87868404016227,0.0,1
"X435",1.0,-0.8694784671736216,0.0,1
"X436",0,0,0,1
"X437",0,0,0,1
"X438",0,0,0,1
"X439",1.0,-1.1972344577078573,0.0,1
"X440",0,0,0,1
"X441",0,0,0,1
"X442",0,0,0,1
"X443",0,0,0,1
"X444",0,0,0,1
"X445",1.0,-3.6611581873099777,0.0,1
"X446",1.0,-1.567984071948909,0.0,1
"X447",1.0,0.7665963397712879,0.0,1
"X448",1.0,-2.014004369083428,0.0,1
"X449",0,0,0,1
"X450",1.0,-0.5674731624921363,0.0,1
"X451",1.0,2.1900698102670955,0.0,1
"X452",1.0,0.9752367415778332,0.0,1
"X453",0,0,0,1
"X454",0,0,0,1
"X455",1.0,0.6660615635419912,0.0,1
"X456",1.0,0.9752367415778332,0.0,1
"X457",1.0,-1.853778655310748,0.0,1
"X458",0,0,0,1
"X459",0,0,0,1
"X460",0,0,0,1
"X461",1.0,-0.9751988264163218,0.0,1
"X462",0,0,0,1
"X463",1.0,-2.878580263701729,0.0,1
"X464",1.0,-2.878580263701729,0.0,1
"X465",0,0,0,1
"X466",0,0,0,1
"X467",1.0,3.661351092347876,0.0,1
"X468",1.0,-1.567984071948909,0.0,1
"X469",1.0,-2.386784806485429,0.0,1
"X470",1.0,-2.878580263701729,0.0,1
"X471",1.0,-1.705936876318468,0.0,1
"X472",0,0,0,1
"X473",1.0,-3.2104265866156645,0.0,1
"X474",0,0,0,1
