model,fold,criteria_administered,scenarios_administered,theta_ref_general,theta_online_general,theta_batch_general,theta_mwle_general
01-ai/Yi-1.5-6B,3,26,8,-0.006246570017651355,-0.644349,-0.6039160203211844,-0.6512924833014772
01-ai/Yi-1.5-6B-Chat,2,38,11,1.7018251945474123,1.32898,1.4162234479328393,1.4180707059362323
01-ai/Yi-6B,1,32,8,-0.9999170116798157,-1.219534,-1.2978476746619299,-1.2816147837891316
01-ai/Yi-6B-200K,3,41,10,-1.9485182167806867,-1.781111,-2.167425267784428,-2.190960279240797
01-ai/Yi-6B-Chat,3,70,17,0.8925515807335413,0.957231,0.9725295896041002,0.9788457456197573
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,4,63,15,-4.3866116037354494,-2.328705,-3.1593732129295855,-3.3452019599220306
BEE-spoke-data/smol_llama-220M-openhermes,0,32,8,-2.6048406737859064,-1.754894,-1.902496625072824,-1.8872301135990504
BSC-LT/salamandra-2b,0,31,8,-1.4000975225402092,-1.075514,-1.0623025647173534,-1.0762821343857916
BSC-LT/salamandra-2b-instruct,0,35,8,-0.3427308176972408,-0.071549,-0.07034036328638915,-0.07808694661652836
BSC-LT/salamandra-7b,3,29,8,-0.6017134454159441,-0.844759,-0.8364492236152058,-0.875837367404187
BSC-LT/salamandra-7b-instruct,2,53,13,0.6220023908997747,0.53693,0.5652888694603921,0.5638617843344259
HuggingFaceTB/SmolLM2-360M,1,33,8,-2.2011500448266097,-1.323996,-2.249482165521684,-2.049441833323466
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,4,29,8,2.3955586914557223,1.513887,1.8194095047038963,1.7893825570017057
OpenBMB/MiniCPM4-0.5B,4,32,8,0.19998175199178064,-0.080615,-0.09364836780411943,-0.0962272548685156
Qwen/Qwen1.5-1.8B,1,31,8,-1.6499362676975386,-1.283046,-1.2751940733818579,-1.2777808706694835
Qwen/Qwen1.5-1.8B-Chat,3,41,8,0.3999996729314231,0.11877,0.11540510590999767,0.11225524793350136
