floor,target,model,fold,n_scen,n_crit,reason,reach_se_post,plateau,hit_cap,overran_floor,eap_sd,se_param,se_total,theta_ref,theta_cat,weak
6,0.1,01-ai/Yi-1.5-6B,3,12,44,reach,True,False,False,True,0.09857784789091095,0.09759316243452847,0.138715599154442,-0.10501385881784328,-0.030484608613900396,False
6,0.1,01-ai/Yi-1.5-6B-Chat,2,18,50,reach,True,False,False,True,0.09953022549152024,0.09697038468463619,0.1389587035499367,1.6170944407245194,1.451113119965836,False
6,0.1,01-ai/Yi-6B,1,12,38,reach,True,False,False,True,0.09852484968631287,0.054749438055466844,0.11271489241932472,-0.8649532723076396,-1.1853148009714425,False
6,0.1,01-ai/Yi-6B-200K,3,8,27,plateau,False,True,False,True,0.22487157129777327,0.12842947130910504,0.25896206803056265,-1.9919214931867122,-1.5409318506812788,False
6,0.1,01-ai/Yi-6B-Chat,3,18,51,plateau,False,True,False,True,0.10072985278953545,0.05969615258035639,0.11709028087718755,0.7589881962700152,1.2390970426330106,False
6,0.1,BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,4,10,41,plateau,False,True,False,True,0.4076298333764526,0.2631431454122041,0.48518697018360135,-5.347129353898183,-4.327398616270357,True
6,0.1,BEE-spoke-data/smol_llama-220M-openhermes,0,16,56,plateau,False,True,False,True,0.13204162114585788,0.09205285407204812,0.16096185156003906,-2.537376304836234,-2.462258843683729,False
6,0.1,BSC-LT/salamandra-2b,0,11,40,reach,True,False,False,True,0.09721478867614496,0.09968318752637478,0.13923883442763346,-1.510802591582213,-1.2132156137684995,False
6,0.1,BSC-LT/salamandra-2b-instruct,0,12,43,plateau,False,True,False,True,0.13501110310505482,0.0598210616535794,0.14767043502003063,-0.3848422021293781,-0.31056720943577887,False
6,0.1,BSC-LT/salamandra-7b,3,12,49,reach,True,False,False,True,0.09716591624455595,0.055352576131091534,0.11182630711953402,-0.7509010301943769,-0.35981049209400096,False
6,0.1,BSC-LT/salamandra-7b-instruct,2,17,53,plateau,False,True,False,True,0.1296886524911741,0.061723688496400995,0.14362785351935486,0.6133664178359304,0.22879024402562237,False
6,0.1,HuggingFaceTB/SmolLM2-360M,1,13,44,plateau,False,True,False,True,0.19838556067207047,0.17385909095418414,0.26378744130566,-2.0927138206642586,-1.8907187130908962,False
6,0.1,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,4,10,30,plateau,False,True,False,True,0.20304539440047803,0.19240444526379422,0.27972647844727544,2.466776172602346,1.9444823072166086,False
6,0.1,OpenBMB/MiniCPM4-0.5B,4,14,53,plateau,False,True,False,True,0.10843659331110653,0.06435008476250455,0.1260929346865233,0.264600915378981,0.0865014814742325,False
6,0.1,Qwen/Qwen1.5-1.8B,1,15,50,plateau,False,True,False,True,0.11111531700931525,0.07309721981842832,0.13300307221738997,0.0809350876209607,0.11905313185827335,False
6,0.1,Qwen/Qwen1.5-1.8B-Chat,3,21,68,plateau,False,True,False,True,0.11625069781744696,0.048209089671181184,0.12585047107566724,0.38980421498707585,0.6991925146619945,False
6,0.1,Qwen/Qwen2-0.5B,4,10,42,reach,True,False,False,True,0.09607125461901257,0.08474032125368793,0.1281038953750017,-0.42536643383467315,-0.28900322712289483,False
6,0.1,Qwen/Qwen2.5-0.5B-Instruct,4,16,38,plateau,False,True,False,True,0.14819218738171547,0.0681420675655042,0.16310814134517998,0.5477826844709038,0.7419368216344271,False
6,0.1,ai-forever/mGPT,3,8,27,plateau,False,True,False,True,0.446394876105443,0.2188762552133773,0.4971671756154315,-4.654145790110268,-2.0152959996384223,True
6,0.1,allenai/OLMo-1B-hf,3,11,36,plateau,False,True,False,True,0.45686464471973043,0.17338412677334628,0.48865873471354354,-5.618639294811007,-2.642754650320748,True
6,0.1,allenai/OLMo-2-0425-1B,3,10,32,plateau,False,True,False,True,0.17676711112384322,0.09090545494678416,0.19877226495200717,-1.409649262681663,-1.4890221321107837,False
