regime,subset,component,n_models,mean,sd,median,max,judge_var_share_median
full_bank,headline_excl_weak,SE_ability,49,0.0477,0.0097,0.0439,0.084,0.8807
full_bank,headline_excl_weak,SE_param,49,0.0259,0.0083,0.023,0.0619,0.8807
full_bank,headline_excl_weak,SE_judge,49,0.1573,0.0528,0.1355,0.2551,0.8807
full_bank,headline_excl_weak,SE_total,49,0.1667,0.0533,0.1455,0.2757,0.8807
full_bank,all_52,SE_ability,52,0.0633,0.0658,0.0439,0.3841,0.8799
full_bank,all_52,SE_param,52,0.0403,0.0604,0.0232,0.3213,0.8799
full_bank,all_52,SE_judge,52,0.1638,0.0577,0.1456,0.2717,0.8799
full_bank,all_52,SE_total,52,0.1861,0.0956,0.1533,0.5697,0.8799
oppoint_f10se12,headline_excl_weak,SE_ability,49,0.1181,0.0049,0.1179,0.1398,0.5882
oppoint_f10se12,headline_excl_weak,SE_param,49,0.0697,0.014,0.0697,0.1041,0.5882
oppoint_f10se12,headline_excl_weak,SE_judge,49,0.1677,0.0778,0.163,0.4201,0.5882
oppoint_f10se12,headline_excl_weak,SE_total,49,0.2211,0.0656,0.2087,0.4455,0.5882
oppoint_f10se12,all_52,SE_ability,52,0.1315,0.0574,0.118,0.406,0.5573
oppoint_f10se12,all_52,SE_param,52,0.08,0.0448,0.0707,0.2808,0.5573
oppoint_f10se12,all_52,SE_judge,52,0.1815,0.0984,0.1645,0.5298,0.5573
oppoint_f10se12,all_52,SE_total,52,0.2426,0.113,0.2107,0.7242,0.5573
