model,online_eap_mean,online_scenarios,online_criteria,online_SE_ability,online_reached,online_engine_se,eap_scenarios,eap_criteria,eap_SE_ability,eap_reached,eap_hit_cap,online_SE_param,eap_SE_param,online_SE_total,eap_SE_total
01-ai/Yi-1.5-6B,0.0418,8,32,0.1139,True,0.1071,8,32,0.1139,True,False,0.0726,0.0614,0.1351,0.1294
01-ai/Yi-1.5-6B-Chat,2.7516,18,68,0.1705,False,0.1189,32,107,0.1171,True,False,0.1216,0.0835,0.2094,0.1438
01-ai/Yi-6B,-1.0778,8,28,0.1391,False,0.1169,11,41,0.1032,True,False,0.099,0.0585,0.1707,0.1187
01-ai/Yi-6B-200K,-2.4899,14,61,0.2015,False,0.1174,40,161,0.1201,False,True,0.1154,0.0584,0.2322,0.1335
01-ai/Yi-6B-Chat,1.2776,16,72,0.1188,True,0.1115,16,72,0.1188,True,False,0.0484,0.045,0.1283,0.127
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,-4.3603,50,182,0.3276,False,0.122,40,146,0.3567,False,True,0.1582,0.1975,0.3638,0.4077
BEE-spoke-data/smol_llama-220M-openhermes,-2.6062,35,136,0.1401,False,0.1195,40,151,0.1358,False,True,0.0705,0.0719,0.1569,0.1536
BSC-LT/salamandra-2b,-1.1892,8,31,0.1167,True,0.1068,8,31,0.1167,True,False,0.0721,0.0788,0.1371,0.1408
BSC-LT/salamandra-2b-instruct,-0.0164,8,32,0.106,True,0.1031,8,32,0.106,True,False,0.0633,0.0598,0.1235,0.1217
BSC-LT/salamandra-7b,-0.2784,9,39,0.105,True,0.1153,8,33,0.1173,True,False,0.0711,0.0823,0.1268,0.1433
BSC-LT/salamandra-7b-instruct,0.7859,14,58,0.1247,False,0.1193,16,69,0.1174,True,False,0.0591,0.044,0.138,0.1253
HuggingFaceTB/SmolLM2-360M,-2.6779,8,31,0.4291,False,0.1081,40,158,0.1246,False,True,0.1835,0.0572,0.4667,0.1371
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,2.338,23,70,0.1193,True,0.1196,23,70,0.1193,True,False,0.0689,0.0703,0.1378,0.1385
OpenBMB/MiniCPM4-0.5B,-0.1013,8,35,0.1111,True,0.1053,8,35,0.1111,True,False,0.0699,0.0679,0.1313,0.1302
Qwen/Qwen1.5-1.8B,-2.1262,11,47,0.2165,False,0.1169,26,107,0.1166,True,False,0.1188,0.0746,0.247,0.1384
Qwen/Qwen1.5-1.8B-Chat,0.1989,9,38,0.1169,True,0.1141,8,35,0.1182,True,False,0.0732,0.081,0.138,0.1433
