model,n_admin,theta_general,se_posterior_general,se_param_general,se_total_general,bar_inflation_general
01-ai/Yi-1.5-6B,37,0.011691922160326173,0.10408963184629541,0.0585964254576766,0.11944953969904767,1.1475642442028575
01-ai/Yi-1.5-6B-Chat,68,2.510707396969123,0.1592651781815326,0.09495810999304448,0.18542502429458238,1.1642533943184519
01-ai/Yi-6B,31,-1.088517392964569,0.1301290196476419,0.08760282920475292,0.15686879051976363,1.2054866081718483
01-ai/Yi-6B-200K,30,-2.1247287164941886,0.37720286459186114,0.18733344672029273,0.42116008989030607,1.1165347069832232
01-ai/Yi-6B-Chat,52,1.220580691289304,0.13748354214583058,0.05777873559268792,0.14913117262213865,1.0847201802813116
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,83,-3.7727642817211544,0.34247242323904364,0.19741725357764345,0.3952985361588912,1.15424924558955
BEE-spoke-data/smol_llama-220M-openhermes,134,-2.6738151090173425,0.14571753105297872,0.06955483571962537,0.161466634411447,1.1080796747286528
BSC-LT/salamandra-2b,32,-1.1533652880505252,0.11228276593086184,0.06718357254488827,0.1308474376706666,1.1653385680865394
BSC-LT/salamandra-2b-instruct,33,-0.0005259488441135774,0.10125617116356439,0.06626862931353149,0.12101381503695888,1.195125330598161
BSC-LT/salamandra-7b,37,-0.4280899950865805,0.11722859209991028,0.08703505128368005,0.1460056264589826,1.2454779490531334
BSC-LT/salamandra-7b-instruct,49,0.778783293442587,0.13512245007077942,0.07943422681415646,0.15674142050744955,1.1599953999157486
HuggingFaceTB/SmolLM2-360M,43,-2.81051622329945,0.376516803478611,0.20999702823389155,0.4311190730747328,1.1450194761340144
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,63,2.4611901345492755,0.2351135518596725,0.13767072715813145,0.27245478778013715,1.1588221334972293
OpenBMB/MiniCPM4-0.5B,36,-0.1941221162747449,0.09394672523126253,0.07271153624412306,0.11879795740945533,1.2645247305535998
Qwen/Qwen1.5-1.8B,34,-1.4860800368958411,0.1716205756786121,0.13015726384235893,0.21539390735855937,1.2550587626621184
Qwen/Qwen1.5-1.8B-Chat,36,0.10105545823516299,0.11729561941980099,0.07355539756049267,0.13845092576561896,1.1803588782808943
Qwen/Qwen2-0.5B,38,-0.6307412510589767,0.1396396233132948,0.06081772366543159,0.15230896201774752,1.0907288232654986
Qwen/Qwen2.5-0.5B-Instruct,33,0.0540013706466759,0.11715269357062741,0.06652783711905554,0.1347245587210918,1.1499911322130285
ai-forever/mGPT,56,-3.2018714795526284,0.3813204708365512,0.20331919203595097,0.4321388611652058,1.1332695048266563
allenai/OLMo-1B-hf,73,-3.8707933789824707,0.4061937559322247,0.18931141022435855,0.4481430323004733,1.1032740551906663
allenai/OLMo-2-0425-1B,34,-1.1075432970653072,0.11747451284603556,0.07347792484063004,0.13856141817727852,1.1795019602156587
allenai/OLMo-2-0425-1B-DPO,52,0.8919989830216692,0.1303636136473178,0.05566800026047603,0.14175188893340188,1.0873577754364312
allenai/OLMo-2-0425-1B-Instruct,54,0.8818909341210452,0.12771506266477098,0.0843313924171874,0.15304548663220366,1.1983354464141829
arcee-ai/raspberry-3B,59,0.9927630098002176,0.11957787141821374,0.06225182229204556,0.1348115600072608,1.12739554909594
google/gemma-2-2b,39,-1.3897535868274367,0.13370387269362147,0.0673836778369359,0.1497240315116585,1.1198182109111137
google/gemma-2b,38,-1.3648285351965637,0.1274732478845757,0.08483417540240736,0.15312173667526405,1.2012068352876089
h2oai/h2o-danube-1.8b-chat,56,0.3673818861235645,0.12079327400209845,0.06822001506108558,0.13872629707117817,1.1484604438221302
h2oai/h2o-danube2-1.8b-base,40,-1.1144039785539162,0.11535688901963363,0.06702057871855796,0.13341277980785235,1.1565219983103534
h2oai/h2o-danube2-1.8b-chat,35,-0.02607824962559249,0.10504303844604225,0.06718168657640043,0.12468928958505784,1.187030491783683
ibm-granite/granite-3.0-2b-base,56,0.6119202442707607,0.13272102812911057,0.053557572931069705,0.14311982715862612,1.0783508022511672
ibm-granite/granite-3.1-2b-base,58,1.1089463200113567,0.12243475343922251,0.06455133600215644,0.13840933432896246,1.1304742357950666
ibm-granite/granite-3.1-2b-instruct,61,2.578548035711792,0.2915848833225536,0.15204147113673605,0.3288439647122175,1.1277812517751395
ibm-granite/granite-7b-instruct,51,1.184250801859326,0.13186044769262598,0.07000156266640782,0.14928963943100262,1.1321790729772514
ibm/PowerLM-3b,48,0.23900119375801582,0.11719820742963936,0.06324629212480092,0.13317474720177405,1.1363206837589757
meta-llama/Llama-3.2-1B,33,-2.3081326846798564,0.4708423354959721,0.23250275354841263,0.5251190677388277,1.1152758113513348
meta-llama/Llama-3.2-1B-Instruct,53,0.8929639670166971,0.13907074400800382,0.06607675655674511,0.1539701581346174,1.1071355031059307
meta-llama/Llama-3.2-3B-Instruct,63,2.1991325109395174,0.19861983842157346,0.10564741691786053,0.2249693688394671,1.1326631348977658
microsoft/phi-1_5,34,-0.9940889443596796,0.12315241135528417,0.08494588759370311,0.14960721988494796,1.2148135650656806
nvidia/AceInstruct-1.5B,76,1.6989453717875027,0.14114488864383223,0.0874418914407504,0.1660360321406645,1.1763517172743185
openbmb/MiniCPM-1B-sft-bf16,32,-1.9638517324231526,0.3936635883177013,0.18022721644401213,0.4329582777985951,1.0998179426469625
openbmb/MiniCPM-2B-sft-bf16,32,-0.32235380095969424,0.11701914858231895,0.06787013754033085,0.13527688902644924,1.156023528331234
openlm-research/open_llama_3b,74,-2.601438367993062,0.184385238207027,0.09279023306167215,0.2064169165071059,1.1194872133708544
pankajmathur/orca_mini_3b,34,-0.06989321405063756,0.12044595104913604,0.06646600208967188,0.1375680070289424,1.14215551316309
pankajmathur/orca_mini_v9_5_3B-Instruct,51,1.780636263599112,0.19083666911530692,0.09856658489223827,0.2147882816550846,1.1255084394986252
stabilityai/stablelm-2-1_6b-chat,54,1.2816971847320304,0.13921325418565206,0.07429491954006566,0.15779754500759446,1.1334951253790733
stabilityai/stablelm-2-zephyr-1_6b,56,1.168204650882746,0.12354549434665606,0.07049768745649389,0.14224420237771773,1.1513507888729233
stabilityai/stablelm-zephyr-3b,64,1.3490282459503735,0.14077182857004036,0.07001775813530904,0.1572233893962583,1.1168668546351412
tiiuae/Falcon3-1B-Instruct,55,1.091199385252902,0.15521114298571387,0.07242593180408985,0.17127759487049785,1.1035135208447167
tiiuae/Falcon3-3B-Base,57,0.34238268708410213,0.12053516322197799,0.04384397548934982,0.1282615287592487,1.0641005108446389
tiiuae/Falcon3-3B-Instruct,66,2.2646171050777304,0.19735241782301988,0.10114337468671654,0.22176104045483136,1.123680383048058
utter-project/EuroLLM-1.7B,33,-1.202746979597022,0.10769554342176582,0.07953678033157498,0.13388214779582325,1.2431540205104252
utter-project/EuroLLM-1.7B-Instruct,33,0.1115858065037947,0.12230426634937089,0.07842062812483036,0.1452863671606899,1.1879092324193254
