model,n_admin,theta_general,se_ability_general,se_param_general,se_total_general,bar_inflation_general
01-ai/Yi-1.5-6B,37,0.0116919221603261,0.1040896318462954,0.0585964254576766,0.1194495396990476,1.1475642442028575
01-ai/Yi-1.5-6B-Chat,68,2.510707396969123,0.1592651781815326,0.0949581099930444,0.1854250242945823,1.164253394318452
01-ai/Yi-6B,31,-1.088517392964569,0.1301290196476419,0.0876028292047529,0.1568687905197636,1.2054866081718485
01-ai/Yi-6B-200K,30,-2.1247287164941886,0.3772028645918611,0.1873334467202927,0.421160089890306,1.1165347069832232
01-ai/Yi-6B-Chat,52,1.220580691289304,0.1374835421458305,0.0577787355926879,0.1491311726221386,1.0847201802813116
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,83,-3.7727642817211535,0.3424724232390436,0.1974172535776434,0.3952985361588912,1.15424924558955
BEE-spoke-data/smol_llama-220M-openhermes,134,-2.6738151090173425,0.1457175310529787,0.0695548357196253,0.161466634411447,1.1080796747286528
BSC-LT/salamandra-2b,32,-1.1533652880505252,0.1122827659308618,0.0671835725448882,0.1308474376706666,1.1653385680865394
BSC-LT/salamandra-2b-instruct,33,-0.0005259488441135,0.1012561711635643,0.0662686293135314,0.1210138150369588,1.195125330598161
BSC-LT/salamandra-7b,37,-0.4280899950865805,0.1172285920999102,0.08703505128368,0.1460056264589826,1.2454779490531334
BSC-LT/salamandra-7b-instruct,49,0.778783293442587,0.1351224500707794,0.0794342268141564,0.1567414205074495,1.1599953999157486
HuggingFaceTB/SmolLM2-360M,43,-2.81051622329945,0.376516803478611,0.2099970282338915,0.4311190730747328,1.1450194761340144
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,63,2.4611901345492755,0.2351135518596725,0.1376707271581314,0.2724547877801371,1.1588221334972293
OpenBMB/MiniCPM4-0.5B,36,-0.1941221162747449,0.0939467252312625,0.072711536244123,0.1187979574094553,1.2645247305535998
Qwen/Qwen1.5-1.8B,34,-1.4860800368958411,0.1716205756786121,0.1301572638423589,0.2153939073585593,1.2550587626621184
Qwen/Qwen1.5-1.8B-Chat,36,0.1010554582351629,0.1172956194198009,0.0735553975604926,0.1384509257656189,1.1803588782808945
Qwen/Qwen2-0.5B,38,-0.6307412510589767,0.1396396233132948,0.0608177236654315,0.1523089620177475,1.0907288232654986
Qwen/Qwen2.5-0.5B-Instruct,33,0.0540013706466759,0.1171526935706274,0.0665278371190555,0.1347245587210918,1.1499911322130285
ai-forever/mGPT,56,-3.2018714795526284,0.3813204708365512,0.2033191920359509,0.4321388611652058,1.1332695048266563
allenai/OLMo-1B-hf,73,-3.870793378982471,0.4061937559322247,0.1893114102243585,0.4481430323004733,1.1032740551906663
allenai/OLMo-2-0425-1B,34,-1.1075432970653072,0.1174745128460355,0.07347792484063,0.1385614181772785,1.179501960215659
allenai/OLMo-2-0425-1B-DPO,52,0.8919989830216692,0.1303636136473178,0.055668000260476,0.1417518889334018,1.0873577754364312
allenai/OLMo-2-0425-1B-Instruct,54,0.8818909341210452,0.1277150626647709,0.0843313924171874,0.1530454866322036,1.1983354464141829
arcee-ai/raspberry-3B,59,0.9927630098002176,0.1195778714182137,0.0622518222920455,0.1348115600072608,1.12739554909594
google/gemma-2-2b,39,-1.3897535868274369,0.1337038726936214,0.0673836778369359,0.1497240315116585,1.1198182109111137
google/gemma-2b,38,-1.3648285351965637,0.1274732478845757,0.0848341754024073,0.153121736675264,1.2012068352876089
h2oai/h2o-danube-1.8b-chat,56,0.3673818861235645,0.1207932740020984,0.0682200150610855,0.1387262970711781,1.1484604438221302
h2oai/h2o-danube2-1.8b-base,40,-1.1144039785539162,0.1153568890196336,0.0670205787185579,0.1334127798078523,1.1565219983103534
h2oai/h2o-danube2-1.8b-chat,35,-0.0260782496255924,0.1050430384460422,0.0671816865764004,0.1246892895850578,1.187030491783683
ibm-granite/granite-3.0-2b-base,56,0.6119202442707607,0.1327210281291105,0.0535575729310697,0.1431198271586261,1.0783508022511672
ibm-granite/granite-3.1-2b-base,58,1.1089463200113567,0.1224347534392225,0.0645513360021564,0.1384093343289624,1.1304742357950666
ibm-granite/granite-3.1-2b-instruct,61,2.578548035711792,0.2915848833225536,0.152041471136736,0.3288439647122175,1.1277812517751395
