op_point,min_scenarios,se_target,scenarios_mean_deployed,scenarios_median_deployed,scenarios_max_deployed,criteria_mean_deployed,convergence_rate_deployed,capped_frac_deployed,recovery_r,recovery_r_lo,recovery_r_hi,recovery_slope,theta_mae,pass_r,pass_mae,ability_se_median_deployed,se_param_median_deployed,se_total_median_deployed
f6_se0.10,6,0.1,25.71,24,40,101.7,0.75,0.25,0.9824,0.9761,0.9913,0.9199,0.2537,0.9777,0.0418,0.0992,0.0564,0.1138
f6_se0.11,6,0.11,21.81,20,40,86.3,0.865,0.135,0.9814,0.9745,0.9904,0.9166,0.2629,0.9765,0.0438,0.1087,0.0609,0.1239
f6_se0.12,6,0.12,19.15,16,40,75.9,0.885,0.115,0.9815,0.9745,0.9905,0.9203,0.261,0.9768,0.0432,0.1181,0.0651,0.1339
f6_se0.13,6,0.13,16.83,13,40,66.9,0.923,0.077,0.9799,0.9725,0.9893,0.9119,0.2809,0.9749,0.0452,0.1274,0.0715,0.144
f6_se0.14,6,0.14,15.04,11,40,59.8,0.942,0.058,0.9775,0.968,0.9876,0.9094,0.2971,0.9704,0.0475,0.1367,0.0772,0.1565
f6_se0.15,6,0.15,13.58,10,40,54.4,0.942,0.058,0.9769,0.9675,0.9873,0.9066,0.2996,0.9699,0.0478,0.1443,0.0822,0.1647
f8_se0.10,8,0.1,25.71,24,40,101.7,0.75,0.25,0.9826,0.9764,0.9914,0.9201,0.2528,0.978,0.0416,0.0992,0.0548,0.1126
f8_se0.11,8,0.11,21.81,20,40,86.3,0.865,0.135,0.9819,0.9754,0.9908,0.9172,0.2604,0.9772,0.0433,0.1087,0.0585,0.1227
f8_se0.12,8,0.12,19.27,16,40,76.4,0.885,0.115,0.9823,0.9757,0.9911,0.9209,0.2539,0.978,0.042,0.1175,0.0655,0.133
f8_se0.13,8,0.13,17.08,13,40,67.9,0.923,0.077,0.9809,0.9743,0.9901,0.9128,0.2718,0.9767,0.0433,0.127,0.0695,0.1431
f8_se0.14,8,0.14,15.38,11,40,61.3,0.942,0.058,0.9793,0.9715,0.9889,0.9115,0.2842,0.9739,0.0449,0.1363,0.0742,0.1542
f8_se0.15,8,0.15,14.02,10,40,56.3,0.942,0.058,0.9783,0.9703,0.9883,0.9093,0.2893,0.9725,0.046,0.1441,0.0803,0.1635
f10_se0.10,10,0.1,25.73,24,40,101.8,0.75,0.25,0.9826,0.9765,0.9914,0.9205,0.2516,0.9781,0.0414,0.0992,0.0556,0.1136
f10_se0.11,10,0.11,22.02,20,40,87.2,0.865,0.135,0.9824,0.9763,0.9911,0.9197,0.2542,0.9778,0.0423,0.1085,0.0583,0.1221
f10_se0.12,10,0.12,19.69,16,40,78.3,0.885,0.115,0.983,0.9769,0.9917,0.9204,0.2462,0.9788,0.0412,0.1174,0.0612,0.1318
f10_se0.13,10,0.13,17.62,13,40,70.3,0.923,0.077,0.9816,0.9754,0.9908,0.9119,0.262,0.9775,0.0429,0.1261,0.0651,0.1418
f10_se0.14,10,0.14,16.02,11,40,64.1,0.942,0.058,0.9811,0.9745,0.9904,0.9111,0.2675,0.9766,0.0436,0.1355,0.0687,0.1522
f10_se0.15,10,0.15,14.88,10,40,60.1,0.942,0.058,0.9807,0.9742,0.9901,0.9117,0.2676,0.9766,0.0435,0.1421,0.0746,0.1594
f12_se0.10,12,0.1,25.94,24,40,102.8,0.75,0.25,0.9831,0.9771,0.9917,0.923,0.247,0.9783,0.0407,0.0991,0.0548,0.1123
f12_se0.11,12,0.11,22.48,20,40,89.1,0.865,0.135,0.9829,0.9771,0.9914,0.9222,0.2508,0.9781,0.0418,0.1085,0.0561,0.121
f12_se0.12,12,0.12,20.27,16,40,80.6,0.885,0.115,0.9834,0.9773,0.992,0.9231,0.2451,0.9785,0.041,0.1174,0.0601,0.1313
f12_se0.13,12,0.13,18.31,13,40,73.1,0.923,0.077,0.9822,0.976,0.9914,0.9148,0.2551,0.9773,0.0422,0.1257,0.0639,0.1399
f12_se0.14,12,0.14,16.98,12,40,68.1,0.942,0.058,0.9821,0.9758,0.9919,0.9112,0.2576,0.9775,0.0425,0.1337,0.0666,0.149
f12_se0.15,12,0.15,16.13,12,40,65.2,0.942,0.058,0.9818,0.9754,0.9914,0.9125,0.2594,0.9772,0.0426,0.1353,0.0672,0.1498
f15_se0.10,15,0.1,26.6,24,40,105.4,0.75,0.25,0.9837,0.9781,0.9919,0.9273,0.2365,0.9789,0.0392,0.0991,0.0516,0.1101
f15_se0.11,15,0.11,23.38,20,40,92.7,0.865,0.135,0.9836,0.978,0.9917,0.9281,0.2402,0.9786,0.04,0.1078,0.0538,0.1187
f15_se0.12,15,0.12,21.29,16,40,84.7,0.885,0.115,0.9835,0.9779,0.9919,0.9258,0.2405,0.9782,0.0402,0.1172,0.0584,0.1302
f15_se0.13,15,0.13,19.79,15,40,78.9,0.923,0.077,0.9831,0.9773,0.9919,0.9209,0.2441,0.9783,0.0405,0.1209,0.0596,0.1354
f15_se0.14,15,0.14,19.0,15,40,76.1,0.942,0.058,0.9835,0.9776,0.9924,0.9199,0.2425,0.9785,0.0405,0.1209,0.0608,0.136
f15_se0.15,15,0.15,18.25,15,40,73.6,0.942,0.058,0.9833,0.9775,0.9921,0.921,0.2438,0.9784,0.0406,0.1209,0.0624,0.1356
