model,n_admin,theta_general,se_posterior_general,se_param_general,se_total_general,bar_inflation_general
01-ai/Yi-1.5-6B,32,0.041841510935986814,0.11393384617776373,0.07257627556486647,0.135086035842813,1.1856532573476617
01-ai/Yi-1.5-6B-Chat,107,2.664585285978915,0.11706382134929047,0.08329253381323228,0.14367179423229542,1.2272945866307672
01-ai/Yi-6B,41,-1.102124170075252,0.10324707746142602,0.0658392045766394,0.12245309250325316,1.186019938908224
01-ai/Yi-6B-200K,161,-2.3256662259828724,0.12005933869078811,0.05176101044792152,0.1307419099197316,1.088977428540202
01-ai/Yi-6B-Chat,72,1.2775779182360036,0.1188013951186928,0.043486256350829776,0.12651018130394823,1.064888010595782
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,146,-4.376214209817734,0.35665656968251924,0.17604074235757322,0.39773640978354896,1.1151803824547444
BEE-spoke-data/smol_llama-220M-openhermes,151,-2.609705993713,0.1357885110807268,0.062364303487031876,0.1494249848283187,1.100424355779886
BSC-LT/salamandra-2b,31,-1.1892020168841029,0.11665358996186397,0.07798099959556015,0.14031784045128917,1.2028591704478315
BSC-LT/salamandra-2b-instruct,32,-0.01639775931286422,0.10602120930192903,0.06004804387492554,0.12184524773272212,1.1492535176214518
BSC-LT/salamandra-7b,33,-0.3862935251552273,0.1172957836195208,0.08879213447100733,0.14711337124420368,1.2542085205842004
BSC-LT/salamandra-7b-instruct,69,0.7020664443402731,0.11737824995369038,0.046754857787919,0.12634741900394936,1.0764125300368477
HuggingFaceTB/SmolLM2-360M,158,-2.3165798063133582,0.12455162373273118,0.06180326272300522,0.1390422606895783,1.1163424170843557
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,70,2.338045422553245,0.11934422669337674,0.06905158035986537,0.13788098199256865,1.1553217596928016
OpenBMB/MiniCPM4-0.5B,35,-0.10131676322943761,0.11114242082788452,0.06992324144788396,0.13130840567938387,1.181442735377597
Qwen/Qwen1.5-1.8B,107,-1.834569006571618,0.11663331401357946,0.07897234906118278,0.1408543994841181,1.2076686723290622
Qwen/Qwen1.5-1.8B-Chat,35,0.15297124631233266,0.1182490395043472,0.07695967205779077,0.14108730087057222,1.1931369714456364
Qwen/Qwen2-0.5B,44,-0.5536574153598559,0.11465648285839615,0.05479881032667946,0.12707878923989274,1.1083436895307393
Qwen/Qwen2.5-0.5B-Instruct,33,-0.029122550022880306,0.10924601331918674,0.06499568163627278,0.12711856692670687,1.1635991379868613
ai-forever/mGPT,156,-4.116838056982447,0.32571910001347815,0.17391718099507614,0.3692426274942592,1.133622890026959
allenai/OLMo-1B-hf,149,-4.666929856354385,0.41041644146693396,0.1618292912134356,0.4411693268134404,1.0749309292692752
allenai/OLMo-2-0425-1B,42,-0.9880673220594055,0.10199477782968282,0.059376770488449596,0.1180192169867449,1.157110388375184
allenai/OLMo-2-0425-1B-DPO,68,1.1171684057739566,0.11840201311208665,0.05797736292583125,0.13183478797657427,1.1134505614509387
allenai/OLMo-2-0425-1B-Instruct,63,1.0257199086699769,0.11823896770734844,0.06321142144434218,0.13407511807010886,1.133933428799516
arcee-ai/raspberry-3B,60,1.0264475979469168,0.11878829369909026,0.061601882787561596,0.13381125021056267,1.1264683248126113
google/gemma-2-2b,78,-1.6103774205149561,0.11852888436124037,0.0671108708191417,0.13620927064639843,1.149165213023296
google/gemma-2b,61,-1.3810293485846472,0.11543434585699705,0.07498443799803413,0.13765084142610184,1.1924600118289503
h2oai/h2o-danube-1.8b-chat,59,0.40891738099312236,0.11958726613359479,0.06780148330433983,0.13747056179261033,1.1495418052206121
h2oai/h2o-danube2-1.8b-base,43,-0.9482809163334504,0.10122958577548179,0.05908454252246411,0.11721097304162478,1.1578726924911882
h2oai/h2o-danube2-1.8b-chat,37,-0.0819553053525944,0.11120942616222497,0.07868311820235738,0.13622984092106072,1.224984658425785
ibm-granite/granite-3.0-2b-base,68,0.6605176209380972,0.11988654748069952,0.04609646420827464,0.12844324925564116,1.0713733271559862
ibm-granite/granite-3.1-2b-base,72,0.5341329821243372,0.11728450776593202,0.04635343548477877,0.1261122386730904,1.0752676638655134
ibm-granite/granite-3.1-2b-instruct,96,2.4391538851806516,0.11740793558964066,0.07230760253129744,0.13788768155004022,1.1744323827648202
ibm-granite/granite-7b-instruct,72,1.2983936455438854,0.11901820610715011,0.05831337512534705,0.1325359690931994,1.113577270471372
ibm/PowerLM-3b,54,0.24802836289672764,0.1099313093037545,0.05476949000846883,0.12281933805808232,1.117237107753502
meta-llama/Llama-3.2-1B,116,-1.8599556250926204,0.11752940896246433,0.05011976286739631,0.12776992056407577,1.0871314821712579
meta-llama/Llama-3.2-1B-Instruct,69,0.8662146327439576,0.11876122830877706,0.05945804131484843,0.13281373432897553,1.1183257046117965
meta-llama/Llama-3.2-3B-Instruct,104,2.2835357066062794,0.1158680982180201,0.07817511604136317,0.13977397809585784,1.2063197743425105
microsoft/phi-1_5,34,-1.1256570202202159,0.11349472435254336,0.05982611549217674,0.12829737546319125,1.1304258959620634
nvidia/AceInstruct-1.5B,122,1.7659638340573502,0.11888440907294957,0.07450933346023823,0.1403037543806772,1.180169506453822
openbmb/MiniCPM-1B-sft-bf16,76,-1.572996043494462,0.11588545155401232,0.04746101629245733,0.12522773634219472,1.0806165455879344
openbmb/MiniCPM-2B-sft-bf16,34,-0.20054279746070203,0.1058259620482901,0.06793912086821895,0.125757140504198,1.1883392134608044
openlm-research/open_llama_3b,158,-2.332581935585563,0.11873987633060645,0.05263089360009522,0.12988136583880022,1.0938310688245338
pankajmathur/orca_mini_3b,36,-0.26051544080072514,0.11365912250273358,0.06546037786609907,0.1311619502693669,1.15399404272378
pankajmathur/orca_mini_v9_5_3B-Instruct,109,1.5145553131224756,0.11458653816774259,0.0554300677960545,0.12728930491263876,1.1108574091513321
stabilityai/stablelm-2-1_6b-chat,73,1.2724414101134558,0.11840486520632322,0.06110276145312076,0.13324135830035866,1.1253030698373965
stabilityai/stablelm-2-zephyr-1_6b,67,1.1948286100045886,0.11818748486558969,0.05723840196262927,0.1313183773814218,1.1111022248317188
stabilityai/stablelm-zephyr-3b,82,1.3612746344170927,0.11820009720041437,0.05458396236074371,0.1301947461504745,1.101477488040662
tiiuae/Falcon3-1B-Instruct,69,1.1361123380431222,0.11796367388514788,0.06238946441163834,0.13344614504005953,1.1312477870940654
tiiuae/Falcon3-3B-Base,35,0.14451632717270357,0.11743753267812526,0.07208628556558573,0.13779697619385162,1.173364026401405
tiiuae/Falcon3-3B-Instruct,141,2.102973207849292,0.11997855904415812,0.06065818401478069,0.1344405813669501,1.1205383898423822
utter-project/EuroLLM-1.7B,62,-1.2218987330572904,0.09287414867573786,0.06236887395733724,0.11187262368850245,1.204561498368035
utter-project/EuroLLM-1.7B-Instruct,50,0.2317121079641015,0.11891664830569312,0.061813574650310316,0.13402271171450528,1.1270306859808203
