min_scenarios,se_target,mean_scen,mean_crit,oos_r,oos_slope,conv_pct,n
0,0.08,24.153846153846157,95.0,0.9893326566230236,0.9272094746219124,96.2,52
6,0.08,24.153846153846157,95.0,0.9893326566230236,0.9272094746219124,96.2,52
8,0.08,24.153846153846157,95.0,0.9893326566230236,0.9272094746219124,96.2,52
10,0.08,24.173076923076923,95.03846153846152,0.9893023144242012,0.9277506801478328,96.2,52
12,0.08,24.23076923076923,95.21153846153848,0.9883247378064136,0.9334155842174768,96.2,52
15,0.08,24.53846153846154,96.42307692307692,0.9872698906126604,0.937014688601814,96.2,52
0,0.1,13.307692307692308,53.11538461538461,0.9847193323159914,0.8685273589287086,100.0,52
6,0.1,13.307692307692308,53.11538461538461,0.9847193323159914,0.8685273589287086,100.0,52
8,0.1,13.365384615384617,53.36538461538461,0.9845788157974222,0.8696218313720592,100.0,52
10,0.1,13.788461538461538,54.94230769230769,0.9847226612371692,0.8719633423422415,100.0,52
12,0.1,14.711538461538462,58.42307692307692,0.9838091743417192,0.879392209846576,100.0,52
15,0.1,16.596153846153847,66.23076923076923,0.9853781153593616,0.9051472730453384,100.0,52
0,0.11,10.442307692307692,41.71153846153846,0.9747774205411548,0.843271936908126,100.0,52
6,0.11,10.461538461538462,41.80769230769231,0.9750049177242136,0.8458599401211866,100.0,52
8,0.11,10.711538461538462,42.80769230769231,0.9742411198499561,0.8449877579943708,100.0,52
0,0.12,8.538461538461538,34.13461538461539,0.9632879017067109,0.7946158723272713,100.0,52
6,0.12,8.634615384615385,34.44230769230769,0.9634843591168933,0.7982432212757217,100.0,52
8,0.12,9.365384615384615,37.44230769230769,0.970327641079982,0.8119788296397851,100.0,52
0,0.13,7.326923076923077,29.365384615384617,0.9553966280643836,0.755736087174476,100.0,52
6,0.13,7.596153846153846,30.442307692307693,0.9568766262866782,0.7623902904487716,100.0,52
8,0.13,8.73076923076923,35.03846153846154,0.9677373440045981,0.8022378622876059,100.0,52
0,0.14,6.211538461538462,24.96153846153846,0.9495606776477913,0.7474621272204689,100.0,52
6,0.14,6.865384615384615,27.48076923076923,0.9549952034079353,0.7384540858613737,100.0,52
8,0.14,8.26923076923077,33.19230769230769,0.9649397950392428,0.7915120805849261,100.0,52
6,0.15,6.461538461538462,25.807692307692307,0.9519188171233972,0.7252316127020476,100.0,52
8,0.15,8.076923076923077,32.44230769230769,0.9610236215823696,0.7789735509488838,100.0,52
10,0.15,10.01923076923077,40.23076923076923,0.9774138747140346,0.7973687918130349,100.0,52
12,0.15,12.0,47.82692307692308,0.981065966045242,0.8325292097076729,100.0,52
15,0.15,15.0,60.0,0.983734779428322,0.8759595543343538,100.0,52
6,0.2,6.0,23.846153846153847,0.9500126117556894,0.7099406042708004,100.0,52
8,0.2,8.0,32.09615384615385,0.960980437824572,0.7784404236853883,100.0,52
10,0.2,10.0,40.13461538461539,0.9773715057735766,0.7975666961925124,100.0,52
12,0.2,12.0,47.82692307692308,0.981065966045242,0.8325292097076729,100.0,52
15,0.2,15.0,60.0,0.983734779428322,0.8759595543343538,100.0,52
6,0.3,6.0,23.846153846153847,0.9500126117556894,0.7099406042708004,100.0,52
8,0.3,8.0,32.09615384615385,0.960980437824572,0.7784404236853883,100.0,52
10,0.3,10.0,40.13461538461539,0.9773715057735766,0.7975666961925124,100.0,52
12,0.3,12.0,47.82692307692308,0.981065966045242,0.8325292097076729,100.0,52
15,0.3,15.0,60.0,0.983734779428322,0.8759595543343538,100.0,52
6,0.35,6.0,23.846153846153847,0.9500126117556894,0.7099406042708004,100.0,52
8,0.35,8.0,32.09615384615385,0.960980437824572,0.7784404236853883,100.0,52
10,0.35,10.0,40.13461538461539,0.9773715057735766,0.7975666961925124,100.0,52
12,0.35,12.0,47.82692307692308,0.981065966045242,0.8325292097076729,100.0,52
15,0.35,15.0,60.0,0.983734779428322,0.8759595543343538,100.0,52
