model,theta,se_ability,se_total,rank
ibm-granite/granite-3.1-2b-instruct,2.578548034448321,0.2915848928871196,0.3214757717387085,1
01-ai/Yi-1.5-6B-Chat,2.510766436686395,0.1592765731663715,0.1942161554541421,2
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,2.4611901627966803,0.2351136507728211,0.2659912929823221,3
tiiuae/Falcon3-3B-Instruct,2.2646163956742558,0.197351271520193,0.2200084109731789,4
meta-llama/Llama-3.2-3B-Instruct,2.199133034520861,0.1986190033903027,0.225757420678266,5
pankajmathur/orca_mini_v9_5_3B-Instruct,1.7806358438029335,0.1908403704165793,0.2118969569730137,6
nvidia/AceInstruct-1.5B,1.6990139459986668,0.1410549992492339,0.1687618258388582,7
stabilityai/stablelm-zephyr-3b,1.3490402749254988,0.1403835683339619,0.1593034793193672,8
stabilityai/stablelm-2-1_6b-chat,1.2819316795761604,0.1393511096944049,0.1551004270280623,9
01-ai/Yi-6B-Chat,1.220456923322859,0.1379602744720479,0.1517614898258163,10
ibm-granite/granite-7b-instruct,1.1837527943694233,0.1321435419613942,0.1500745457950446,11
stabilityai/stablelm-2-zephyr-1_6b,1.1673314260357257,0.1237496241893809,0.1385318281728376,12
ibm-granite/granite-3.1-2b-base,1.108987293751852,0.1206121823932075,0.1362570585673619,13
tiiuae/Falcon3-1B-Instruct,1.0912231314000225,0.1551796006781329,0.1731713801221367,14
arcee-ai/raspberry-3B,0.9925749378961602,0.1211541713578798,0.13394968376812,15
meta-llama/Llama-3.2-1B-Instruct,0.8930041317566633,0.1388251955267318,0.1536015978867717,16
allenai/OLMo-2-0425-1B-DPO,0.8917764802224488,0.1295745419024679,0.1463110340573085,17
allenai/OLMo-2-0425-1B-Instruct,0.8818618120498096,0.1267279397979369,0.1507316043464794,18
BSC-LT/salamandra-7b-instruct,0.7789274741453385,0.1355353015238905,0.1587409534709313,19
ibm-granite/granite-3.0-2b-base,0.6119261041827576,0.1329605358039679,0.1429735314541112,20
h2oai/h2o-danube-1.8b-chat,0.3665602908695568,0.1203460214797334,0.1365785747423538,21
tiiuae/Falcon3-3B-Base,0.3422205626767756,0.1182815750601846,0.1256781034871467,22
ibm/PowerLM-3b,0.239561694214646,0.1188474941367042,0.1304749275585904,23
utter-project/EuroLLM-1.7B-Instruct,0.1125040370151306,0.120005276974886,0.1397351734988169,24
Qwen/Qwen1.5-1.8B-Chat,0.102392063043863,0.1142832927707688,0.1285164740197269,25
Qwen/Qwen2.5-0.5B-Instruct,0.0554912506331752,0.1180587909000376,0.1428775898030855,26
01-ai/Yi-1.5-6B,0.0114139504411673,0.1088369735527472,0.122920919678347,27
BSC-LT/salamandra-2b-instruct,-0.002198887439724,0.1064876431823727,0.1228540282746645,28
h2oai/h2o-danube2-1.8b-chat,-0.0294572879783012,0.1070147593692397,0.1247244379945509,29
pankajmathur/orca_mini_3b,-0.0708151499119489,0.1188063320678967,0.1396910653853454,30
OpenBMB/MiniCPM4-0.5B,-0.1921010061983646,0.101049351217937,0.121368178092111,31
openbmb/MiniCPM-2B-sft-bf16,-0.3220037946735599,0.1137642219816161,0.1330273053986823,32
BSC-LT/salamandra-7b,-0.4280257055232981,0.1193599671918092,0.1481308286923472,33
Qwen/Qwen2-0.5B,-0.6305885301603611,0.1399311437882982,0.1538818106779256,34
microsoft/phi-1_5,-0.994091435788094,0.1245871451348321,0.1499014709830988,35
01-ai/Yi-6B,-1.089245513153129,0.1293109830623018,0.1512486194491019,36
allenai/OLMo-2-0425-1B,-1.1077965991453975,0.1141991386849836,0.130604263275201,37
h2oai/h2o-danube2-1.8b-base,-1.1137895437252894,0.1118520934059415,0.1293782257681967,38
BSC-LT/salamandra-2b,-1.150698916676221,0.1107138715350871,0.1301012032928474,39
utter-project/EuroLLM-1.7B,-1.2009188094539942,0.1116042583798038,0.133817316071841,40
google/gemma-2b,-1.3643272803542217,0.1259677423703456,0.1546270060001855,41
google/gemma-2-2b,-1.3891345482436246,0.1331314972708992,0.1509824188676551,42
Qwen/Qwen1.5-1.8B,-1.4859187664032167,0.1717392207616604,0.2047609329967774,43
openbmb/MiniCPM-1B-sft-bf16,-1.9638505971090865,0.393668810296033,0.4367792909581529,44
01-ai/Yi-6B-200K,-2.124728817870164,0.3772016266281034,0.410986045451056,45
meta-llama/Llama-3.2-1B,-2.3081330607439985,0.4708426782042638,0.5326709180599849,46
openlm-research/open_llama_3b,-2.6014400662916115,0.1843812210947199,0.2061486912257898,47
BEE-spoke-data/smol_llama-220M-openhermes,-2.6738595893539663,0.1458098938812603,0.1632131146027404,48
HuggingFaceTB/SmolLM2-360M,-2.8105162486587894,0.3765169193750757,0.4339167918372739,49
ai-forever/mGPT,-3.2018717955625497,0.3813217197792252,0.4268821027790399,50
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,-3.772765572139656,0.3424770097519224,0.3868894293031176,51
allenai/OLMo-1B-hf,-3.870841860739578,0.4063338572062632,0.4657473062017818,52
