length,arm,mean_se,se_lo,se_hi,median_se,recovery_r
1,adaptive,0.4349,0.2918,0.5931,0.3938,0.8194
2,adaptive,0.3031,0.198,0.4773,0.2639,0.8823
3,adaptive,0.2421,0.1548,0.3752,0.2,0.9365
4,adaptive,0.2063,0.1403,0.3329,0.1699,0.9489
5,adaptive,0.1867,0.1275,0.2783,0.1516,0.9547
6,adaptive,0.1668,0.1126,0.2491,0.1343,0.9674
7,adaptive,0.1552,0.1046,0.231,0.1232,0.9713
8,adaptive,0.1472,0.1015,0.2086,0.1229,0.9769
9,adaptive,0.1361,0.0961,0.1902,0.1139,0.9751
10,adaptive,0.1296,0.0915,0.1813,0.1054,0.9766
11,adaptive,0.124,0.0879,0.1779,0.0995,0.9792
12,adaptive,0.1184,0.0852,0.1641,0.0943,0.9823
13,adaptive,0.1147,0.0825,0.1582,0.0935,0.9847
14,adaptive,0.1111,0.0798,0.1541,0.0908,0.9866
15,adaptive,0.107,0.0777,0.147,0.0878,0.9856
16,adaptive,0.1046,0.0758,0.1437,0.0862,0.9865
17,adaptive,0.1018,0.0739,0.1423,0.0826,0.986
18,adaptive,0.0998,0.0727,0.139,0.0813,0.9859
19,adaptive,0.0976,0.0715,0.1364,0.0789,0.987
20,adaptive,0.0961,0.07,0.1341,0.0766,0.9877
1,random,0.5643,0.3452,0.7062,0.5784,0.7453
2,random,0.4357,0.2841,0.6018,0.4245,0.8524
3,random,0.373,0.2703,0.5057,0.3522,0.8921
4,random,0.3263,0.2355,0.4555,0.2911,0.9276
5,random,0.297,0.2063,0.4238,0.2771,0.9502
6,random,0.2721,0.1955,0.3803,0.2494,0.9478
7,random,0.2485,0.1784,0.359,0.221,0.9513
8,random,0.2348,0.1613,0.3523,0.2085,0.9592
9,random,0.2227,0.1569,0.336,0.1989,0.9666
10,random,0.213,0.1517,0.3192,0.1882,0.9653
11,random,0.2042,0.1423,0.3001,0.1831,0.9706
12,random,0.1979,0.1406,0.289,0.1785,0.9747
13,random,0.1918,0.1345,0.2769,0.1686,0.9796
14,random,0.1865,0.129,0.2659,0.1656,0.9824
15,random,0.1808,0.1249,0.2634,0.1609,0.9851
16,random,0.1758,0.1228,0.2575,0.1547,0.9846
17,random,0.1708,0.1185,0.2504,0.1506,0.9864
18,random,0.1666,0.1153,0.2442,0.145,0.9874
19,random,0.1611,0.1091,0.2408,0.1411,0.9868
20,random,0.1572,0.1059,0.2389,0.136,0.9865
