model,n_admin,theta_overall,se_posterior_overall,se_param_overall,se_total_overall,bar_inflation_overall
01-ai/Yi-1.5-6B,3961,0.7224200413137274,0.09745430594647617,0.015470429157154141,0.09867459615228179,1.0125216653482283
01-ai/Yi-1.5-6B-Chat,3961,1.3999997630736911,0.00021769022952037445,0.035394240775129905,0.03539491021437824,162.5930125222524
01-ai/Yi-6B,3961,2.2721787876769036e-07,0.00022945953104376585,2.1149216742475483e-05,0.0002304321283060267,1.0042386439902353
01-ai/Yi-6B-200K,3961,-0.3997615958818773,0.0069014350713116875,0.057618662358487414,0.0580305097170868,8.408469994640914
01-ai/Yi-6B-Chat,3961,0.20001727852053908,0.001858873860671779,0.0002969259135632024,0.0018824391166872164,1.0126771678885844
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,3961,-2.1580521224205453,0.08154160696489589,0.052056973556608405,0.09674172916736079,1.1864094021228775
BEE-spoke-data/smol_llama-220M-openhermes,3961,-2.3938762007001957,0.03751077397492996,0.026833520462910567,0.04612045082858279,1.2295254387288048
BSC-LT/salamandra-2b,3961,-2.446766509210889,0.0847753663489349,0.06295329765624291,0.10559346772121675,1.245567813727807
BSC-LT/salamandra-2b-instruct,3961,0.19998728169231048,0.0015948381014205043,0.006517497123327924,0.006709789663046847,4.207191725022442
BSC-LT/salamandra-7b,3961,-1.1511728810030003e-07,0.00018754561802684943,7.696271823214903e-05,0.00020272301013637812,1.080926402169289
BSC-LT/salamandra-7b-instruct,3961,0.4012168388746124,0.01555271931453047,0.0011682361792356162,0.015596533391976699,1.0028171329116249
HuggingFaceTB/SmolLM2-360M,3961,-1.9909425931033695,0.04279195124542287,0.022807813574336575,0.04849069448288341,1.1331732503801188
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,3961,1.3999996335577314,0.00027072296458252175,0.028699441429281478,0.028700718271087056,106.01508562580219
OpenBMB/MiniCPM4-0.5B,3961,0.20237092867946038,0.021646349187263443,0.006766317339946066,0.022679230222425885,1.047716177274373
