model,regime,SE_posterior,SE_param,SE_total,n_admin_criteria,hit_cap,theta
01-ai/Yi-1.5-6B,full_bank,0.0974543059464761,0.0154704291571541,0.0986745961522817,3961,False,0.7027033759524612
01-ai/Yi-1.5-6B-Chat,full_bank,0.0002176902295203,0.0353942407751299,0.0353949102143782,3961,False,1.37137802946723
01-ai/Yi-6B,full_bank,0.0002294595310437,2.1149216742475483e-05,0.000230432128306,3961,False,0.0119241195872556
01-ai/Yi-6B-200K,full_bank,0.0069014350713116,0.0576186623584874,0.0580305097170868,3961,False,-0.3547821994439074
01-ai/Yi-6B-Chat,full_bank,0.0018588738606717,0.0002969259135632,0.0018824391166872,3961,False,0.2442563974361217
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,full_bank,0.0815416069648958,0.0520569735566084,0.0967417291673607,3961,False,-2.127892875063
BEE-spoke-data/smol_llama-220M-openhermes,full_bank,0.0375107739749299,0.0268335204629105,0.0461204508285827,3961,False,-2.3722536884410785
BSC-LT/salamandra-2b,full_bank,0.0847753663489349,0.0629532976562429,0.1055934677212167,3961,False,-2.4739994054163903
BSC-LT/salamandra-2b-instruct,full_bank,0.0015948381014205,0.0065174971233279,0.0067097896630468,3961,False,0.1611792968219672
BSC-LT/salamandra-7b,full_bank,0.0001875456180268,7.696271823214903e-05,0.0002027230101363,3961,False,-0.0020143276950884
BSC-LT/salamandra-7b-instruct,full_bank,0.0155527193145304,0.0011682361792356,0.0155965333919766,3961,False,0.4710241900382182
HuggingFaceTB/SmolLM2-360M,full_bank,0.0427919512454228,0.0228078135743365,0.0484906944828834,3961,False,-1.9620879075075928
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,full_bank,0.0002707229645825,0.0286994414292814,0.028700718271087,3961,False,1.3690559718207016
OpenBMB/MiniCPM4-0.5B,full_bank,0.0216463491872634,0.006766317339946,0.0226792302224258,3961,False,0.2738905852679772
Qwen/Qwen1.5-1.8B,full_bank,0.1144712541976524,0.0943982900864666,0.1483735327099556,3961,False,-4.418749358431425
Qwen/Qwen1.5-1.8B-Chat,full_bank,0.0040667028530229,0.0388187100800658,0.0390311455683149,3961,False,-0.8048428789440814
Qwen/Qwen2-0.5B,full_bank,0.0838530719335489,0.065487367392417,0.106395173577951,3961,False,-2.527405131301406
Qwen/Qwen2.5-0.5B-Instruct,full_bank,0.0028604539435912,8.334784255055232e-06,0.0028604660865032,3961,False,0.6532269641809226
ai-forever/mGPT,full_bank,0.0980010482484462,0.0411942880380646,0.1063069838945556,3961,False,-2.9123071558157294
allenai/OLMo-1B-hf,full_bank,0.0904537456766752,0.0802651963523745,0.1209313104717959,3961,False,-3.839338607404692
allenai/OLMo-2-0425-1B,full_bank,0.0443242114258224,0.0336363459514185,0.055642065808923,3961,False,-1.1412445278049337
allenai/OLMo-2-0425-1B-DPO,full_bank,0.0001769072766739,0.0008482343294258,0.0008664858118611,3961,False,0.0071359259392907
allenai/OLMo-2-0425-1B-Instruct,full_bank,0.003012315334818,0.0140869804538897,0.0144054525088472,3961,False,0.153277145217261
arcee-ai/raspberry-3B,full_bank,0.0003575451042349,0.0095109596238398,0.009517677840097,3961,False,1.2342881687268874
google/gemma-2-2b,full_bank,0.0930124103687266,0.0670868170484138,0.1146819493394133,3961,False,-0.1048890500362043
google/gemma-2b,full_bank,0.0144662814765138,0.0633603172903624,0.0649907924778051,3961,False,-0.9656468649759192
h2oai/h2o-danube-1.8b-chat,full_bank,0.0867369147136367,0.0378018904114662,0.0946164641736374,3961,False,-0.508338606664172
h2oai/h2o-danube2-1.8b-base,full_bank,0.0610867283788484,0.0058787444172705,0.0613689499662067,3961,False,-1.0698795795040277
h2oai/h2o-danube2-1.8b-chat,full_bank,0.0940943317580838,0.0034232315293787,0.0941565811991072,3961,False,-1.0899539207017122
ibm-granite/granite-3.0-2b-base,full_bank,0.0304945396721167,0.0621964586490776,0.0692698810328177,3961,False,-0.1259726482172026
ibm-granite/granite-3.1-2b-base,full_bank,0.0904604473539431,0.0668422215553463,0.1124765536364336,3961,False,-0.1058863220998417
ibm-granite/granite-3.1-2b-instruct,full_bank,0.0041433491101577,0.0763099005605831,0.0764223021467864,3961,False,0.7427523873470541
ibm-granite/granite-7b-instruct,full_bank,0.061698900471479,0.0663334925444417,0.0905918680265121,3961,False,0.3128649381874916
ibm/PowerLM-3b,full_bank,0.0337210703061738,0.020701301591422,0.0395683518758733,3961,False,-0.074762684096024
meta-llama/Llama-3.2-1B,full_bank,0.0188858150708294,0.0674477008503102,0.0700418900436197,3961,False,-1.4167629392737673
meta-llama/Llama-3.2-1B-Instruct,full_bank,0.0001149349137542,0.0781164662075406,0.078116550760951,3961,False,1.1767804691792176
meta-llama/Llama-3.2-3B-Instruct,full_bank,0.0992143740641738,0.0767372320295741,0.1254276476719009,3961,False,2.497433504549996
nvidia/AceInstruct-1.5B,full_bank,0.000183769586436,0.0112559527943656,0.0112574528455546,3961,False,1.5779063119033132
openbmb/MiniCPM-1B-sft-bf16,full_bank,0.0289180696750885,0.0415795638937343,0.0506469632586832,3961,False,-1.2401245622848902
openbmb/MiniCPM-2B-sft-bf16,full_bank,0.0513785305362674,0.0152142238129411,0.0535838222441851,3961,False,-0.278811889036156
openlm-research/open_llama_3b,full_bank,0.0544894071543558,0.0248420271221529,0.0598850716253303,3961,False,-1.543675400160025
pankajmathur/orca_mini_3b,full_bank,0.0286940467469236,0.0072507741810787,0.0295959802158948,3961,False,-0.4643477277639064
pankajmathur/orca_mini_v9_5_3B-Instruct,full_bank,0.0042333999317126,0.0531850364468326,0.053353254603939,3961,False,1.6540390464737489
stabilityai/stablelm-2-1_6b-chat,full_bank,0.0378858745515093,0.0560048292747796,0.0676156815585698,3961,False,-0.5299160023589067
stabilityai/stablelm-2-zephyr-1_6b,full_bank,0.0016015217671381,0.0044708241840114,0.0047490147246517,3961,False,-0.4125513536554792
stabilityai/stablelm-zephyr-3b,full_bank,0.0425529683697304,0.0144987963409293,0.0449552022841742,3961,False,-0.2754157149485378
tiiuae/Falcon3-1B-Instruct,full_bank,0.0014272923214057,9.786626455240151e-06,0.0014273258733734,3961,False,0.4435192497816657
tiiuae/Falcon3-3B-Base,full_bank,0.0003746318724219,3.199104505948557e-06,0.0003746455312746,3961,False,0.4280639883623256
tiiuae/Falcon3-3B-Instruct,full_bank,0.0005017512651184,0.0010724069556098,0.0011839810008984,3961,False,2.176258090878229
utter-project/EuroLLM-1.7B,full_bank,0.0623767859778448,0.0685094399932669,0.0926520738953905,3961,False,-2.05590772618738
utter-project/EuroLLM-1.7B-Instruct,full_bank,0.0415571052193922,0.0009536549293502,0.0415680460442863,3961,False,-0.8627290210135024
01-ai/Yi-1.5-6B,deployed_cat_12_0.12,0.086752,0.033522,0.093004,210,False,0.7027033759524612
01-ai/Yi-1.5-6B-Chat,deployed_cat_12_0.12,0.086347,0.057628,0.103811,205,False,1.37137802946723
01-ai/Yi-6B,deployed_cat_12_0.12,0.108451,0.045038,0.117431,217,False,0.0119241195872556
01-ai/Yi-6B-200K,deployed_cat_12_0.12,0.108759,0.060298,0.124356,215,False,-0.3547821994439074
01-ai/Yi-6B-Chat,deployed_cat_12_0.12,0.094715,0.039008,0.102433,219,False,0.2442563974361217
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,deployed_cat_12_0.12,0.118617,0.074623,0.140138,419,False,-2.127892875063
BEE-spoke-data/smol_llama-220M-openhermes,deployed_cat_12_0.12,0.118582,0.073682,0.139609,472,False,-2.3722536884410785
BSC-LT/salamandra-2b,deployed_cat_12_0.12,0.119531,0.084102,0.146154,436,False,-2.4739994054163903
BSC-LT/salamandra-2b-instruct,deployed_cat_12_0.12,0.094534,0.027118,0.098347,218,False,0.1611792968219672
BSC-LT/salamandra-7b,deployed_cat_12_0.12,0.096032,0.049404,0.107995,219,False,-0.0020143276950884
BSC-LT/salamandra-7b-instruct,deployed_cat_12_0.12,0.085232,0.048398,0.098015,214,False,0.4710241900382182
HuggingFaceTB/SmolLM2-360M,deployed_cat_12_0.12,0.119127,0.068677,0.137506,529,False,-1.9620879075075928
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,deployed_cat_12_0.12,0.083883,0.035229,0.09098,211,False,1.3690559718207016
OpenBMB/MiniCPM4-0.5B,deployed_cat_12_0.12,0.08751,0.031554,0.093025,210,False,0.2738905852679772
Qwen/Qwen1.5-1.8B,deployed_cat_12_0.12,0.147776,0.127839,0.195399,1052,True,-4.418749358431425
Qwen/Qwen1.5-1.8B-Chat,deployed_cat_12_0.12,0.118583,0.047285,0.127662,299,False,-0.8048428789440814
Qwen/Qwen2-0.5B,deployed_cat_12_0.12,0.119521,0.075131,0.141174,402,False,-2.527405131301406
Qwen/Qwen2.5-0.5B-Instruct,deployed_cat_12_0.12,0.086307,0.027517,0.090588,212,False,0.6532269641809226
ai-forever/mGPT,deployed_cat_12_0.12,0.118012,0.08352,0.144577,568,False,-2.9123071558157294
allenai/OLMo-1B-hf,deployed_cat_12_0.12,0.137993,0.123175,0.184971,1047,True,-3.839338607404692
allenai/OLMo-2-0425-1B,deployed_cat_12_0.12,0.117215,0.038498,0.123375,234,False,-1.1412445278049337
allenai/OLMo-2-0425-1B-DPO,deployed_cat_12_0.12,0.084212,0.049594,0.097731,212,False,0.0071359259392907
allenai/OLMo-2-0425-1B-Instruct,deployed_cat_12_0.12,0.086765,0.03774,0.094617,213,False,0.153277145217261
arcee-ai/raspberry-3B,deployed_cat_12_0.12,0.081379,0.062252,0.102459,211,False,1.2342881687268874
google/gemma-2-2b,deployed_cat_12_0.12,0.08691,0.031688,0.092506,218,False,-0.1048890500362043
google/gemma-2b,deployed_cat_12_0.12,0.119743,0.054066,0.131384,320,False,-0.9656468649759192
h2oai/h2o-danube-1.8b-chat,deployed_cat_12_0.12,0.119776,0.047363,0.1288,253,False,-0.508338606664172
h2oai/h2o-danube2-1.8b-base,deployed_cat_12_0.12,0.11991,0.047222,0.128873,245,False,-1.0698795795040277
h2oai/h2o-danube2-1.8b-chat,deployed_cat_12_0.12,0.118923,0.05673,0.131762,217,False,-1.0899539207017122
ibm-granite/granite-3.0-2b-base,deployed_cat_12_0.12,0.086425,0.032152,0.092212,219,False,-0.1259726482172026
ibm-granite/granite-3.1-2b-base,deployed_cat_12_0.12,0.084847,0.046404,0.096708,213,False,-0.1058863220998417
ibm-granite/granite-3.1-2b-instruct,deployed_cat_12_0.12,0.0887,0.054783,0.104254,213,False,0.7427523873470541
ibm-granite/granite-7b-instruct,deployed_cat_12_0.12,0.087832,0.029276,0.092583,214,False,0.3128649381874916
ibm/PowerLM-3b,deployed_cat_12_0.12,0.083783,0.04836,0.096738,219,False,-0.074762684096024
meta-llama/Llama-3.2-1B,deployed_cat_12_0.12,0.119733,0.059435,0.133673,424,False,-1.4167629392737673
meta-llama/Llama-3.2-1B-Instruct,deployed_cat_12_0.12,0.0855,0.053983,0.101116,210,False,1.1767804691792176
meta-llama/Llama-3.2-3B-Instruct,deployed_cat_12_0.12,0.092372,0.087803,0.127444,196,False,2.497433504549996
nvidia/AceInstruct-1.5B,deployed_cat_12_0.12,0.099373,0.086836,0.131967,208,False,1.5779063119033132
openbmb/MiniCPM-1B-sft-bf16,deployed_cat_12_0.12,0.118864,0.054103,0.130597,389,False,-1.2401245622848902
openbmb/MiniCPM-2B-sft-bf16,deployed_cat_12_0.12,0.084041,0.04943,0.097499,218,False,-0.278811889036156
openlm-research/open_llama_3b,deployed_cat_12_0.12,0.119041,0.058694,0.132724,528,False,-1.543675400160025
pankajmathur/orca_mini_3b,deployed_cat_12_0.12,0.100966,0.052998,0.11403,217,False,-0.4643477277639064
pankajmathur/orca_mini_v9_5_3B-Instruct,deployed_cat_12_0.12,0.087642,0.059515,0.10594,210,False,1.6540390464737489
stabilityai/stablelm-2-1_6b-chat,deployed_cat_12_0.12,0.111388,0.042031,0.119054,217,False,-0.5299160023589067
stabilityai/stablelm-2-zephyr-1_6b,deployed_cat_12_0.12,0.100331,0.034077,0.105961,212,False,-0.4125513536554792
stabilityai/stablelm-zephyr-3b,deployed_cat_12_0.12,0.103089,0.055416,0.11704,218,False,-0.2754157149485378
tiiuae/Falcon3-1B-Instruct,deployed_cat_12_0.12,0.082331,0.028151,0.087011,218,False,0.4435192497816657
tiiuae/Falcon3-3B-Base,deployed_cat_12_0.12,0.085634,0.049351,0.098837,212,False,0.4280639883623256
tiiuae/Falcon3-3B-Instruct,deployed_cat_12_0.12,0.086368,0.08707,0.12264,194,False,2.176258090878229
utter-project/EuroLLM-1.7B,deployed_cat_12_0.12,0.119518,0.082112,0.145007,494,False,-2.05590772618738
