model,theta_sd,theta_range
01-ai/Yi-1.5-6B,0.14587743652338683,0.3725328441057528
01-ai/Yi-1.5-6B-Chat,0.038518193181559565,0.116833227075122
01-ai/Yi-6B,0.09096148655734355,0.2942225774401219
01-ai/Yi-6B-200K,0.0863285920630958,0.28666483138379784
01-ai/Yi-6B-Chat,0.056066790313018915,0.1599161458898769
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,0.1208111121681767,0.34772802917314616
BEE-spoke-data/smol_llama-220M-openhermes,0.1020229268028203,0.2928130911296183
BSC-LT/salamandra-2b,0.07152135051609917,0.16211127933542357
BSC-LT/salamandra-2b-instruct,0.05971252509404463,0.19356812138532523
BSC-LT/salamandra-7b,0.14962163860453917,0.42930158838446847
BSC-LT/salamandra-7b-instruct,0.0440527923341896,0.13946754725893892
HuggingFaceTB/SmolLM2-360M,0.07217117490745018,0.22956027907536325
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,0.07896767363437908,0.24687892018506874
OpenBMB/MiniCPM4-0.5B,0.04816888224536594,0.12702311077295475
Qwen/Qwen1.5-1.8B,0.4432978786765163,1.233661484833576
Qwen/Qwen1.5-1.8B-Chat,0.10971093946108519,0.29921909735561636
Qwen/Qwen2-0.5B,0.09694575313348436,0.3097518249274347
Qwen/Qwen2.5-0.5B-Instruct,0.08062740815155041,0.24152227604032894
ai-forever/mGPT,0.2118204600602534,0.6464323783122237
allenai/OLMo-1B-hf,0.27770238689760196,0.74291780146023
allenai/OLMo-2-0425-1B,0.12684272482576545,0.33324928306308765
allenai/OLMo-2-0425-1B-DPO,0.07064901200339191,0.21123309023916373
allenai/OLMo-2-0425-1B-Instruct,0.059323358053140755,0.15915571033716813
arcee-ai/raspberry-3B,0.09486443959096424,0.2774769109932943
google/gemma-2-2b,0.06795826330543102,0.2107714097875858
google/gemma-2b,0.13834745918159935,0.3795161856859737
h2oai/h2o-danube-1.8b-chat,0.09020278296978806,0.24749624942008652
h2oai/h2o-danube2-1.8b-base,0.06963643685850683,0.23417965574277444
h2oai/h2o-danube2-1.8b-chat,0.10434105406522959,0.31569607473577277
ibm-granite/granite-3.0-2b-base,0.06850954684408829,0.17740656322335982
ibm-granite/granite-3.1-2b-base,0.15177361423830082,0.434025070246711
ibm-granite/granite-3.1-2b-instruct,0.03452099705226421,0.11882200264125786
ibm-granite/granite-7b-instruct,0.11336779908946186,0.29301059361832316
ibm/PowerLM-3b,0.06231487471168577,0.1612437432970596
meta-llama/Llama-3.2-1B,0.191639664812875,0.6403451550817065
meta-llama/Llama-3.2-1B-Instruct,0.12986338643036124,0.307844965966102
meta-llama/Llama-3.2-3B-Instruct,0.09466297542317999,0.25959527781624514
nvidia/AceInstruct-1.5B,0.06875360951066384,0.23537499700656017
openbmb/MiniCPM-1B-sft-bf16,0.0841162386212176,0.2268878265182035
openbmb/MiniCPM-2B-sft-bf16,0.13262756922801433,0.37421723959131853
openlm-research/open_llama_3b,0.10506144210521678,0.34025570720805187
pankajmathur/orca_mini_3b,0.1546303917638446,0.433782616434598
pankajmathur/orca_mini_v9_5_3B-Instruct,0.054240060744578114,0.18340994032530733
stabilityai/stablelm-2-1_6b-chat,0.10201596657177035,0.3187912334088913
stabilityai/stablelm-2-zephyr-1_6b,0.040335587284344415,0.10642102666671488
stabilityai/stablelm-zephyr-3b,0.174436945626011,0.45760643661930445
tiiuae/Falcon3-1B-Instruct,0.07966633174800236,0.24491075703213577
tiiuae/Falcon3-3B-Base,0.10921878510857169,0.35928765845760524
tiiuae/Falcon3-3B-Instruct,0.0705678972423575,0.185014493447885
utter-project/EuroLLM-1.7B,0.1273741653301375,0.36424537010417923
utter-project/EuroLLM-1.7B-Instruct,0.10519216501410653,0.2748269641180875
