criterion_id,a,b,n_persons,flags
bridge_0000_c01,1.741016,2.607524,51,
bridge_0000_c02,1.664031,2.792205,51,
bridge_0000_c03,0.997441,0.766671,51,
bridge_0000_c04,0.477755,-0.592227,51,
bridge_0000_c05,2.482174,1.096980,51,
bridge_0000_c06,1.361398,3.461590,51,
bridge_0000_c07,2.130673,1.644519,51,
bridge_0000_c08,5.603814,5.398727,51,
bridge_0000_c09,1.565720,1.143113,51,
bridge_0000_c10,2.809542,1.175803,51,
bridge_0000_c11,1.756226,0.180269,51,
bridge_0000_c12,5.603814,5.398727,51,
bridge_0000_c13,0.388066,-0.753516,51,
bridge_0000_c14,1.632152,0.773019,51,
bridge_0000_c15,0.288906,-2.282710,51,
bridge_0000_c16,2.183244,-3.654355,51,
bridge_0000_c21,1.563872,1.142562,51,
bridge_0000_c37,1.362625,0.609085,51,
bridge_0003_c01,1.128485,1.530588,51,
bridge_0003_c02,0.531348,4.015984,51,
bridge_0003_c03,0.312806,0.684570,51,
bridge_0003_c04,0.135130,-1.195856,51,
bridge_0003_c05,1.243762,1.437671,51,
bridge_0003_c06,1.132668,3.251932,51,
bridge_0003_c07,0.777967,1.532372,51,
bridge_0003_c08,2.628625,2.266088,51,
bridge_0003_c09,1.330563,2.532921,51,
bridge_0003_c10,1.631278,0.772854,51,
bridge_0003_c11,0.937412,1.593281,51,
bridge_0003_c12,1.394954,3.980865,51,
bridge_0003_c13,1.303183,-1.819252,51,
bridge_0003_c14,0.653774,0.342124,51,
bridge_0003_c15,0.216853,-2.815313,51,
bridge_0003_c16,1.745735,-3.492874,51,
bridge_0003_c24,0.428278,-1.643480,51,
bridge_0003_c25,3.498674,7.051076,51,
bridge_0003_c39,1.954835,0.440058,51,
bridge_0009_c01,1.422934,2.856789,51,
bridge_0009_c02,1.487698,2.651287,51,
bridge_0009_c03,0.701830,0.076383,51,
bridge_0009_c04,0.815482,-0.667294,51,
bridge_0009_c05,1.335593,0.834194,51,
bridge_0009_c06,0.077125,3.908596,51,
bridge_0009_c07,1.777715,2.201459,51,
bridge_0009_c08,1.114034,1.825040,51,
bridge_0009_c09,1.038649,1.494081,51,
bridge_0009_c10,2.197948,0.600841,51,
bridge_0009_c11,0.997980,0.359679,51,
bridge_0009_c12,1.844651,3.235247,51,
bridge_0009_c13,0.621054,-1.009584,51,
bridge_0009_c14,2.974406,3.301795,51,
bridge_0009_c15,-0.087364,-1.833869,51,
bridge_0009_c16,2.458077,-2.569625,51,
bridge_0009_c20,1.135394,-4.749838,51,
bridge_0009_c21,1.122958,1.998053,51,
bridge_0009_c37,0.775862,1.531627,51,
bridge_0014_c01,0.827889,1.850679,51,
bridge_0014_c03,-0.078773,0.364114,51,
bridge_0014_c04,0.487591,-2.620949,51,
bridge_0014_c05,1.453877,1.674873,51,
bridge_0014_c06,0.531348,4.015984,51,
bridge_0014_c07,1.031589,1.110182,51,
bridge_0014_c09,1.206384,0.695769,51,
bridge_0014_c10,1.557832,0.882589,51,
bridge_0014_c11,0.701482,0.253899,51,
bridge_0014_c12,0.077125,3.908596,51,
bridge_0014_c13,0.861560,-0.984408,51,
bridge_0014_c14,0.896980,1.311799,51,
bridge_0014_c15,0.665427,-2.475836,51,
bridge_0014_c16,2.182819,-3.653889,51,
bridge_0014_c21,0.716900,2.160418,51,
bridge_0014_c39,1.416777,0.391576,51,
bridge_0022_c01,1.113524,1.134091,51,
bridge_0022_c02,1.629619,3.740550,51,
bridge_0022_c03,0.886289,-0.207271,51,
bridge_0022_c04,0.749207,-1.392930,51,
bridge_0022_c05,2.358686,0.915420,51,
