criterion_id,scenario_id,a_diagnosis,a_strategy,a_math,a_communication,a_affective,b,n_persons
bridge_0000_c01,bridge_0000,1.450202,0.000000,0.000000,0.000000,0.000000,2.132138,51
bridge_0000_c02,bridge_0000,2.533859,0.000000,0.000000,0.000000,0.000000,3.216475,51
bridge_0000_c03,bridge_0000,0.000000,0.000000,1.456029,0.000000,0.000000,0.915434,51
bridge_0000_c04,bridge_0000,0.000000,0.000000,0.424224,0.000000,0.000000,-0.538556,51
bridge_0000_c05,bridge_0000,0.000000,0.000000,1.869413,0.000000,0.000000,1.007653,51
bridge_0000_c06,bridge_0000,1.113461,0.000000,0.806996,0.000000,0.000000,3.543825,51
bridge_0000_c07,bridge_0000,0.000000,2.239146,0.000000,0.000000,0.000000,1.209020,51
bridge_0000_c08,bridge_0000,0.000000,3.104376,0.000000,0.000000,0.000000,2.605717,51
bridge_0000_c09,bridge_0000,0.000000,1.804071,0.000000,0.000000,1.039168,1.011772,51
bridge_0000_c10,bridge_0000,0.000000,-0.025322,0.000000,1.837406,0.000000,0.795669,51
bridge_0000_c11,bridge_0000,0.000000,0.000000,0.000000,1.081538,0.000000,-0.055805,51
bridge_0000_c12,bridge_0000,0.000000,1.273327,0.000000,4.651149,0.000000,6.361669,51
bridge_0000_c13,bridge_0000,0.000000,0.000000,0.000000,0.000000,1.155454,-0.797658,51
bridge_0000_c14,bridge_0000,0.000000,0.000000,0.000000,0.709452,1.813460,0.805530,51
bridge_0000_c15,bridge_0000,0.000000,0.000000,0.000000,0.000000,-0.045366,-2.218326,51
bridge_0000_c16,bridge_0000,0.000000,0.000000,0.000000,0.000000,1.528787,-2.689565,51
bridge_0000_c21,bridge_0000,0.000000,0.767496,0.000000,0.000000,0.000000,0.793405,51
bridge_0000_c37,bridge_0000,0.000000,0.000000,0.000000,1.125104,0.000000,0.395640,51
bridge_0003_c01,bridge_0003,1.295481,0.000000,0.000000,0.000000,0.000000,1.361171,51
bridge_0003_c02,bridge_0003,0.291768,0.000000,0.000000,0.000000,0.000000,3.843676,51
bridge_0003_c03,bridge_0003,0.000000,0.000000,0.673644,0.000000,0.000000,0.751185,51
bridge_0003_c04,bridge_0003,0.000000,0.000000,0.175209,0.000000,0.000000,-1.185659,51
bridge_0003_c05,bridge_0003,0.000000,0.000000,1.510604,0.000000,0.000000,1.555333,51
bridge_0003_c06,bridge_0003,1.113461,0.000000,0.806996,0.000000,0.000000,3.543825,51
bridge_0003_c07,bridge_0003,0.000000,1.405403,0.000000,0.000000,0.000000,1.534475,51
bridge_0003_c08,bridge_0003,0.000000,1.763348,0.000000,0.000000,0.000000,1.459292,51
bridge_0003_c09,bridge_0003,0.000000,1.798224,0.000000,0.000000,-0.589289,2.326734,51
bridge_0003_c10,bridge_0003,0.000000,0.942099,0.000000,0.690469,0.000000,0.442817,51
bridge_0003_c11,bridge_0003,0.000000,0.000000,0.000000,0.513025,0.000000,1.343967,51
bridge_0003_c12,bridge_0003,0.000000,0.599767,0.000000,3.359243,0.000000,6.756339,51
bridge_0003_c13,bridge_0003,0.000000,0.000000,0.000000,0.000000,4.696052,-1.849313,51
bridge_0003_c14,bridge_0003,0.000000,0.000000,0.000000,0.192592,0.795815,0.347273,51
bridge_0003_c15,bridge_0003,0.000000,0.000000,0.000000,0.000000,-0.043450,-2.771781,51
bridge_0003_c16,bridge_0003,0.000000,0.000000,0.000000,0.000000,0.798171,-2.486157,51
bridge_0003_c24,bridge_0003,-0.149449,0.638418,0.000000,0.000000,0.000000,-1.745028,51
bridge_0003_c25,bridge_0003,0.000000,4.169566,0.000000,0.000000,0.000000,7.274496,51
bridge_0003_c39,bridge_0003,0.000000,0.000000,1.094073,1.072063,0.000000,0.327505,51
bridge_0009_c01,bridge_0009,1.419538,0.000000,0.000000,0.000000,0.000000,2.576216,51
bridge_0009_c02,bridge_0009,0.796354,0.000000,0.000000,0.000000,0.000000,2.012988,51
bridge_0009_c03,bridge_0009,0.000000,0.000000,1.220317,0.000000,0.000000,0.163481,51
bridge_0009_c04,bridge_0009,0.000000,0.000000,1.615083,0.000000,0.000000,-0.660827,51
bridge_0009_c05,bridge_0009,0.000000,0.000000,1.456029,0.000000,0.000000,0.915434,51
bridge_0009_c06,bridge_0009,0.600094,0.000000,-0.618570,0.000000,0.000000,3.772901,51
bridge_0009_c07,bridge_0009,0.000000,2.002606,0.000000,0.000000,0.000000,1.906319,51
bridge_0009_c08,bridge_0009,0.000000,0.841715,0.000000,0.000000,0.000000,1.548865,51
bridge_0009_c09,bridge_0009,0.000000,1.416083,0.000000,0.000000,0.828287,1.585476,51
bridge_0009_c10,bridge_0009,0.000000,0.151186,0.000000,1.547245,0.000000,0.317336,51
bridge_0009_c11,bridge_0009,0.000000,0.000000,0.000000,0.708921,0.000000,0.171601,51
bridge_0009_c12,bridge_0009,0.000000,0.927338,0.000000,1.140013,0.000000,3.079681,51
bridge_0009_c13,bridge_0009,0.000000,0.000000,0.000000,0.000000,1.748619,-1.069751,51
bridge_0009_c14,bridge_0009,0.000000,0.000000,0.000000,2.505837,0.755069,3.268579,51
bridge_0009_c15,bridge_0009,0.000000,0.000000,0.000000,0.000000,0.423440,-1.911353,51
bridge_0009_c16,bridge_0009,0.000000,0.000000,0.000000,0.000000,1.990550,-1.691048,51
bridge_0009_c20,bridge_0009,2.665990,-0.177119,0.000000,0.000000,0.000000,-9.572803,51
bridge_0009_c21,bridge_0009,0.000000,0.652846,0.000000,0.000000,0.000000,1.665631,51
bridge_0009_c37,bridge_0009,0.000000,0.000000,0.000000,0.681476,0.000000,1.377599,51
bridge_0014_c01,bridge_0014,0.475590,0.000000,0.000000,0.000000,0.000000,1.590079,51
bridge_0014_c03,bridge_0014,0.000000,0.000000,-0.008570,0.000000,0.000000,0.356705,51
bridge_0014_c04,bridge_0014,0.000000,0.000000,0.419112,0.000000,0.000000,-2.526621,51
